Player,Team,HomeTeam,AwayTeam,Season,Week,GameDate,Odds,Bookmaker
Los Angeles Rams D/ST,N/A,San Francisco 49ers,Los Angeles Rams,2024,15,2024-12-13T01:15:00Z,500,DraftKings
Isaac Guerendo,N/A,San Francisco 49ers,Los Angeles Rams,2024,15,2024-12-13T01:15:00Z,-155,DraftKings
Deebo Samuel,N/A,San Francisco 49ers,Los Angeles Rams,2024,15,2024-12-13T01:15:00Z,140,DraftKings
Brayden Willis,N/A,San Francisco 49ers,Los Angeles Rams,2024,15,2024-12-13T01:15:00Z,1900,DraftKings
Chris Conley,N/A,San Francisco 49ers,Los Angeles Rams,2024,15,2024-12-13T01:15:00Z,1100,DraftKings
Ronnie Rivers,N/A,San Francisco 49ers,Los Angeles Rams,2024,15,2024-12-13T01:15:00Z,1400,DraftKings
Jake Tonges,N/A,San Francisco 49ers,Los Angeles Rams,2024,15,2024-12-13T01:15:00Z,1900,DraftKings
Eric Saubert,N/A,San Francisco 49ers,Los Angeles Rams,2024,15,2024-12-13T01:15:00Z,1100,DraftKings
Xavier Smith,N/A,San Francisco 49ers,Los Angeles Rams,2024,15,2024-12-13T01:15:00Z,1600,DraftKings
Jacob Cowing,N/A,San Francisco 49ers,Los Angeles Rams,2024,15,2024-12-13T01:15:00Z,1100,DraftKings
Ke'Shawn Vaughn,N/A,San Francisco 49ers,Los Angeles Rams,2024,15,2024-12-13T01:15:00Z,450,DraftKings
Matthew Stafford,N/A,San Francisco 49ers,Los Angeles Rams,2024,15,2024-12-13T01:15:00Z,1200,DraftKings
Israel Abanikanda,N/A,San Francisco 49ers,Los Angeles Rams,2024,15,2024-12-13T01:15:00Z,600,DraftKings
Kyren Williams,N/A,San Francisco 49ers,Los Angeles Rams,2024,15,2024-12-13T01:15:00Z,-165,DraftKings
Puka Nacua,N/A,San Francisco 49ers,Los Angeles Rams,2024,15,2024-12-13T01:15:00Z,120,DraftKings
Brock Purdy,N/A,San Francisco 49ers,Los Angeles Rams,2024,15,2024-12-13T01:15:00Z,360,DraftKings
Patrick Taylor,N/A,San Francisco 49ers,Los Angeles Rams,2024,15,2024-12-13T01:15:00Z,115,DraftKings
Ricky Pearsall,N/A,San Francisco 49ers,Los Angeles Rams,2024,15,2024-12-13T01:15:00Z,320,DraftKings
Tyler Johnson,N/A,San Francisco 49ers,Los Angeles Rams,2024,15,2024-12-13T01:15:00Z,1300,DraftKings
George Kittle,N/A,San Francisco 49ers,Los Angeles Rams,2024,15,2024-12-13T01:15:00Z,120,DraftKings
Davis Allen,N/A,San Francisco 49ers,Los Angeles Rams,2024,15,2024-12-13T01:15:00Z,750,DraftKings
Cody Schrader,N/A,San Francisco 49ers,Los Angeles Rams,2024,15,2024-12-13T01:15:00Z,1700,DraftKings
Colby Parkinson,N/A,San Francisco 49ers,Los Angeles Rams,2024,15,2024-12-13T01:15:00Z,475,DraftKings
Kyle Juszczyk,N/A,San Francisco 49ers,Los Angeles Rams,2024,15,2024-12-13T01:15:00Z,650,DraftKings
Jordan Whittington,N/A,San Francisco 49ers,Los Angeles Rams,2024,15,2024-12-13T01:15:00Z,1300,DraftKings
Hunter Long,N/A,San Francisco 49ers,Los Angeles Rams,2024,15,2024-12-13T01:15:00Z,1000,DraftKings
Tutu Atwell,N/A,San Francisco 49ers,Los Angeles Rams,2024,15,2024-12-13T01:15:00Z,425,DraftKings
Blake Corum,N/A,San Francisco 49ers,Los Angeles Rams,2024,15,2024-12-13T01:15:00Z,380,DraftKings
San Francisco 49ers D/ST,N/A,San Francisco 49ers,Los Angeles Rams,2024,15,2024-12-13T01:15:00Z,475,DraftKings
Demarcus Robinson,N/A,San Francisco 49ers,Los Angeles Rams,2024,15,2024-12-13T01:15:00Z,360,DraftKings
Cooper Kupp,N/A,San Francisco 49ers,Los Angeles Rams,2024,15,2024-12-13T01:15:00Z,135,DraftKings
Jauan Jennings,N/A,San Francisco 49ers,Los Angeles Rams,2024,15,2024-12-13T01:15:00Z,165,DraftKings
Devin Singletary,N/A,New York Giants,Baltimore Ravens,2024,15,2024-12-15T18:00:00Z,600,DraftKings
Baltimore Ravens D/ST,N/A,New York Giants,Baltimore Ravens,2024,15,2024-12-15T18:00:00Z,370,DraftKings
Wan'Dale Robinson,N/A,New York Giants,Baltimore Ravens,2024,15,2024-12-15T18:00:00Z,360,DraftKings
Ihmir Smith-Marsette,N/A,New York Giants,Baltimore Ravens,2024,15,2024-12-15T18:00:00Z,1900,DraftKings
Lamar Jackson,N/A,New York Giants,Baltimore Ravens,2024,15,2024-12-15T18:00:00Z,180,DraftKings
Bryce Ford-Wheaton,N/A,New York Giants,Baltimore Ravens,2024,15,2024-12-15T18:00:00Z,1900,DraftKings
Isaiah Likely,N/A,New York Giants,Baltimore Ravens,2024,15,2024-12-15T18:00:00Z,260,DraftKings
Derrick Henry,N/A,New York Giants,Baltimore Ravens,2024,15,2024-12-15T18:00:00Z,-310,DraftKings
Darius Slayton,N/A,New York Giants,Baltimore Ravens,2024,15,2024-12-15T18:00:00Z,425,DraftKings
Tyrone Tracy Jr.,N/A,New York Giants,Baltimore Ravens,2024,15,2024-12-15T18:00:00Z,195,DraftKings
Nelson Agholor,N/A,New York Giants,Baltimore Ravens,2024,15,2024-12-15T18:00:00Z,450,DraftKings
Mark Andrews,N/A,New York Giants,Baltimore Ravens,2024,15,2024-12-15T18:00:00Z,180,DraftKings
Tommy DeVito,N/A,New York Giants,Baltimore Ravens,2024,15,2024-12-15T18:00:00Z,425,DraftKings
Devontez Walker,N/A,New York Giants,Baltimore Ravens,2024,15,2024-12-15T18:00:00Z,1000,DraftKings
Keaton Mitchell,N/A,New York Giants,Baltimore Ravens,2024,15,2024-12-15T18:00:00Z,700,DraftKings
Greg Dulcich,N/A,New York Giants,Baltimore Ravens,2024,15,2024-12-15T18:00:00Z,1100,DraftKings
Tylan Wallace,N/A,New York Giants,Baltimore Ravens,2024,15,2024-12-15T18:00:00Z,1000,DraftKings
Zay Flowers,N/A,New York Giants,Baltimore Ravens,2024,15,2024-12-15T18:00:00Z,140,DraftKings
New York Giants D/ST,N/A,New York Giants,Baltimore Ravens,2024,15,2024-12-15T18:00:00Z,550,DraftKings
Malik Nabers,N/A,New York Giants,Baltimore Ravens,2024,15,2024-12-15T18:00:00Z,215,DraftKings
Daniel Bellinger,N/A,New York Giants,Baltimore Ravens,2024,15,2024-12-15T18:00:00Z,950,DraftKings
Rashod Bateman,N/A,New York Giants,Baltimore Ravens,2024,15,2024-12-15T18:00:00Z,230,DraftKings
Eric Gray,N/A,New York Giants,Baltimore Ravens,2024,15,2024-12-15T18:00:00Z,2500,DraftKings
Justice Hill,N/A,New York Giants,Baltimore Ravens,2024,15,2024-12-15T18:00:00Z,450,DraftKings
Jalin Hyatt,N/A,New York Giants,Baltimore Ravens,2024,15,2024-12-15T18:00:00Z,900,DraftKings
Cooper Rush,N/A,Carolina Panthers,Dallas Cowboys,2024,15,2024-12-15T18:00:00Z,1000,DraftKings
CeeDee Lamb,N/A,Carolina Panthers,Dallas Cowboys,2024,15,2024-12-15T18:00:00Z,160,DraftKings
Raheem Blackshear,N/A,Carolina Panthers,Dallas Cowboys,2024,15,2024-12-15T18:00:00Z,380,DraftKings
Hunter Luepke,N/A,Carolina Panthers,Dallas Cowboys,2024,15,2024-12-15T18:00:00Z,1400,DraftKings
Tommy Tremble,N/A,Carolina Panthers,Dallas Cowboys,2024,15,2024-12-15T18:00:00Z,500,DraftKings
Feleipe Franks,N/A,Carolina Panthers,Dallas Cowboys,2024,15,2024-12-15T18:00:00Z,2000,DraftKings
Carolina Panthers D/ST,N/A,Carolina Panthers,Dallas Cowboys,2024,15,2024-12-15T18:00:00Z,450,DraftKings
Deven Thompkins,N/A,Carolina Panthers,Dallas Cowboys,2024,15,2024-12-15T18:00:00Z,1200,DraftKings
Dallas Cowboys D/ST,N/A,Carolina Panthers,Dallas Cowboys,2024,15,2024-12-15T18:00:00Z,450,DraftKings
Luke Schoonmaker,N/A,Carolina Panthers,Dallas Cowboys,2024,15,2024-12-15T18:00:00Z,800,DraftKings
Chuba Hubbard,N/A,Carolina Panthers,Dallas Cowboys,2024,15,2024-12-15T18:00:00Z,-175,DraftKings
Jonathan Mingo,N/A,Carolina Panthers,Dallas Cowboys,2024,15,2024-12-15T18:00:00Z,1400,DraftKings
Ezekiel Elliott,N/A,Carolina Panthers,Dallas Cowboys,2024,15,2024-12-15T18:00:00Z,550,DraftKings
Rico Dowdle,N/A,Carolina Panthers,Dallas Cowboys,2024,15,2024-12-15T18:00:00Z,-125,DraftKings
Jake Ferguson,N/A,Carolina Panthers,Dallas Cowboys,2024,15,2024-12-15T18:00:00Z,265,DraftKings
Dan Chisena,N/A,Carolina Panthers,Dallas Cowboys,2024,15,2024-12-15T18:00:00Z,1200,DraftKings
Ryan Flournoy,N/A,Carolina Panthers,Dallas Cowboys,2024,15,2024-12-15T18:00:00Z,1900,DraftKings
Adam Thielen,N/A,Carolina Panthers,Dallas Cowboys,2024,15,2024-12-15T18:00:00Z,185,DraftKings
Brandin Cooks,N/A,Carolina Panthers,Dallas Cowboys,2024,15,2024-12-15T18:00:00Z,350,DraftKings
John Stephens Jr.,N/A,Carolina Panthers,Dallas Cowboys,2024,15,2024-12-15T18:00:00Z,2800,DraftKings
Xavier Legette,N/A,Carolina Panthers,Dallas Cowboys,2024,15,2024-12-15T18:00:00Z,235,DraftKings
Jalen Tolbert,N/A,Carolina Panthers,Dallas Cowboys,2024,15,2024-12-15T18:00:00Z,600,DraftKings
Brevyn Spann-Ford,N/A,Carolina Panthers,Dallas Cowboys,2024,15,2024-12-15T18:00:00Z,2500,DraftKings
Bryce Young,N/A,Carolina Panthers,Dallas Cowboys,2024,15,2024-12-15T18:00:00Z,500,DraftKings
Ja'Tavion Sanders,N/A,Carolina Panthers,Dallas Cowboys,2024,15,2024-12-15T18:00:00Z,475,DraftKings
Jalen Brooks,N/A,Carolina Panthers,Dallas Cowboys,2024,15,2024-12-15T18:00:00Z,1000,DraftKings
Trenton Irwin,N/A,Carolina Panthers,Dallas Cowboys,2024,15,2024-12-15T18:00:00Z,1200,DraftKings
David Moore,N/A,Carolina Panthers,Dallas Cowboys,2024,15,2024-12-15T18:00:00Z,320,DraftKings
KaVontae Turpin,N/A,Carolina Panthers,Dallas Cowboys,2024,15,2024-12-15T18:00:00Z,650,DraftKings
Deuce Vaughn,N/A,Carolina Panthers,Dallas Cowboys,2024,15,2024-12-15T18:00:00Z,1900,DraftKings
Trayveon Williams,N/A,Tennessee Titans,Cincinnati Bengals,2024,15,2024-12-15T18:00:00Z,1600,DraftKings
Bryce Oliver,N/A,Tennessee Titans,Cincinnati Bengals,2024,15,2024-12-15T18:00:00Z,1200,DraftKings
Cincinnati Bengals D/ST,N/A,Tennessee Titans,Cincinnati Bengals,2024,15,2024-12-15T18:00:00Z,425,DraftKings
Mason Kinsey,N/A,Tennessee Titans,Cincinnati Bengals,2024,15,2024-12-15T18:00:00Z,2200,DraftKings
Nick Westbrook-Ikhine,N/A,Tennessee Titans,Cincinnati Bengals,2024,15,2024-12-15T18:00:00Z,240,DraftKings
Chigoziem Okonkwo,N/A,Tennessee Titans,Cincinnati Bengals,2024,15,2024-12-15T18:00:00Z,380,DraftKings
Khalil Herbert,N/A,Tennessee Titans,Cincinnati Bengals,2024,15,2024-12-15T18:00:00Z,370,DraftKings
Chase Brown,N/A,Tennessee Titans,Cincinnati Bengals,2024,15,2024-12-15T18:00:00Z,-185,DraftKings
Cam Grandy,N/A,Tennessee Titans,Cincinnati Bengals,2024,15,2024-12-15T18:00:00Z,1800,DraftKings
Will Levis,N/A,Tennessee Titans,Cincinnati Bengals,2024,15,2024-12-15T18:00:00Z,500,DraftKings
Tennessee Titans D/ST,N/A,Tennessee Titans,Cincinnati Bengals,2024,15,2024-12-15T18:00:00Z,500,DraftKings
Charlie Jones,N/A,Tennessee Titans,Cincinnati Bengals,2024,15,2024-12-15T18:00:00Z,2000,DraftKings
Tyjae Spears,N/A,Tennessee Titans,Cincinnati Bengals,2024,15,2024-12-15T18:00:00Z,130,DraftKings
Nick Vannett,N/A,Tennessee Titans,Cincinnati Bengals,2024,15,2024-12-15T18:00:00Z,800,DraftKings
Tanner McLachlan,N/A,Tennessee Titans,Cincinnati Bengals,2024,15,2024-12-15T18:00:00Z,2800,DraftKings
Tyler Boyd,N/A,Tennessee Titans,Cincinnati Bengals,2024,15,2024-12-15T18:00:00Z,350,DraftKings
Josh Whyle,N/A,Tennessee Titans,Cincinnati Bengals,2024,15,2024-12-15T18:00:00Z,750,DraftKings
Calvin Ridley,N/A,Tennessee Titans,Cincinnati Bengals,2024,15,2024-12-15T18:00:00Z,155,DraftKings
Ja'Marr Chase,N/A,Tennessee Titans,Cincinnati Bengals,2024,15,2024-12-15T18:00:00Z,-135,DraftKings
Joshua Kelley,N/A,Tennessee Titans,Cincinnati Bengals,2024,15,2024-12-15T18:00:00Z,1700,DraftKings
Drew Sample,N/A,Tennessee Titans,Cincinnati Bengals,2024,15,2024-12-15T18:00:00Z,550,DraftKings
Tony Pollard,N/A,Tennessee Titans,Cincinnati Bengals,2024,15,2024-12-15T18:00:00Z,110,DraftKings
Jermaine Burton,N/A,Tennessee Titans,Cincinnati Bengals,2024,15,2024-12-15T18:00:00Z,1100,DraftKings
Mike Gesicki,N/A,Tennessee Titans,Cincinnati Bengals,2024,15,2024-12-15T18:00:00Z,310,DraftKings
Tanner Hudson,N/A,Tennessee Titans,Cincinnati Bengals,2024,15,2024-12-15T18:00:00Z,800,DraftKings
Jha'Quan Jackson,N/A,Tennessee Titans,Cincinnati Bengals,2024,15,2024-12-15T18:00:00Z,2500,DraftKings
Isaiah Williams,N/A,Tennessee Titans,Cincinnati Bengals,2024,15,2024-12-15T18:00:00Z,2000,DraftKings
Tee Higgins,N/A,Tennessee Titans,Cincinnati Bengals,2024,15,2024-12-15T18:00:00Z,160,DraftKings
Julius Chestnut,N/A,Tennessee Titans,Cincinnati Bengals,2024,15,2024-12-15T18:00:00Z,500,DraftKings
Andrei Iosivas,N/A,Tennessee Titans,Cincinnati Bengals,2024,15,2024-12-15T18:00:00Z,390,DraftKings
Joe Burrow,N/A,Tennessee Titans,Cincinnati Bengals,2024,15,2024-12-15T18:00:00Z,390,DraftKings
Jordan Akins,N/A,Cleveland Browns,Kansas City Chiefs,2024,15,2024-12-15T18:00:00Z,400,DraftKings
Noah Gray,N/A,Cleveland Browns,Kansas City Chiefs,2024,15,2024-12-15T18:00:00Z,350,DraftKings
Cedric Tillman,N/A,Cleveland Browns,Kansas City Chiefs,2024,15,2024-12-15T18:00:00Z,260,DraftKings
DeAndre Hopkins,N/A,Cleveland Browns,Kansas City Chiefs,2024,15,2024-12-15T18:00:00Z,220,DraftKings
