Player,Team,HomeTeam,AwayTeam,Season,Week,GameDate,Odds,Bookmaker
Kimani Vidal,N/A,Los Angeles Chargers,Denver Broncos,2024,16,2024-12-20T01:16:00Z,245,DraftKings
DJ Chark Jr.,N/A,Los Angeles Chargers,Denver Broncos,2024,16,2024-12-20T01:16:00Z,700,DraftKings
Joshua Palmer,N/A,Los Angeles Chargers,Denver Broncos,2024,16,2024-12-20T01:16:00Z,320,DraftKings
Hayden Hurst,N/A,Los Angeles Chargers,Denver Broncos,2024,16,2024-12-20T01:16:00Z,400,DraftKings
Eric Tomlinson,N/A,Los Angeles Chargers,Denver Broncos,2024,16,2024-12-20T01:16:00Z,1400,DraftKings
Ladd McConkey,N/A,Los Angeles Chargers,Denver Broncos,2024,16,2024-12-20T01:16:00Z,160,DraftKings
Courtland Sutton,N/A,Los Angeles Chargers,Denver Broncos,2024,16,2024-12-20T01:16:00Z,170,DraftKings
Stone Smartt,N/A,Los Angeles Chargers,Denver Broncos,2024,16,2024-12-20T01:16:00Z,380,DraftKings
Tucker Fisk,N/A,Los Angeles Chargers,Denver Broncos,2024,16,2024-12-20T01:16:00Z,1000,DraftKings
Javonte Williams,N/A,Los Angeles Chargers,Denver Broncos,2024,16,2024-12-20T01:16:00Z,145,DraftKings
Troy Franklin,N/A,Los Angeles Chargers,Denver Broncos,2024,16,2024-12-20T01:16:00Z,600,DraftKings
Derius Davis,N/A,Los Angeles Chargers,Denver Broncos,2024,16,2024-12-20T01:16:00Z,950,DraftKings
Bo Nix,N/A,Los Angeles Chargers,Denver Broncos,2024,16,2024-12-20T01:16:00Z,240,DraftKings
Denver Broncos D/ST,N/A,Los Angeles Chargers,Denver Broncos,2024,16,2024-12-20T01:16:00Z,475,DraftKings
Gus Edwards,N/A,Los Angeles Chargers,Denver Broncos,2024,16,2024-12-20T01:16:00Z,140,DraftKings
Hassan Haskins,N/A,Los Angeles Chargers,Denver Broncos,2024,16,2024-12-20T01:16:00Z,1100,DraftKings
Laviska Shenault Jr.,N/A,Los Angeles Chargers,Denver Broncos,2024,16,2024-12-20T01:16:00Z,1100,DraftKings
Quentin Johnston,N/A,Los Angeles Chargers,Denver Broncos,2024,16,2024-12-20T01:16:00Z,275,DraftKings
Michael Burton,N/A,Los Angeles Chargers,Denver Broncos,2024,16,2024-12-20T01:16:00Z,1800,DraftKings
Audric Estime,N/A,Los Angeles Chargers,Denver Broncos,2024,16,2024-12-20T01:16:00Z,280,DraftKings
Los Angeles Chargers D/ST,N/A,Los Angeles Chargers,Denver Broncos,2024,16,2024-12-20T01:16:00Z,450,DraftKings
Nate Adkins,N/A,Los Angeles Chargers,Denver Broncos,2024,16,2024-12-20T01:16:00Z,1100,DraftKings
Devaughn Vele,N/A,Los Angeles Chargers,Denver Broncos,2024,16,2024-12-20T01:16:00Z,450,DraftKings
Lil'Jordan Humphrey,N/A,Los Angeles Chargers,Denver Broncos,2024,16,2024-12-20T01:16:00Z,850,DraftKings
Justin Herbert,N/A,Los Angeles Chargers,Denver Broncos,2024,16,2024-12-20T01:16:00Z,330,DraftKings
Adam Trautman,N/A,Los Angeles Chargers,Denver Broncos,2024,16,2024-12-20T01:16:00Z,600,DraftKings
Lucas Krull,N/A,Los Angeles Chargers,Denver Broncos,2024,16,2024-12-20T01:16:00Z,1000,DraftKings
Marvin Mims Jr.,N/A,Los Angeles Chargers,Denver Broncos,2024,16,2024-12-20T01:16:00Z,550,DraftKings
Baltimore Ravens D/ST,N/A,Baltimore Ravens,Pittsburgh Steelers,2024,16,2024-12-21T21:31:00Z,500,DraftKings
George Pickens,N/A,Baltimore Ravens,Pittsburgh Steelers,2024,16,2024-12-21T21:31:00Z,165,DraftKings
Justice Hill,N/A,Baltimore Ravens,Pittsburgh Steelers,2024,16,2024-12-21T21:31:00Z,425,DraftKings
Mike Williams,N/A,Baltimore Ravens,Pittsburgh Steelers,2024,16,2024-12-21T21:31:00Z,360,DraftKings
Darnell Washington,N/A,Baltimore Ravens,Pittsburgh Steelers,2024,16,2024-12-21T21:31:00Z,950,DraftKings
Najee Harris,N/A,Baltimore Ravens,Pittsburgh Steelers,2024,16,2024-12-21T21:31:00Z,125,DraftKings
Derrick Henry,N/A,Baltimore Ravens,Pittsburgh Steelers,2024,16,2024-12-21T21:31:00Z,-210,DraftKings
Zay Flowers,N/A,Baltimore Ravens,Pittsburgh Steelers,2024,16,2024-12-21T21:31:00Z,140,DraftKings
Van Jefferson,N/A,Baltimore Ravens,Pittsburgh Steelers,2024,16,2024-12-21T21:31:00Z,450,DraftKings
Nelson Agholor,N/A,Baltimore Ravens,Pittsburgh Steelers,2024,16,2024-12-21T21:31:00Z,425,DraftKings
Mark Andrews,N/A,Baltimore Ravens,Pittsburgh Steelers,2024,16,2024-12-21T21:31:00Z,195,DraftKings
Keaton Mitchell,N/A,Baltimore Ravens,Pittsburgh Steelers,2024,16,2024-12-21T21:31:00Z,1000,DraftKings
Patrick Ricard,N/A,Baltimore Ravens,Pittsburgh Steelers,2024,16,2024-12-21T21:31:00Z,1100,DraftKings
