player_id,player_display_name,position,team,season,week,receptions,targets,receiving_yards,rushing_tds,receiving_tds,opponent_team,wopr,receiving_epa,target_share,receiving_air_yards,air_yards_share,racr,scored_touchdown,total_tds,merge_name,redzone_target_share,redzone_trips,redzone_tds,redzone_td_rate,pass_rate,endzone_targets,endzone_target_share,spread_line,total_line,implied_total,inside_5_target_share,rec_touchdown_exp,rec_touchdown_exp_team,explosive_receiving_plays,passing_tds_allowed_to_WR,passing_tds_allowed_to_TE,passing_tds_allowed_to_LB,passing_tds_allowed_to_DB,explosive_receiving_plays_allowed,receiving_yards_allowed,receiving_epa_allowed,receiving_air_yards_allowed,depth_chart_rank,offense_snap_share,avg_cushion,avg_separation,avg_intended_air_yards,percent_share_of_intended_air_yards,catch_percentage,avg_expected_yac,avg_yac_above_expectation,game_id,home_team,away_team,weekday,gametime,roof,surface,temp,wind,div_game
00-0027691,Andre Roberts,WR,BUF,2020,1,0,0,0,0,0,NYJ,0.0,0.0,0.0,0,0.0,0.0,0,0,andre roberts,0.0,8.0,3.0,0.375,0.5897435897435898,0.0,0.0,-6.5,39.5,23.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,312,17.974840044016176,274,2,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020_01_NYJ_BUF,BUF,NYJ,Sunday,13:00,outdoors,astroturf,67.0,15.0,1
00-0027696,Jimmy Graham,TE,CHI,2020,1,3,7,25,0,1,DET,0.3658787010506208,-0.013897635595640168,0.19444444444444445,37,0.10601719197707736,0.6756756756756757,1,1,jimmy graham,0.2727272727272727,5.0,2.0,0.4,0.5625,2.0,0.05555555555555555,2.5,42.5,20.0,0.3333333333333333,0.97,4.06,0.0,2.0,1.0,0.0,0.0,3.0,242,4.312619184923225,349,1,0.8,5.32,0.8083079273701017,6.415714285714287,11.83274490172314,42.857142857142854,3.842166324037256,0.6845003426294078,2020_01_CHI_DET,DET,CHI,Sunday,13:00,dome,fieldturf,0.0,0.0,1
00-0027942,A.J. Green,WR,CIN,2020,1,5,9,51,0,0,LAC,0.703240058910162,-1.1096361850987069,0.2571428571428571,132,0.4536082474226804,0.38636363636363635,0,0,aj green,0.0,2.0,0.0,0.0,0.5625,2.0,0.05555555555555555,3.0,41.5,19.25,0.0,0.65,1.43,0.0,0.0,0.0,0.0,0.0,0.0,193,-1.4864025694451177,291,1,0.66,4.665555555555555,2.2359903681402247,14.740000000000002,44.01897999137274,55.55555555555556,3.290617223633558,-0.3246172236335596,2020_01_LAC_CIN,CIN,LAC,Sunday,16:05,outdoors,grass,83.0,6.0,0
00-0027944,Julio Jones,WR,ATL,2020,1,9,12,157,0,0,SEA,0.597298884321785,6.918159662062898,0.23076923076923078,188,0.35877862595419846,0.8351063829787234,0,0,julio jones,0.1,4.0,3.0,0.75,0.72,0.0,0.0,1.0,49.0,24.0,0.0,0.12,2.19,2.0,2.0,0.0,0.0,0.0,5.0,450,16.73003664467357,487,1,0.81,6.478333333333334,2.1849055830964743,15.402500000000002,35.28232733936549,75.0,2.284836532276011,1.0473856899462084,2020_01_SEA_ATL,ATL,SEA,Sunday,13:00,closed,fieldturf,0.0,0.0,0
00-0027981,Kyle Rudolph,TE,MIN,2020,1,2,2,28,0,0,GB,0.17767790262172284,2.421017159247925,0.08,22,0.08239700374531835,1.2727272727272727,0,0,kyle rudolph,0.0,5.0,3.0,0.6,0.5319148936170213,0.0,0.0,-2.5,44.5,23.5,0.0,0.01,0.9400000000000001,1.0,2.0,0.0,0.0,0.0,5.0,259,11.35531363507329,267,1,0.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020_01_GB_MIN,MIN,GB,Sunday,13:00,dome,sportturf,0.0,0.0,1
00-0028002,Randall Cobb,WR,HOU,2020,1,2,3,23,0,0,KC,0.17236977088795163,0.25358748451992874,0.0967741935483871,11,0.038869257950530034,2.090909090909091,0,0,randall cobb,0.5,3.0,3.0,1.0,0.5925925925925926,1.0,0.03125,9.0,54.0,22.5,1.0,0.41,1.1300000000000001,0.0,0.0,1.0,0.0,0.0,3.0,253,8.463132031025175,260,2,0.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020_01_HOU_KC,KC,HOU,Thursday,20:20,outdoors,grass,56.0,7.0,0
00-0028042,Luke Stocker,TE,ATL,2020,1,0,1,0,0,0,SEA,0.035525543159130944,-0.2801667182939127,0.019230769230769232,5,0.009541984732824428,0.0,0,0,luke stocker,0.0,4.0,3.0,0.75,0.72,0.0,0.0,1.0,49.0,24.0,0.0,0.0,2.19,0.0,2.0,0.0,0.0,0.0,5.0,450,16.73003664467357,487,3,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020_01_SEA_ATL,ATL,SEA,Sunday,13:00,closed,fieldturf,0.0,0.0,0
00-0028142,Virgil Green,TE,LAC,2020,1,1,2,10,0,0,CIN,0.12643335048893464,-0.15598774142563343,0.06896551724137931,11,0.03283582089552239,0.9090909090909091,0,0,virgil green,0.0,3.0,1.0,0.3333333333333333,0.43478260869565216,0.0,0.0,-3.0,41.5,22.25,0.0,0.01,1.82,0.0,0.0,0.0,0.0,0.0,3.0,208,1.8435349414474431,328,2,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020_01_LAC_CIN,CIN,LAC,Sunday,16:05,outdoors,grass,83.0,6.0,0
00-0028237,Chris Hogan,WR,NYJ,2020,1,1,4,0,0,0,BUF,0.31528121683763705,-3.1748745084623806,0.12121212121212122,49,0.19066147859922178,0.0,0,0,chris hogan,0.3333333333333333,3.0,1.0,0.3333333333333333,0.7,1.0,0.029411764705882353,6.5,39.5,16.5,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,215,-4.918799121631309,257,1,0.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020_01_NYJ_BUF,BUF,NYJ,Sunday,13:00,outdoors,astroturf,67.0,15.0,1
00-0028411,Dontrelle Inman,WR,WAS,2020,1,2,5,21,0,0,PHI,0.44758064516129037,-0.37191992840962484,0.16666666666666666,70,0.28225806451612906,0.3,0,0,dontrelle inman,0.0,5.0,3.0,0.6,0.4626865671641791,0.0,0.0,5.0,42.0,18.5,0.0,0.05,1.34,0.0,0.0,1.0,0.0,0.0,1.0,178,2.0827280483460116,248,1,0.51,8.076,2.180852547040047,13.654000000000002,28.721076987799748,40.0,6.562846558867932,-2.9978465588679324,2020_01_PHI_WAS,WAS,PHI,Sunday,13:00,outdoors,grass,76.0,5.0,1
