Player,Team,HomeTeam,AwayTeam,Season,Week,GameDate,Odds,Bookmaker
David Montgomery,N/A,Detroit Lions,Green Bay Packers,2023,12,2023-11-23T17:31:00Z,-155,DraftKings
Jahmyr Gibbs,N/A,Detroit Lions,Green Bay Packers,2023,12,2023-11-23T17:31:00Z,-130,DraftKings
Amon-Ra St. Brown,N/A,Detroit Lions,Green Bay Packers,2023,12,2023-11-23T17:31:00Z,-105,DraftKings
Sam LaPorta,N/A,Detroit Lions,Green Bay Packers,2023,12,2023-11-23T17:31:00Z,145,DraftKings
AJ Dillon,N/A,Detroit Lions,Green Bay Packers,2023,12,2023-11-23T17:31:00Z,120,DraftKings
Christian Watson,N/A,Detroit Lions,Green Bay Packers,2023,12,2023-11-23T17:31:00Z,200,DraftKings
Romeo Doubs,N/A,Detroit Lions,Green Bay Packers,2023,12,2023-11-23T17:31:00Z,220,DraftKings
Jameson Williams,N/A,Detroit Lions,Green Bay Packers,2023,12,2023-11-23T17:31:00Z,265,DraftKings
Jayden Reed,N/A,Detroit Lions,Green Bay Packers,2023,12,2023-11-23T17:31:00Z,255,DraftKings
Josh Reynolds,N/A,Detroit Lions,Green Bay Packers,2023,12,2023-11-23T17:31:00Z,400,DraftKings
Jared Goff,N/A,Detroit Lions,Green Bay Packers,2023,12,2023-11-23T17:31:00Z,400,DraftKings
Tucker Kraft,N/A,Detroit Lions,Green Bay Packers,2023,12,2023-11-23T17:31:00Z,400,DraftKings
Dontayvion Wicks,N/A,Detroit Lions,Green Bay Packers,2023,12,2023-11-23T17:31:00Z,475,DraftKings
Jordan Love,N/A,Detroit Lions,Green Bay Packers,2023,12,2023-11-23T17:31:00Z,550,DraftKings
Patrick Taylor,N/A,Detroit Lions,Green Bay Packers,2023,12,2023-11-23T17:31:00Z,500,DraftKings
Kalif Raymond,N/A,Detroit Lions,Green Bay Packers,2023,12,2023-11-23T17:31:00Z,850,DraftKings
Brock Wright,N/A,Detroit Lions,Green Bay Packers,2023,12,2023-11-23T17:31:00Z,1000,DraftKings
Malik Heath,N/A,Detroit Lions,Green Bay Packers,2023,12,2023-11-23T17:31:00Z,850,DraftKings
Ben Sims,N/A,Detroit Lions,Green Bay Packers,2023,12,2023-11-23T17:31:00Z,950,DraftKings
James Robinson,N/A,Detroit Lions,Green Bay Packers,2023,12,2023-11-23T17:31:00Z,800,DraftKings
Donovan Peoples-Jones,N/A,Detroit Lions,Green Bay Packers,2023,12,2023-11-23T17:31:00Z,1000,DraftKings
Craig Reynolds,N/A,Detroit Lions,Green Bay Packers,2023,12,2023-11-23T17:31:00Z,1300,DraftKings
Josiah Deguara,N/A,Detroit Lions,Green Bay Packers,2023,12,2023-11-23T17:31:00Z,1400,DraftKings
Samori Toure,N/A,Detroit Lions,Green Bay Packers,2023,12,2023-11-23T17:31:00Z,2000,DraftKings
James Mitchell,N/A,Detroit Lions,Green Bay Packers,2023,12,2023-11-23T17:31:00Z,1900,DraftKings
Bo Melton,N/A,Detroit Lions,Green Bay Packers,2023,12,2023-11-23T17:31:00Z,2000,DraftKings
Tony Pollard,N/A,Dallas Cowboys,Washington Commanders,2023,12,2023-11-23T21:31:00Z,-165,DraftKings
CeeDee Lamb,N/A,Dallas Cowboys,Washington Commanders,2023,12,2023-11-23T21:31:00Z,-150,DraftKings
Jake Ferguson,N/A,Dallas Cowboys,Washington Commanders,2023,12,2023-11-23T21:31:00Z,115,DraftKings
Brandin Cooks,N/A,Dallas Cowboys,Washington Commanders,2023,12,2023-11-23T21:31:00Z,190,DraftKings
Brian Robinson Jr.,N/A,Dallas Cowboys,Washington Commanders,2023,12,2023-11-23T21:31:00Z,125,DraftKings
Rico Dowdle,N/A,Dallas Cowboys,Washington Commanders,2023,12,2023-11-23T21:31:00Z,240,DraftKings
Dak Prescott,N/A,Dallas Cowboys,Washington Commanders,2023,12,2023-11-23T21:31:00Z,270,DraftKings
Michael Gallup,N/A,Dallas Cowboys,Washington Commanders,2023,12,2023-11-23T21:31:00Z,350,DraftKings
Deuce Vaughn,N/A,Dallas Cowboys,Washington Commanders,2023,12,2023-11-23T21:31:00Z,500,DraftKings
Jalen Tolbert,N/A,Dallas Cowboys,Washington Commanders,2023,12,2023-11-23T21:31:00Z,500,DraftKings
Luke Schoonmaker,N/A,Dallas Cowboys,Washington Commanders,2023,12,2023-11-23T21:31:00Z,475,DraftKings
Terry McLaurin,N/A,Dallas Cowboys,Washington Commanders,2023,12,2023-11-23T21:31:00Z,295,DraftKings
