Player,Team,HomeTeam,AwayTeam,Season,Week,GameDate,Odds,Bookmaker
Jonathan Taylor,N/A,Indianapolis Colts,Houston Texans,2023,18,2024-01-07T01:16:00Z,-220,DraftKings
Devin Singletary,N/A,Indianapolis Colts,Houston Texans,2023,18,2024-01-07T01:16:00Z,-120,DraftKings
Nico Collins,N/A,Indianapolis Colts,Houston Texans,2023,18,2024-01-07T01:16:00Z,130,DraftKings
Michael Pittman Jr.,N/A,Indianapolis Colts,Houston Texans,2023,18,2024-01-07T01:16:00Z,140,DraftKings
Dalton Schultz,N/A,Indianapolis Colts,Houston Texans,2023,18,2024-01-07T01:16:00Z,150,DraftKings
Noah Brown,N/A,Indianapolis Colts,Houston Texans,2023,18,2024-01-07T01:16:00Z,200,DraftKings
Zack Moss,N/A,Indianapolis Colts,Houston Texans,2023,18,2024-01-07T01:16:00Z,220,DraftKings
Dameon Pierce,N/A,Indianapolis Colts,Houston Texans,2023,18,2024-01-07T01:16:00Z,275,DraftKings
Josh Downs,N/A,Indianapolis Colts,Houston Texans,2023,18,2024-01-07T01:16:00Z,330,DraftKings
Alec Pierce,N/A,Indianapolis Colts,Houston Texans,2023,18,2024-01-07T01:16:00Z,330,DraftKings
Brevin Jordan,N/A,Indianapolis Colts,Houston Texans,2023,18,2024-01-07T01:16:00Z,390,DraftKings
Trey Sermon,N/A,Indianapolis Colts,Houston Texans,2023,18,2024-01-07T01:16:00Z,425,DraftKings
Robert Woods,N/A,Indianapolis Colts,Houston Texans,2023,18,2024-01-07T01:16:00Z,390,DraftKings
Kylen Granson,N/A,Indianapolis Colts,Houston Texans,2023,18,2024-01-07T01:16:00Z,550,DraftKings
Xavier Hutchinson,N/A,Indianapolis Colts,Houston Texans,2023,18,2024-01-07T01:16:00Z,550,DraftKings
Mo Alie-Cox,N/A,Indianapolis Colts,Houston Texans,2023,18,2024-01-07T01:16:00Z,550,DraftKings
Gardner Minshew,N/A,Indianapolis Colts,Houston Texans,2023,18,2024-01-07T01:16:00Z,600,DraftKings
C.J. Stroud,N/A,Indianapolis Colts,Houston Texans,2023,18,2024-01-07T01:16:00Z,650,DraftKings
John Metchie III,N/A,Indianapolis Colts,Houston Texans,2023,18,2024-01-07T01:16:00Z,550,DraftKings
D.J. Montgomery,N/A,Indianapolis Colts,Houston Texans,2023,18,2024-01-07T01:16:00Z,650,DraftKings
Tyler Goodson,N/A,Indianapolis Colts,Houston Texans,2023,18,2024-01-07T01:16:00Z,650,DraftKings
Will Mallory,N/A,Indianapolis Colts,Houston Texans,2023,18,2024-01-07T01:16:00Z,750,DraftKings
Dare Ogunbowale,N/A,Indianapolis Colts,Houston Texans,2023,18,2024-01-07T01:16:00Z,750,DraftKings
Eric Saubert,N/A,Indianapolis Colts,Houston Texans,2023,18,2024-01-07T01:16:00Z,700,DraftKings
Ethan Fernea,N/A,Indianapolis Colts,Houston Texans,2023,18,2024-01-07T01:16:00Z,1800,DraftKings
Alvin Kamara,N/A,New Orleans Saints,Atlanta Falcons,2023,18,2024-01-07T18:01:00Z,100,DraftKings
Jamaal Williams,N/A,New Orleans Saints,Atlanta Falcons,2023,18,2024-01-07T18:01:00Z,115,DraftKings
Bijan Robinson,N/A,New Orleans Saints,Atlanta Falcons,2023,18,2024-01-07T18:01:00Z,105,DraftKings
Chris Olave,N/A,New Orleans Saints,Atlanta Falcons,2023,18,2024-01-07T18:01:00Z,160,DraftKings
Taysom Hill,N/A,New Orleans Saints,Atlanta Falcons,2023,18,2024-01-07T18:01:00Z,155,DraftKings
Rashid Shaheed,N/A,New Orleans Saints,Atlanta Falcons,2023,18,2024-01-07T18:01:00Z,245,DraftKings
Juwan Johnson,N/A,New Orleans Saints,Atlanta Falcons,2023,18,2024-01-07T18:01:00Z,280,DraftKings
Tyler Allgeier,N/A,New Orleans Saints,Atlanta Falcons,2023,18,2024-01-07T18:01:00Z,255,DraftKings
Kyle Pitts,N/A,New Orleans Saints,Atlanta Falcons,2023,18,2024-01-07T18:01:00Z,285,DraftKings
Drake London,N/A,New Orleans Saints,Atlanta Falcons,2023,18,2024-01-07T18:01:00Z,265,DraftKings
Kendre Miller,N/A,New Orleans Saints,Atlanta Falcons,2023,18,2024-01-07T18:01:00Z,390,DraftKings
Jonnu Smith,N/A,New Orleans Saints,Atlanta Falcons,2023,18,2024-01-07T18:01:00Z,370,DraftKings
A.T. Perry,N/A,New Orleans Saints,Atlanta Falcons,2023,18,2024-01-07T18:01:00Z,550,DraftKings
Jimmy Graham,N/A,New Orleans Saints,Atlanta Falcons,2023,18,2024-01-07T18:01:00Z,550,DraftKings
Cordarrelle Patterson,N/A,New Orleans Saints,Atlanta Falcons,2023,18,2024-01-07T18:01:00Z,500,DraftKings
Foster Moreau,N/A,New Orleans Saints,Atlanta Falcons,2023,18,2024-01-07T18:01:00Z,650,DraftKings
Taylor Heinicke,N/A,New Orleans Saints,Atlanta Falcons,2023,18,2024-01-07T18:01:00Z,550,DraftKings
Van Jefferson,N/A,New Orleans Saints,Atlanta Falcons,2023,18,2024-01-07T18:01:00Z,600,DraftKings
KhaDarel Hodge,N/A,New Orleans Saints,Atlanta Falcons,2023,18,2024-01-07T18:01:00Z,800,DraftKings
Mack Hollins,N/A,New Orleans Saints,Atlanta Falcons,2023,18,2024-01-07T18:01:00Z,850,DraftKings
Lynn Bowden Jr.,N/A,New Orleans Saints,Atlanta Falcons,2023,18,2024-01-07T18:01:00Z,950,DraftKings
Scott Miller,N/A,New Orleans Saints,Atlanta Falcons,2023,18,2024-01-07T18:01:00Z,900,DraftKings
Derek Carr,N/A,New Orleans Saints,Atlanta Falcons,2023,18,2024-01-07T18:01:00Z,1100,DraftKings
