Player,Team,HomeTeam,AwayTeam,Season,Week,GameDate,Odds,Bookmaker
Saquon Barkley,N/A,Philadelphia Eagles,Washington Commanders,2024,11,2024-11-15T01:15:00Z,-180,DraftKings
Jalen Hurts,N/A,Philadelphia Eagles,Washington Commanders,2024,11,2024-11-15T01:15:00Z,-105,DraftKings
AJ Brown,N/A,Philadelphia Eagles,Washington Commanders,2024,11,2024-11-15T01:15:00Z,120,DraftKings
Brian Robinson Jr.,N/A,Philadelphia Eagles,Washington Commanders,2024,11,2024-11-15T01:15:00Z,125,DraftKings
DeVonta Smith,N/A,Philadelphia Eagles,Washington Commanders,2024,11,2024-11-15T01:15:00Z,165,DraftKings
Terry McLaurin,N/A,Philadelphia Eagles,Washington Commanders,2024,11,2024-11-15T01:15:00Z,130,DraftKings
Dallas Goedert,N/A,Philadelphia Eagles,Washington Commanders,2024,11,2024-11-15T01:15:00Z,230,DraftKings
Jayden Daniels,N/A,Philadelphia Eagles,Washington Commanders,2024,11,2024-11-15T01:15:00Z,235,DraftKings
Austin Ekeler,N/A,Philadelphia Eagles,Washington Commanders,2024,11,2024-11-15T01:15:00Z,210,DraftKings
Zach Ertz,N/A,Philadelphia Eagles,Washington Commanders,2024,11,2024-11-15T01:15:00Z,285,DraftKings
Noah Brown,N/A,Philadelphia Eagles,Washington Commanders,2024,11,2024-11-15T01:15:00Z,280,DraftKings
Philadelphia Eagles D/ST,N/A,Philadelphia Eagles,Washington Commanders,2024,11,2024-11-15T01:15:00Z,450,DraftKings
Washington Commanders D/ST,N/A,Philadelphia Eagles,Washington Commanders,2024,11,2024-11-15T01:15:00Z,500,DraftKings
Kenneth Gainwell,N/A,Philadelphia Eagles,Washington Commanders,2024,11,2024-11-15T01:15:00Z,650,DraftKings
Jahan Dotson,N/A,Philadelphia Eagles,Washington Commanders,2024,11,2024-11-15T01:15:00Z,700,DraftKings
Johnny Wilson,N/A,Philadelphia Eagles,Washington Commanders,2024,11,2024-11-15T01:15:00Z,750,DraftKings
