Player,Team,HomeTeam,AwayTeam,Season,Week,GameDate,Over_Line,Over_Odds,Under_Line,Under_Odds,Bookmaker
Bijan Robinson,N/A,Atlanta Falcons,Tampa Bay Buccaneers,2024,5,2024-10-04T00:15:00Z,3.5,-125.0,3.5,-105,DraftKings
Bucky Irving,N/A,Atlanta Falcons,Tampa Bay Buccaneers,2024,5,2024-10-04T00:15:00Z,1.5,-120.0,1.5,-110,DraftKings
Cade Otton,N/A,Atlanta Falcons,Tampa Bay Buccaneers,2024,5,2024-10-04T00:15:00Z,3.5,-120.0,3.5,-110,DraftKings
Chris Godwin,N/A,Atlanta Falcons,Tampa Bay Buccaneers,2024,5,2024-10-04T00:15:00Z,5.5,-155.0,5.5,120,DraftKings
Darnell Mooney,N/A,Atlanta Falcons,Tampa Bay Buccaneers,2024,5,2024-10-04T00:15:00Z,3.5,-165.0,3.5,125,DraftKings
Drake London,N/A,Atlanta Falcons,Tampa Bay Buccaneers,2024,5,2024-10-04T00:15:00Z,5.5,-105.0,5.5,-125,DraftKings
Kyle Pitts,N/A,Atlanta Falcons,Tampa Bay Buccaneers,2024,5,2024-10-04T00:15:00Z,2.5,-150.0,2.5,115,DraftKings
Mike Evans,N/A,Atlanta Falcons,Tampa Bay Buccaneers,2024,5,2024-10-04T00:15:00Z,4.5,-120.0,4.5,-110,DraftKings
Rachaad White,N/A,Atlanta Falcons,Tampa Bay Buccaneers,2024,5,2024-10-04T00:15:00Z,3.5,115.0,3.5,-150,DraftKings
Ray-Ray McCloud III,N/A,Atlanta Falcons,Tampa Bay Buccaneers,2024,5,2024-10-04T00:15:00Z,3.5,-115.0,3.5,-115,DraftKings
Sterling Shepard,N/A,Atlanta Falcons,Tampa Bay Buccaneers,2024,5,2024-10-04T00:15:00Z,2.5,-105.0,2.5,-125,DraftKings
Aaron Jones,N/A,Minnesota Vikings,New York Jets,2024,5,2024-10-06T13:30:00Z,3.5,-135.0,3.5,105,DraftKings
Allen Lazard,N/A,Minnesota Vikings,New York Jets,2024,5,2024-10-06T13:30:00Z,2.5,-170.0,2.5,130,DraftKings
Breece Hall,N/A,Minnesota Vikings,New York Jets,2024,5,2024-10-06T13:30:00Z,4.5,115.0,4.5,-150,DraftKings
Garrett Wilson,N/A,Minnesota Vikings,New York Jets,2024,5,2024-10-06T13:30:00Z,4.5,-165.0,4.5,125,DraftKings
Jalen Nailor,N/A,Minnesota Vikings,New York Jets,2024,5,2024-10-06T13:30:00Z,1.5,150.0,1.5,-200,DraftKings
Johnny Mundt,N/A,Minnesota Vikings,New York Jets,2024,5,2024-10-06T13:30:00Z,1.5,-150.0,1.5,115,DraftKings
Jordan Addison,N/A,Minnesota Vikings,New York Jets,2024,5,2024-10-06T13:30:00Z,3.5,140.0,3.5,-185,DraftKings
Justin Jefferson,N/A,Minnesota Vikings,New York Jets,2024,5,2024-10-06T13:30:00Z,5.5,-135.0,5.5,105,DraftKings
Mike Williams,N/A,Minnesota Vikings,New York Jets,2024,5,2024-10-06T13:30:00Z,2.5,-120.0,2.5,-110,DraftKings
Tyler Conklin,N/A,Minnesota Vikings,New York Jets,2024,5,2024-10-06T13:30:00Z,2.5,-170.0,2.5,130,DraftKings
Andrei Iosivas,N/A,Cincinnati Bengals,Baltimore Ravens,2024,5,2024-10-06T17:00:00Z,2.5,-120.0,2.5,-110,DraftKings
Derrick Henry,N/A,Cincinnati Bengals,Baltimore Ravens,2024,5,2024-10-06T17:00:00Z,1.5,100.0,1.5,-130,DraftKings
Isaiah Likely,N/A,Cincinnati Bengals,Baltimore Ravens,2024,5,2024-10-06T17:00:00Z,2.5,-105.0,2.5,-125,DraftKings
Ja'Marr Chase,N/A,Cincinnati Bengals,Baltimore Ravens,2024,5,2024-10-06T17:00:00Z,5.5,-130.0,5.5,100,DraftKings
Justice Hill,N/A,Cincinnati Bengals,Baltimore Ravens,2024,5,2024-10-06T17:00:00Z,2.5,-130.0,2.5,100,DraftKings
Mark Andrews,N/A,Cincinnati Bengals,Baltimore Ravens,2024,5,2024-10-06T17:00:00Z,2.5,115.0,2.5,-150,DraftKings
Mike Gesicki,N/A,Cincinnati Bengals,Baltimore Ravens,2024,5,2024-10-06T17:00:00Z,2.5,-105.0,2.5,-125,DraftKings
Nelson Agholor,N/A,Cincinnati Bengals,Baltimore Ravens,2024,5,2024-10-06T17:00:00Z,1.5,125.0,1.5,-165,DraftKings
Rashod Bateman,N/A,Cincinnati Bengals,Baltimore Ravens,2024,5,2024-10-06T17:00:00Z,2.5,110.0,2.5,-145,DraftKings
Tee Higgins,N/A,Cincinnati Bengals,Baltimore Ravens,2024,5,2024-10-06T17:00:00Z,4.5,120.0,4.5,-155,DraftKings
Zack Moss,N/A,Cincinnati Bengals,Baltimore Ravens,2024,5,2024-10-06T17:00:00Z,2.5,-145.0,2.5,110,DraftKings
Zay Flowers,N/A,Cincinnati Bengals,Baltimore Ravens,2024,5,2024-10-06T17:00:00Z,4.5,-120.0,4.5,-110,DraftKings
Dalton Schultz,N/A,Houston Texans,Buffalo Bills,2024,5,2024-10-06T17:00:00Z,2.5,-150.0,2.5,115,DraftKings
Nico Collins,N/A,Houston Texans,Buffalo Bills,2024,5,2024-10-06T17:00:00Z,6.5,115.0,6.5,-150,DraftKings
Stefon Diggs,N/A,Houston Texans,Buffalo Bills,2024,5,2024-10-06T17:00:00Z,5.5,115.0,5.5,-150,DraftKings
Cole Kmet,N/A,Chicago Bears,Carolina Panthers,2024,5,2024-10-06T17:00:00Z,2.5,-165.0,2.5,125,DraftKings
DJ Moore,N/A,Chicago Bears,Carolina Panthers,2024,5,2024-10-06T17:00:00Z,4.5,-115.0,4.5,-115,DraftKings
D'Andre Swift,N/A,Chicago Bears,Carolina Panthers,2024,5,2024-10-06T17:00:00Z,,,2.5,-145,DraftKings
Keenan Allen,N/A,Chicago Bears,Carolina Panthers,2024,5,2024-10-06T17:00:00Z,4.5,120.0,4.5,-155,DraftKings
Roschon Johnson,N/A,Chicago Bears,Carolina Panthers,2024,5,2024-10-06T17:00:00Z,1.5,-130.0,1.5,100,DraftKings
Noah Brown,N/A,Washington Commanders,Cleveland Browns,2024,5,2024-10-06T17:00:00Z,2.5,-125.0,2.5,-105,DraftKings
Terry McLaurin,N/A,Washington Commanders,Cleveland Browns,2024,5,2024-10-06T17:00:00Z,4.5,105.0,4.5,-135,DraftKings
Zach Ertz,N/A,Washington Commanders,Cleveland Browns,2024,5,2024-10-06T17:00:00Z,3.5,130.0,3.5,-170,DraftKings
Hunter Henry,N/A,New England Patriots,Miami Dolphins,2024,5,2024-10-06T17:00:00Z,2.5,-150.0,2.5,115,DraftKings
Ja'Lynn Polk,N/A,New England Patriots,Miami Dolphins,2024,5,2024-10-06T17:00:00Z,2.5,-125.0,2.5,-105,DraftKings
Brock Bowers,N/A,Denver Broncos,Las Vegas Raiders,2024,5,2024-10-06T20:05:00Z,4.5,-105.0,4.5,-125,DraftKings
Jakobi Meyers,N/A,Denver Broncos,Las Vegas Raiders,2024,5,2024-10-06T20:05:00Z,4.5,130.0,4.5,-170,DraftKings
