Player,Team,HomeTeam,AwayTeam,Season,Week,GameDate,Odds,Bookmaker
Jordan Mason,N/A,Seattle Seahawks,San Francisco 49ers,2024,6,2024-10-11T00:15:00Z,-195,DraftKings
Kenneth Walker III,N/A,Seattle Seahawks,San Francisco 49ers,2024,6,2024-10-11T00:15:00Z,-125,DraftKings
Deebo Samuel,N/A,Seattle Seahawks,San Francisco 49ers,2024,6,2024-10-11T00:15:00Z,120,DraftKings
Brandon Aiyuk,N/A,Seattle Seahawks,San Francisco 49ers,2024,6,2024-10-11T00:15:00Z,130,DraftKings
George Kittle,N/A,Seattle Seahawks,San Francisco 49ers,2024,6,2024-10-11T00:15:00Z,140,DraftKings
DK Metcalf,N/A,Seattle Seahawks,San Francisco 49ers,2024,6,2024-10-11T00:15:00Z,145,DraftKings
Jaxon Smith-Njigba,N/A,Seattle Seahawks,San Francisco 49ers,2024,6,2024-10-11T00:15:00Z,215,DraftKings
Jauan Jennings,N/A,Seattle Seahawks,San Francisco 49ers,2024,6,2024-10-11T00:15:00Z,255,DraftKings
Tyler Lockett,N/A,Seattle Seahawks,San Francisco 49ers,2024,6,2024-10-11T00:15:00Z,240,DraftKings
Zach Charbonnet,N/A,Seattle Seahawks,San Francisco 49ers,2024,6,2024-10-11T00:15:00Z,310,DraftKings
Noah Fant,N/A,Seattle Seahawks,San Francisco 49ers,2024,6,2024-10-11T00:15:00Z,360,DraftKings
Brock Purdy,N/A,Seattle Seahawks,San Francisco 49ers,2024,6,2024-10-11T00:15:00Z,400,DraftKings
Geno Smith,N/A,Seattle Seahawks,San Francisco 49ers,2024,6,2024-10-11T00:15:00Z,550,DraftKings
Kyle Juszczyk,N/A,Seattle Seahawks,San Francisco 49ers,2024,6,2024-10-11T00:15:00Z,700,DraftKings
AJ Barner,N/A,Seattle Seahawks,San Francisco 49ers,2024,6,2024-10-11T00:15:00Z,650,DraftKings
Isaac Guerendo,N/A,Seattle Seahawks,San Francisco 49ers,2024,6,2024-10-11T00:15:00Z,750,DraftKings
Jake Bobo,N/A,Seattle Seahawks,San Francisco 49ers,2024,6,2024-10-11T00:15:00Z,850,DraftKings
Eric Saubert,N/A,Seattle Seahawks,San Francisco 49ers,2024,6,2024-10-11T00:15:00Z,1000,DraftKings
Ronnie Bell,N/A,Seattle Seahawks,San Francisco 49ers,2024,6,2024-10-11T00:15:00Z,1300,DraftKings
Dareke Young,N/A,Seattle Seahawks,San Francisco 49ers,2024,6,2024-10-11T00:15:00Z,1200,DraftKings
Trent Taylor,N/A,Seattle Seahawks,San Francisco 49ers,2024,6,2024-10-11T00:15:00Z,1200,DraftKings
Laviska Shenault Jr,N/A,Seattle Seahawks,San Francisco 49ers,2024,6,2024-10-11T00:15:00Z,1400,DraftKings
Kenny McIntosh,N/A,Seattle Seahawks,San Francisco 49ers,2024,6,2024-10-11T00:15:00Z,1700,DraftKings
Pharaoh Brown,N/A,Seattle Seahawks,San Francisco 49ers,2024,6,2024-10-11T00:15:00Z,1500,DraftKings
Jake Tonges,N/A,Seattle Seahawks,San Francisco 49ers,2024,6,2024-10-11T00:15:00Z,1700,DraftKings
Brayden Willis,N/A,Seattle Seahawks,San Francisco 49ers,2024,6,2024-10-11T00:15:00Z,2200,DraftKings
D'Andre Swift,N/A,Chicago Bears,Jacksonville Jaguars,2024,6,2024-10-13T13:30:00Z,110,DraftKings
Travis Etienne Jr.,N/A,Chicago Bears,Jacksonville Jaguars,2024,6,2024-10-13T13:30:00Z,140,DraftKings
DJ Moore,N/A,Chicago Bears,Jacksonville Jaguars,2024,6,2024-10-13T13:30:00Z,135,DraftKings
Tank Bigsby,N/A,Chicago Bears,Jacksonville Jaguars,2024,6,2024-10-13T13:30:00Z,160,DraftKings
Brian Thomas Jr,N/A,Chicago Bears,Jacksonville Jaguars,2024,6,2024-10-13T13:30:00Z,155,DraftKings
Keenan Allen,N/A,Chicago Bears,Jacksonville Jaguars,2024,6,2024-10-13T13:30:00Z,185,DraftKings
Roschon Johnson,N/A,Chicago Bears,Jacksonville Jaguars,2024,6,2024-10-13T13:30:00Z,205,DraftKings
Rome Odunze,N/A,Chicago Bears,Jacksonville Jaguars,2024,6,2024-10-13T13:30:00Z,240,DraftKings
Cole Kmet,N/A,Chicago Bears,Jacksonville Jaguars,2024,6,2024-10-13T13:30:00Z,245,DraftKings
Christian Kirk,N/A,Chicago Bears,Jacksonville Jaguars,2024,6,2024-10-13T13:30:00Z,220,DraftKings
Evan Engram,N/A,Chicago Bears,Jacksonville Jaguars,2024,6,2024-10-13T13:30:00Z,235,DraftKings
Brenton Strange,N/A,Chicago Bears,Jacksonville Jaguars,2024,6,2024-10-13T13:30:00Z,245,DraftKings
Gabe Davis,N/A,Chicago Bears,Jacksonville Jaguars,2024,6,2024-10-13T13:30:00Z,300,DraftKings
Caleb Williams,N/A,Chicago Bears,Jacksonville Jaguars,2024,6,2024-10-13T13:30:00Z,390,DraftKings
Trevor Lawrence,N/A,Chicago Bears,Jacksonville Jaguars,2024,6,2024-10-13T13:30:00Z,360,DraftKings
Gerald Everett,N/A,Chicago Bears,Jacksonville Jaguars,2024,6,2024-10-13T13:30:00Z,700,DraftKings
Khalil Herbert,N/A,Chicago Bears,Jacksonville Jaguars,2024,6,2024-10-13T13:30:00Z,950,DraftKings
Luke Farrell,N/A,Chicago Bears,Jacksonville Jaguars,2024,6,2024-10-13T13:30:00Z,900,DraftKings
D'Ernest Johnson,N/A,Chicago Bears,Jacksonville Jaguars,2024,6,2024-10-13T13:30:00Z,1000,DraftKings
Marcedes Lewis,N/A,Chicago Bears,Jacksonville Jaguars,2024,6,2024-10-13T13:30:00Z,1100,DraftKings
Parker Washington,N/A,Chicago Bears,Jacksonville Jaguars,2024,6,2024-10-13T13:30:00Z,1100,DraftKings
Tim Jones,N/A,Chicago Bears,Jacksonville Jaguars,2024,6,2024-10-13T13:30:00Z,1300,DraftKings
DeAndre Carter,N/A,Chicago Bears,Jacksonville Jaguars,2024,6,2024-10-13T13:30:00Z,1700,DraftKings
Devin Duvernay,N/A,Chicago Bears,Jacksonville Jaguars,2024,6,2024-10-13T13:30:00Z,1600,DraftKings
Tyler Scott,N/A,Chicago Bears,Jacksonville Jaguars,2024,6,2024-10-13T13:30:00Z,2000,DraftKings
