Player,Team,HomeTeam,AwayTeam,Season,Week,GameDate,Odds,Bookmaker
Marcedes Lewis,N/A,Chicago Bears,Seattle Seahawks,2024,17,2024-12-27T01:16:00Z,3500,DraftKings
Jaelon Darden,N/A,Chicago Bears,Seattle Seahawks,2024,17,2024-12-27T01:16:00Z,1800,DraftKings
Pharaoh Brown,N/A,Chicago Bears,Seattle Seahawks,2024,17,2024-12-27T01:16:00Z,1100,DraftKings
D'Andre Swift,N/A,Chicago Bears,Seattle Seahawks,2024,17,2024-12-27T01:16:00Z,155,DraftKings
Tyler Scott,N/A,Chicago Bears,Seattle Seahawks,2024,17,2024-12-27T01:16:00Z,1700,DraftKings
Tyler Lockett,N/A,Chicago Bears,Seattle Seahawks,2024,17,2024-12-27T01:16:00Z,450,DraftKings
Rome Odunze,N/A,Chicago Bears,Seattle Seahawks,2024,17,2024-12-27T01:16:00Z,300,DraftKings
Dareke Young,N/A,Chicago Bears,Seattle Seahawks,2024,17,2024-12-27T01:16:00Z,2500,DraftKings
Noah Fant,N/A,Chicago Bears,Seattle Seahawks,2024,17,2024-12-27T01:16:00Z,475,DraftKings
Geno Smith,N/A,Chicago Bears,Seattle Seahawks,2024,17,2024-12-27T01:16:00Z,550,DraftKings
Zach Charbonnet,N/A,Chicago Bears,Seattle Seahawks,2024,17,2024-12-27T01:16:00Z,-195,DraftKings
Darrynton Evans,N/A,Chicago Bears,Seattle Seahawks,2024,17,2024-12-27T01:16:00Z,1500,DraftKings
Jake Bobo,N/A,Chicago Bears,Seattle Seahawks,2024,17,2024-12-27T01:16:00Z,1000,DraftKings
AJ Barner,N/A,Chicago Bears,Seattle Seahawks,2024,17,2024-12-27T01:16:00Z,1000,DraftKings
DJ Moore,N/A,Chicago Bears,Seattle Seahawks,2024,17,2024-12-27T01:16:00Z,230,DraftKings
DK Metcalf,N/A,Chicago Bears,Seattle Seahawks,2024,17,2024-12-27T01:16:00Z,220,DraftKings
Caleb Williams,N/A,Chicago Bears,Seattle Seahawks,2024,17,2024-12-27T01:16:00Z,450,DraftKings
Chicago Bears D/ST,N/A,Chicago Bears,Seattle Seahawks,2024,17,2024-12-27T01:16:00Z,450,DraftKings
Kenny McIntosh,N/A,Chicago Bears,Seattle Seahawks,2024,17,2024-12-27T01:16:00Z,320,DraftKings
Collin Johnson,N/A,Chicago Bears,Seattle Seahawks,2024,17,2024-12-27T01:16:00Z,2200,DraftKings
Cole Kmet,N/A,Chicago Bears,Seattle Seahawks,2024,17,2024-12-27T01:16:00Z,390,DraftKings
Jaxon Smith-Njigba,N/A,Chicago Bears,Seattle Seahawks,2024,17,2024-12-27T01:16:00Z,195,DraftKings
Keenan Allen,N/A,Chicago Bears,Seattle Seahawks,2024,17,2024-12-27T01:16:00Z,225,DraftKings
Seattle Seahawks D/ST,N/A,Chicago Bears,Seattle Seahawks,2024,17,2024-12-27T01:16:00Z,390,DraftKings
Gerald Everett,N/A,Chicago Bears,Seattle Seahawks,2024,17,2024-12-27T01:16:00Z,1100,DraftKings
Roschon Johnson,N/A,Chicago Bears,Seattle Seahawks,2024,17,2024-12-27T01:16:00Z,350,DraftKings
Terrell Jennings,N/A,New England Patriots,Los Angeles Chargers,2024,17,2024-12-28T18:01:00Z,1500,DraftKings
Stone Smartt,N/A,New England Patriots,Los Angeles Chargers,2024,17,2024-12-28T18:01:00Z,295,DraftKings
Hassan Haskins,N/A,New England Patriots,Los Angeles Chargers,2024,17,2024-12-28T18:01:00Z,850,DraftKings
Kimani Vidal,N/A,New England Patriots,Los Angeles Chargers,2024,17,2024-12-28T18:01:00Z,270,DraftKings
Hayden Hurst,N/A,New England Patriots,Los Angeles Chargers,2024,17,2024-12-28T18:01:00Z,500,DraftKings
Antonio Gibson,N/A,New England Patriots,Los Angeles Chargers,2024,17,2024-12-28T18:01:00Z,255,DraftKings
Joshua Palmer,N/A,New England Patriots,Los Angeles Chargers,2024,17,2024-12-28T18:01:00Z,230,DraftKings
Laviska Shenault Jr.,N/A,New England Patriots,Los Angeles Chargers,2024,17,2024-12-28T18:01:00Z,1600,DraftKings
Jaheim Bell,N/A,New England Patriots,Los Angeles Chargers,2024,17,2024-12-28T18:01:00Z,1400,DraftKings
Quentin Johnston,N/A,New England Patriots,Los Angeles Chargers,2024,17,2024-12-28T18:01:00Z,230,DraftKings
Derius Davis,N/A,New England Patriots,Los Angeles Chargers,2024,17,2024-12-28T18:01:00Z,900,DraftKings
