Player,Team,HomeTeam,AwayTeam,Season,Week,GameDate,Over_Line,Over_Odds,Under_Line,Under_Odds,Bookmaker
Jaxon Smith-Njigba,N/A,Chicago Bears,Seattle Seahawks,2024,17,2024-12-27T01:16:00Z,6.5,120,6.5,-155,DraftKings
Keenan Allen,N/A,Chicago Bears,Seattle Seahawks,2024,17,2024-12-27T01:16:00Z,5.5,-135,5.5,105,DraftKings
DJ Moore,N/A,Chicago Bears,Seattle Seahawks,2024,17,2024-12-27T01:16:00Z,5.5,-130,5.5,100,DraftKings
DK Metcalf,N/A,Chicago Bears,Seattle Seahawks,2024,17,2024-12-27T01:16:00Z,4.5,105,4.5,-135,DraftKings
Rome Odunze,N/A,Chicago Bears,Seattle Seahawks,2024,17,2024-12-27T01:16:00Z,3.5,-145,3.5,110,DraftKings
Zach Charbonnet,N/A,Chicago Bears,Seattle Seahawks,2024,17,2024-12-27T01:16:00Z,3.5,-105,3.5,-125,DraftKings
Noah Fant,N/A,Chicago Bears,Seattle Seahawks,2024,17,2024-12-27T01:16:00Z,3.5,120,3.5,-155,DraftKings
Cole Kmet,N/A,Chicago Bears,Seattle Seahawks,2024,17,2024-12-27T01:16:00Z,2.5,145,2.5,-190,DraftKings
D'Andre Swift,N/A,Chicago Bears,Seattle Seahawks,2024,17,2024-12-27T01:16:00Z,2.5,150,2.5,-200,DraftKings
Tyler Lockett,N/A,Chicago Bears,Seattle Seahawks,2024,17,2024-12-27T01:16:00Z,1.5,-115,1.5,-115,DraftKings
AJ Barner,N/A,Chicago Bears,Seattle Seahawks,2024,17,2024-12-27T01:16:00Z,1.5,130,1.5,-170,DraftKings
Courtland Sutton,N/A,Cincinnati Bengals,Denver Broncos,2024,17,2024-12-28T21:31:00Z,5.5,-105,5.5,-125,DraftKings
Devaughn Vele,N/A,Cincinnati Bengals,Denver Broncos,2024,17,2024-12-28T21:31:00Z,2.5,-130,2.5,100,DraftKings
Javonte Williams,N/A,Cincinnati Bengals,Denver Broncos,2024,17,2024-12-28T21:31:00Z,2.5,105,2.5,-135,DraftKings
Marvin Mims Jr.,N/A,Cincinnati Bengals,Denver Broncos,2024,17,2024-12-28T21:31:00Z,2.5,115,2.5,-150,DraftKings
Troy Franklin,N/A,Cincinnati Bengals,Denver Broncos,2024,17,2024-12-28T21:31:00Z,2.5,135,2.5,-175,DraftKings
Jaleel McLaughlin,N/A,Cincinnati Bengals,Denver Broncos,2024,17,2024-12-28T21:31:00Z,1.5,-110,1.5,-120,DraftKings
Puka Nacua,N/A,Los Angeles Rams,Arizona Cardinals,2024,17,2024-12-29T01:16:00Z,7.5,-145,7.5,110,DraftKings
Cooper Kupp,N/A,Los Angeles Rams,Arizona Cardinals,2024,17,2024-12-29T01:16:00Z,5.5,135,5.5,-175,DraftKings
Mike Evans,N/A,Tampa Bay Buccaneers,Carolina Panthers,2024,17,2024-12-29T18:00:00Z,5.5,-130,5.5,100,DraftKings
Chuba Hubbard,N/A,Tampa Bay Buccaneers,Carolina Panthers,2024,17,2024-12-29T18:00:00Z,3.5,-115,3.5,-115,DraftKings
Jalen McMillan,N/A,Tampa Bay Buccaneers,Carolina Panthers,2024,17,2024-12-29T18:00:00Z,3.5,-105,3.5,-125,DraftKings
Rachaad White,N/A,Tampa Bay Buccaneers,Carolina Panthers,2024,17,2024-12-29T18:00:00Z,2.5,-115,2.5,-115,DraftKings
Jake Ferguson,N/A,Philadelphia Eagles,Dallas Cowboys,2024,17,2024-12-29T18:00:00Z,4.5,-125,4.5,-105,DraftKings
Rico Dowdle,N/A,Philadelphia Eagles,Dallas Cowboys,2024,17,2024-12-29T18:00:00Z,2.5,-135,2.5,105,DraftKings
Brock Bowers,N/A,New Orleans Saints,Las Vegas Raiders,2024,17,2024-12-29T18:00:00Z,6.5,100,6.5,-130,DraftKings
Jakobi Meyers,N/A,New Orleans Saints,Las Vegas Raiders,2024,17,2024-12-29T18:00:00Z,5.5,110,5.5,-145,DraftKings
Tre Tucker,N/A,New Orleans Saints,Las Vegas Raiders,2024,17,2024-12-29T18:00:00Z,2.5,135,2.5,-175,DraftKings
Alexander Mattison,N/A,New Orleans Saints,Las Vegas Raiders,2024,17,2024-12-29T18:00:00Z,2.5,145,2.5,-190,DraftKings
Michael Mayer,N/A,New Orleans Saints,Las Vegas Raiders,2024,17,2024-12-29T18:00:00Z,1.5,-175,1.5,135,DraftKings
James Cook,N/A,Buffalo Bills,New York Jets,2024,17,2024-12-29T18:01:00Z,1.5,-155,1.5,120,DraftKings
Josh Downs,N/A,New York Giants,Indianapolis Colts,2024,17,2024-12-29T18:01:00Z,3.5,-150,3.5,115,DraftKings
Michael Pittman Jr.,N/A,New York Giants,Indianapolis Colts,2024,17,2024-12-29T18:01:00Z,3.5,-120,3.5,-110,DraftKings
Jonathan Taylor,N/A,New York Giants,Indianapolis Colts,2024,17,2024-12-29T18:01:00Z,1.5,120,1.5,-155,DraftKings
Brian Thomas Jr,N/A,Jacksonville Jaguars,Tennessee Titans,2024,17,2024-12-29T18:01:00Z,6.5,-110,6.5,-120,DraftKings
Calvin Ridley,N/A,Jacksonville Jaguars,Tennessee Titans,2024,17,2024-12-29T18:01:00Z,4.5,-125,4.5,-105,DraftKings
Chigoziem Okonkwo,N/A,Jacksonville Jaguars,Tennessee Titans,2024,17,2024-12-29T18:01:00Z,4.5,105,4.5,-135,DraftKings
Parker Washington,N/A,Jacksonville Jaguars,Tennessee Titans,2024,17,2024-12-29T18:01:00Z,3.5,120,3.5,-155,DraftKings
Travis Etienne Jr.,N/A,Jacksonville Jaguars,Tennessee Titans,2024,17,2024-12-29T18:01:00Z,2.5,-125,2.5,-105,DraftKings
Jerome Ford,N/A,Cleveland Browns,Miami Dolphins,2024,17,2024-12-29T21:06:00Z,2.5,-165,2.5,125,DraftKings
Justin Jefferson,N/A,Minnesota Vikings,Green Bay Packers,2024,17,2024-12-29T21:25:00Z,6.5,-125,6.5,-105,DraftKings
Jordan Addison,N/A,Minnesota Vikings,Green Bay Packers,2024,17,2024-12-29T21:25:00Z,4.5,-105,4.5,-125,DraftKings
T.J. Hockenson,N/A,Minnesota Vikings,Green Bay Packers,2024,17,2024-12-29T21:25:00Z,4.5,110,4.5,-145,DraftKings
Josh Jacobs,N/A,Minnesota Vikings,Green Bay Packers,2024,17,2024-12-29T21:25:00Z,2.5,-155,2.5,120,DraftKings
Aaron Jones,N/A,Minnesota Vikings,Green Bay Packers,2024,17,2024-12-29T21:25:00Z,2.5,-150,2.5,115,DraftKings
Jalen Nailor,N/A,Minnesota Vikings,Green Bay Packers,2024,17,2024-12-29T21:25:00Z,0.5,-190,0.5,145,DraftKings
Drake London,N/A,Washington Commanders,Atlanta Falcons,2024,17,2024-12-30T01:21:00Z,5.5,100,5.5,-130,DraftKings
Darnell Mooney,N/A,Washington Commanders,Atlanta Falcons,2024,17,2024-12-30T01:21:00Z,4.5,130,4.5,-170,DraftKings
Bijan Robinson,N/A,Washington Commanders,Atlanta Falcons,2024,17,2024-12-30T01:21:00Z,3.5,125,3.5,-165,DraftKings
Ray-Ray McCloud III,N/A,Washington Commanders,Atlanta Falcons,2024,17,2024-12-30T01:21:00Z,3.5,125,3.5,-165,DraftKings
Kyle Pitts,N/A,Washington Commanders,Atlanta Falcons,2024,17,2024-12-30T01:21:00Z,2.5,130,2.5,-170,DraftKings
Amon-Ra St. Brown,N/A,San Francisco 49ers,Detroit Lions,2024,17,2024-12-31T01:16:00Z,6.5,-120,6.5,-110,DraftKings
George Kittle,N/A,San Francisco 49ers,Detroit Lions,2024,17,2024-12-31T01:16:00Z,5.5,110,5.5,-145,DraftKings
Jauan Jennings,N/A,San Francisco 49ers,Detroit Lions,2024,17,2024-12-31T01:16:00Z,4.5,-155,4.5,120,DraftKings
Deebo Samuel,N/A,San Francisco 49ers,Detroit Lions,2024,17,2024-12-31T01:16:00Z,4.5,-110,4.5,-120,DraftKings
Jahmyr Gibbs,N/A,San Francisco 49ers,Detroit Lions,2024,17,2024-12-31T01:16:00Z,3.5,-165,3.5,125,DraftKings
Jameson Williams,N/A,San Francisco 49ers,Detroit Lions,2024,17,2024-12-31T01:16:00Z,3.5,-135,3.5,105,DraftKings
Sam LaPorta,N/A,San Francisco 49ers,Detroit Lions,2024,17,2024-12-31T01:16:00Z,3.5,-135,3.5,105,DraftKings
Ricky Pearsall,N/A,San Francisco 49ers,Detroit Lions,2024,17,2024-12-31T01:16:00Z,1.5,-185,1.5,140,DraftKings
