Player,Team,HomeTeam,AwayTeam,Season,Week,GameDate,Over_Line,Over_Odds,Under_Line,Under_Odds,Bookmaker
AJ Brown,N/A,Philadelphia Eagles,Washington Commanders,2024,11,2024-11-15T01:15:00Z,5.5,110,5.5,-145,DraftKings
Dallas Goedert,N/A,Philadelphia Eagles,Washington Commanders,2024,11,2024-11-15T01:15:00Z,3.5,110,3.5,-145,DraftKings
DeVonta Smith,N/A,Philadelphia Eagles,Washington Commanders,2024,11,2024-11-15T01:15:00Z,4.5,125,4.5,-165,DraftKings
Noah Brown,N/A,Philadelphia Eagles,Washington Commanders,2024,11,2024-11-15T01:15:00Z,3.5,115,3.5,-150,DraftKings
Saquon Barkley,N/A,Philadelphia Eagles,Washington Commanders,2024,11,2024-11-15T01:15:00Z,2.5,130,2.5,-170,DraftKings
Terry McLaurin,N/A,Philadelphia Eagles,Washington Commanders,2024,11,2024-11-15T01:15:00Z,4.5,-135,4.5,105,DraftKings
Zach Ertz,N/A,Philadelphia Eagles,Washington Commanders,2024,11,2024-11-15T01:15:00Z,3.5,-120,3.5,-110,DraftKings
Juwan Johnson,N/A,New Orleans Saints,Cleveland Browns,2024,11,2024-11-17T18:00:00Z,2.5,-125,2.5,-105,DraftKings
CeeDee Lamb,N/A,Dallas Cowboys,Houston Texans,2024,11,2024-11-19T01:15:00Z,6.5,125,6.5,-165,DraftKings
Dalton Schultz,N/A,Dallas Cowboys,Houston Texans,2024,11,2024-11-19T01:15:00Z,2.5,-170,2.5,130,DraftKings
Jalen Tolbert,N/A,Dallas Cowboys,Houston Texans,2024,11,2024-11-19T01:15:00Z,2.5,-115,2.5,-115,DraftKings
Joe Mixon,N/A,Dallas Cowboys,Houston Texans,2024,11,2024-11-19T01:15:00Z,2.5,-110,2.5,-120,DraftKings
Nico Collins,N/A,Dallas Cowboys,Houston Texans,2024,11,2024-11-19T01:15:00Z,5.5,-105,5.5,-125,DraftKings
Rico Dowdle,N/A,Dallas Cowboys,Houston Texans,2024,11,2024-11-19T01:15:00Z,2.5,-150,2.5,115,DraftKings
Tank Dell,N/A,Dallas Cowboys,Houston Texans,2024,11,2024-11-19T01:15:00Z,3.5,-145,3.5,110,DraftKings
