Player,Team,HomeTeam,AwayTeam,Season,Week,GameDate,Over_Line,Over_Odds,Under_Line,Under_Odds,Bookmaker
Puka Nacua,N/A,San Francisco 49ers,Los Angeles Rams,2024,15,2024-12-13T01:15:00Z,7.5,115,7.5,-150,DraftKings
Cooper Kupp,N/A,San Francisco 49ers,Los Angeles Rams,2024,15,2024-12-13T01:15:00Z,6.5,120,6.5,-155,DraftKings
Jauan Jennings,N/A,San Francisco 49ers,Los Angeles Rams,2024,15,2024-12-13T01:15:00Z,5.5,105,5.5,-135,DraftKings
George Kittle,N/A,San Francisco 49ers,Los Angeles Rams,2024,15,2024-12-13T01:15:00Z,4.5,-120,4.5,-110,DraftKings
Deebo Samuel,N/A,San Francisco 49ers,Los Angeles Rams,2024,15,2024-12-13T01:15:00Z,4.5,125,4.5,-165,DraftKings
Kyren Williams,N/A,San Francisco 49ers,Los Angeles Rams,2024,15,2024-12-13T01:15:00Z,2.5,170,2.5,-220,DraftKings
Ricky Pearsall,N/A,San Francisco 49ers,Los Angeles Rams,2024,15,2024-12-13T01:15:00Z,1.5,-105,1.5,-125,DraftKings
Zay Flowers,N/A,New York Giants,Baltimore Ravens,2024,15,2024-12-15T18:00:00Z,4.5,-120,4.5,-110,DraftKings
Mark Andrews,N/A,New York Giants,Baltimore Ravens,2024,15,2024-12-15T18:00:00Z,3.5,125,3.5,-165,DraftKings
Rashod Bateman,N/A,New York Giants,Baltimore Ravens,2024,15,2024-12-15T18:00:00Z,2.5,115,2.5,-150,DraftKings
Isaiah Likely,N/A,New York Giants,Baltimore Ravens,2024,15,2024-12-15T18:00:00Z,2.5,135,2.5,-175,DraftKings
Justice Hill,N/A,New York Giants,Baltimore Ravens,2024,15,2024-12-15T18:00:00Z,1.5,-200,1.5,150,DraftKings
CeeDee Lamb,N/A,Carolina Panthers,Dallas Cowboys,2024,15,2024-12-15T18:00:00Z,5.5,-150,5.5,115,DraftKings
Adam Thielen,N/A,Carolina Panthers,Dallas Cowboys,2024,15,2024-12-15T18:00:00Z,4.5,-130,4.5,100,DraftKings
Jake Ferguson,N/A,Carolina Panthers,Dallas Cowboys,2024,15,2024-12-15T18:00:00Z,4.5,115,4.5,-150,DraftKings
Xavier Legette,N/A,Carolina Panthers,Dallas Cowboys,2024,15,2024-12-15T18:00:00Z,3.5,120,3.5,-155,DraftKings
Chuba Hubbard,N/A,Carolina Panthers,Dallas Cowboys,2024,15,2024-12-15T18:00:00Z,2.5,-130,2.5,100,DraftKings
Brandin Cooks,N/A,Carolina Panthers,Dallas Cowboys,2024,15,2024-12-15T18:00:00Z,2.5,-105,2.5,-125,DraftKings
Rico Dowdle,N/A,Carolina Panthers,Dallas Cowboys,2024,15,2024-12-15T18:00:00Z,2.5,130,2.5,-170,DraftKings
Ja'Marr Chase,N/A,Tennessee Titans,Cincinnati Bengals,2024,15,2024-12-15T18:00:00Z,6.5,-155,6.5,120,DraftKings
Tee Higgins,N/A,Tennessee Titans,Cincinnati Bengals,2024,15,2024-12-15T18:00:00Z,5.5,-115,5.5,-115,DraftKings
Calvin Ridley,N/A,Tennessee Titans,Cincinnati Bengals,2024,15,2024-12-15T18:00:00Z,4.5,-130,4.5,100,DraftKings
Chase Brown,N/A,Tennessee Titans,Cincinnati Bengals,2024,15,2024-12-15T18:00:00Z,4.5,105,4.5,-135,DraftKings
Chigoziem Okonkwo,N/A,Tennessee Titans,Cincinnati Bengals,2024,15,2024-12-15T18:00:00Z,2.5,-145,2.5,110,DraftKings
Mike Gesicki,N/A,Tennessee Titans,Cincinnati Bengals,2024,15,2024-12-15T18:00:00Z,2.5,105,2.5,-135,DraftKings
Andrei Iosivas,N/A,Tennessee Titans,Cincinnati Bengals,2024,15,2024-12-15T18:00:00Z,2.5,135,2.5,-175,DraftKings
Noah Gray,N/A,Cleveland Browns,Kansas City Chiefs,2024,15,2024-12-15T18:00:00Z,2.5,-165,2.5,125,DraftKings
Nico Collins,N/A,Houston Texans,Miami Dolphins,2024,15,2024-12-15T18:00:00Z,6.5,115,6.5,-150,DraftKings
Tyreek Hill,N/A,Houston Texans,Miami Dolphins,2024,15,2024-12-15T18:00:00Z,5.5,-105,5.5,-125,DraftKings
De'Von Achane,N/A,Houston Texans,Miami Dolphins,2024,15,2024-12-15T18:00:00Z,4.5,-135,4.5,105,DraftKings
Jonnu Smith,N/A,Houston Texans,Miami Dolphins,2024,15,2024-12-15T18:00:00Z,4.5,-130,4.5,100,DraftKings
Jaylen Waddle,N/A,Houston Texans,Miami Dolphins,2024,15,2024-12-15T18:00:00Z,4.5,-115,4.5,-115,DraftKings
Tank Dell,N/A,Houston Texans,Miami Dolphins,2024,15,2024-12-15T18:00:00Z,3.5,-115,3.5,-115,DraftKings
Dalton Schultz,N/A,Houston Texans,Miami Dolphins,2024,15,2024-12-15T18:00:00Z,3.5,110,3.5,-145,DraftKings
Joe Mixon,N/A,Houston Texans,Miami Dolphins,2024,15,2024-12-15T18:00:00Z,3.5,110,3.5,-145,DraftKings
John Metchie III,N/A,Houston Texans,Miami Dolphins,2024,15,2024-12-15T18:00:00Z,1.5,-130,1.5,100,DraftKings
Davante Adams,N/A,Jacksonville Jaguars,New York Jets,2024,15,2024-12-15T18:00:00Z,6.5,120,6.5,-155,DraftKings
Garrett Wilson,N/A,Jacksonville Jaguars,New York Jets,2024,15,2024-12-15T18:00:00Z,5.5,-105,5.5,-125,DraftKings
Evan Engram,N/A,Jacksonville Jaguars,New York Jets,2024,15,2024-12-15T18:00:00Z,4.5,-150,4.5,115,DraftKings
Brian Thomas Jr,N/A,Jacksonville Jaguars,New York Jets,2024,15,2024-12-15T18:00:00Z,4.5,-145,4.5,110,DraftKings
Parker Washington,N/A,Jacksonville Jaguars,New York Jets,2024,15,2024-12-15T18:00:00Z,2.5,-125,2.5,-105,DraftKings
Tyler Conklin,N/A,Jacksonville Jaguars,New York Jets,2024,15,2024-12-15T18:00:00Z,2.5,-110,2.5,-120,DraftKings
Travis Etienne Jr.,N/A,Jacksonville Jaguars,New York Jets,2024,15,2024-12-15T18:00:00Z,2.5,120,2.5,-155,DraftKings
Allen Lazard,N/A,Jacksonville Jaguars,New York Jets,2024,15,2024-12-15T18:00:00Z,2.5,125,2.5,-165,DraftKings
Alvin Kamara,N/A,New Orleans Saints,Washington Commanders,2024,15,2024-12-15T18:00:00Z,4.5,115,4.5,-150,DraftKings
Hunter Henry,N/A,Arizona Cardinals,New England Patriots,2024,15,2024-12-15T21:25:00Z,4.5,-120,4.5,-110,DraftKings
DeMario Douglas,N/A,Arizona Cardinals,New England Patriots,2024,15,2024-12-15T21:25:00Z,4.5,115,4.5,-150,DraftKings
Kayshon Boutte,N/A,Arizona Cardinals,New England Patriots,2024,15,2024-12-15T21:25:00Z,2.5,-145,2.5,110,DraftKings
Kendrick Bourne,N/A,Arizona Cardinals,New England Patriots,2024,15,2024-12-15T21:25:00Z,2.5,-135,2.5,105,DraftKings
Rhamondre Stevenson,N/A,Arizona Cardinals,New England Patriots,2024,15,2024-12-15T21:25:00Z,2.5,-130,2.5,100,DraftKings
Austin Hooper,N/A,Arizona Cardinals,New England Patriots,2024,15,2024-12-15T21:25:00Z,2.5,120,2.5,-155,DraftKings
Amon-Ra St. Brown,N/A,Detroit Lions,Buffalo Bills,2024,15,2024-12-15T21:25:00Z,6.5,110,6.5,-145,DraftKings
Jameson Williams,N/A,Detroit Lions,Buffalo Bills,2024,15,2024-12-15T21:25:00Z,3.5,-170,3.5,130,DraftKings
Sam LaPorta,N/A,Detroit Lions,Buffalo Bills,2024,15,2024-12-15T21:25:00Z,3.5,-165,3.5,125,DraftKings
Jahmyr Gibbs,N/A,Detroit Lions,Buffalo Bills,2024,15,2024-12-15T21:25:00Z,2.5,-165,2.5,125,DraftKings
David Montgomery,N/A,Detroit Lions,Buffalo Bills,2024,15,2024-12-15T21:25:00Z,2.5,125,2.5,-165,DraftKings
Josh Downs,N/A,Denver Broncos,Indianapolis Colts,2024,15,2024-12-15T21:25:00Z,4.5,115,4.5,-150,DraftKings
Michael Pittman Jr.,N/A,Denver Broncos,Indianapolis Colts,2024,15,2024-12-15T21:25:00Z,3.5,-130,3.5,100,DraftKings
Devaughn Vele,N/A,Denver Broncos,Indianapolis Colts,2024,15,2024-12-15T21:25:00Z,3.5,110,3.5,-145,DraftKings
Javonte Williams,N/A,Denver Broncos,Indianapolis Colts,2024,15,2024-12-15T21:25:00Z,2.5,-115,2.5,-115,DraftKings
Jonathan Taylor,N/A,Denver Broncos,Indianapolis Colts,2024,15,2024-12-15T21:25:00Z,1.5,-110,1.5,-120,DraftKings
Mike Evans,N/A,Los Angeles Chargers,Tampa Bay Buccaneers,2024,15,2024-12-15T21:25:00Z,5.5,115,5.5,-150,DraftKings
AJ Brown,N/A,Philadelphia Eagles,Pittsburgh Steelers,2024,15,2024-12-15T21:25:00Z,5.5,100,5.5,-130,DraftKings
DeVonta Smith,N/A,Philadelphia Eagles,Pittsburgh Steelers,2024,15,2024-12-15T21:25:00Z,4.5,125,4.5,-165,DraftKings
Pat Freiermuth,N/A,Philadelphia Eagles,Pittsburgh Steelers,2024,15,2024-12-15T21:25:00Z,3.5,-105,3.5,-125,DraftKings
Jaylen Warren,N/A,Philadelphia Eagles,Pittsburgh Steelers,2024,15,2024-12-15T21:25:00Z,2.5,-165,2.5,125,DraftKings
Grant Calcaterra,N/A,Philadelphia Eagles,Pittsburgh Steelers,2024,15,2024-12-15T21:25:00Z,2.5,-105,2.5,-125,DraftKings
Calvin Austin III,N/A,Philadelphia Eagles,Pittsburgh Steelers,2024,15,2024-12-15T21:25:00Z,2.5,110,2.5,-145,DraftKings
Najee Harris,N/A,Philadelphia Eagles,Pittsburgh Steelers,2024,15,2024-12-15T21:25:00Z,2.5,145,2.5,-190,DraftKings
Saquon Barkley,N/A,Philadelphia Eagles,Pittsburgh Steelers,2024,15,2024-12-15T21:25:00Z,2.5,145,2.5,-190,DraftKings
Van Jefferson,N/A,Philadelphia Eagles,Pittsburgh Steelers,2024,15,2024-12-15T21:25:00Z,2.5,155,2.5,-205,DraftKings
Mike Williams,N/A,Philadelphia Eagles,Pittsburgh Steelers,2024,15,2024-12-15T21:25:00Z,1.5,-135,1.5,105,DraftKings
Jaxon Smith-Njigba,N/A,Seattle Seahawks,Green Bay Packers,2024,15,2024-12-16T01:20:00Z,5.5,-150,5.5,115,DraftKings
DK Metcalf,N/A,Seattle Seahawks,Green Bay Packers,2024,15,2024-12-16T01:20:00Z,5.5,110,5.5,-145,DraftKings
Tucker Kraft,N/A,Seattle Seahawks,Green Bay Packers,2024,15,2024-12-16T01:20:00Z,3.5,-105,3.5,-125,DraftKings
Noah Fant,N/A,Seattle Seahawks,Green Bay Packers,2024,15,2024-12-16T01:20:00Z,2.5,-145,2.5,110,DraftKings
Tyler Lockett,N/A,Seattle Seahawks,Green Bay Packers,2024,15,2024-12-16T01:20:00Z,2.5,120,2.5,-155,DraftKings
Josh Jacobs,N/A,Seattle Seahawks,Green Bay Packers,2024,15,2024-12-16T01:20:00Z,2.5,130,2.5,-170,DraftKings
Justin Jefferson,N/A,Minnesota Vikings,Chicago Bears,2024,15,2024-12-17T01:00:00Z,6.5,120,6.5,-155,DraftKings
DJ Moore,N/A,Minnesota Vikings,Chicago Bears,2024,15,2024-12-17T01:00:00Z,5.5,-105,5.5,-125,DraftKings
Keenan Allen,N/A,Minnesota Vikings,Chicago Bears,2024,15,2024-12-17T01:00:00Z,4.5,-125,4.5,-105,DraftKings
Jordan Addison,N/A,Minnesota Vikings,Chicago Bears,2024,15,2024-12-17T01:00:00Z,3.5,-170,3.5,130,DraftKings
T.J. Hockenson,N/A,Minnesota Vikings,Chicago Bears,2024,15,2024-12-17T01:00:00Z,3.5,-155,3.5,120,DraftKings
Rome Odunze,N/A,Minnesota Vikings,Chicago Bears,2024,15,2024-12-17T01:00:00Z,3.5,-120,3.5,-110,DraftKings
Cole Kmet,N/A,Minnesota Vikings,Chicago Bears,2024,15,2024-12-17T01:00:00Z,2.5,-165,2.5,125,DraftKings
Aaron Jones,N/A,Minnesota Vikings,Chicago Bears,2024,15,2024-12-17T01:00:00Z,2.5,-105,2.5,-125,DraftKings
D'Andre Swift,N/A,Minnesota Vikings,Chicago Bears,2024,15,2024-12-17T01:00:00Z,2.5,110,2.5,-145,DraftKings
Drake London,N/A,Las Vegas Raiders,Atlanta Falcons,2024,15,2024-12-17T01:30:00Z,5.5,-110,5.5,-120,DraftKings
Darnell Mooney,N/A,Las Vegas Raiders,Atlanta Falcons,2024,15,2024-12-17T01:30:00Z,3.5,-145,3.5,110,DraftKings
Bijan Robinson,N/A,Las Vegas Raiders,Atlanta Falcons,2024,15,2024-12-17T01:30:00Z,3.5,-135,3.5,105,DraftKings
Ray-Ray McCloud III,N/A,Las Vegas Raiders,Atlanta Falcons,2024,15,2024-12-17T01:30:00Z,3.5,100,3.5,-130,DraftKings
