game_id,commence_time,in_play,bookmaker,last_update,home_team,away_team,market,label,description,price,point
42473c1ddf8f424069ff3f264dd8dca4,11/9/2025,FALSE,DraftKings,11/8/2025,Indianapolis Colts,Atlanta Falcons,player_anytime_td,Yes,Jonathan Taylor,-310,
42473c1ddf8f424069ff3f264dd8dca4,11/9/2025,FALSE,DraftKings,11/8/2025,Indianapolis Colts,Atlanta Falcons,player_anytime_td,Yes,Bijan Robinson,-135,
42473c1ddf8f424069ff3f264dd8dca4,11/9/2025,FALSE,DraftKings,11/8/2025,Indianapolis Colts,Atlanta Falcons,player_anytime_td,Yes,Drake London,135,
42473c1ddf8f424069ff3f264dd8dca4,11/9/2025,FALSE,DraftKings,11/8/2025,Indianapolis Colts,Atlanta Falcons,player_anytime_td,Yes,Tyler Warren,155,
42473c1ddf8f424069ff3f264dd8dca4,11/9/2025,FALSE,DraftKings,11/8/2025,Indianapolis Colts,Atlanta Falcons,player_anytime_td,Yes,Michael Pittman Jr.,175,
42473c1ddf8f424069ff3f264dd8dca4,11/9/2025,FALSE,DraftKings,11/8/2025,Indianapolis Colts,Atlanta Falcons,player_anytime_td,Yes,Kyle Pitts,260,
42473c1ddf8f424069ff3f264dd8dca4,11/9/2025,FALSE,DraftKings,11/8/2025,Indianapolis Colts,Atlanta Falcons,player_anytime_td,Yes,Alec Pierce,270,
42473c1ddf8f424069ff3f264dd8dca4,11/9/2025,FALSE,DraftKings,11/8/2025,Indianapolis Colts,Atlanta Falcons,player_anytime_td,Yes,Daniel Jones,280,
42473c1ddf8f424069ff3f264dd8dca4,11/9/2025,FALSE,DraftKings,11/8/2025,Indianapolis Colts,Atlanta Falcons,player_anytime_td,Yes,Josh Downs,295,
42473c1ddf8f424069ff3f264dd8dca4,11/9/2025,FALSE,DraftKings,11/8/2025,Indianapolis Colts,Atlanta Falcons,player_anytime_td,Yes,Tyler Allgeier,330,
42473c1ddf8f424069ff3f264dd8dca4,11/9/2025,FALSE,DraftKings,11/8/2025,Indianapolis Colts,Atlanta Falcons,player_anytime_td,Yes,Darnell Mooney,340,
42473c1ddf8f424069ff3f264dd8dca4,11/9/2025,FALSE,DraftKings,11/8/2025,Indianapolis Colts,Atlanta Falcons,player_anytime_td,Yes,Indianapolis Colts D/ST,475,
42473c1ddf8f424069ff3f264dd8dca4,11/9/2025,FALSE,DraftKings,11/8/2025,Indianapolis Colts,Atlanta Falcons,player_anytime_td,Yes,Atlanta Falcons D/ST,500,
42473c1ddf8f424069ff3f264dd8dca4,11/9/2025,FALSE,DraftKings,11/8/2025,Indianapolis Colts,Atlanta Falcons,player_anytime_td,Yes,Ameer Abdullah,850,
42473c1ddf8f424069ff3f264dd8dca4,11/9/2025,FALSE,DraftKings,11/8/2025,Indianapolis Colts,Atlanta Falcons,player_anytime_td,Yes,Michael Penix Jr.,850,
42473c1ddf8f424069ff3f264dd8dca4,11/9/2025,FALSE,DraftKings,11/8/2025,Indianapolis Colts,Atlanta Falcons,player_anytime_td,Yes,Ashton Dulin,1000,
42473c1ddf8f424069ff3f264dd8dca4,11/9/2025,FALSE,DraftKings,11/8/2025,Indianapolis Colts,Atlanta Falcons,player_anytime_td,Yes,Charlie Woerner,1000,
42473c1ddf8f424069ff3f264dd8dca4,11/9/2025,FALSE,DraftKings,11/8/2025,Indianapolis Colts,Atlanta Falcons,player_anytime_td,Yes,Mo Alie-Cox,1100,
42473c1ddf8f424069ff3f264dd8dca4,11/9/2025,FALSE,DraftKings,11/8/2025,Indianapolis Colts,Atlanta Falcons,player_anytime_td,Yes,David Sills V,1100,
42473c1ddf8f424069ff3f264dd8dca4,11/9/2025,FALSE,DraftKings,11/8/2025,Indianapolis Colts,Atlanta Falcons,player_anytime_td,Yes,Casey Washington,1300,
42473c1ddf8f424069ff3f264dd8dca4,11/9/2025,FALSE,DraftKings,11/8/2025,Indianapolis Colts,Atlanta Falcons,player_anytime_td,Yes,Tyler Goodson,1500,
42473c1ddf8f424069ff3f264dd8dca4,11/9/2025,FALSE,DraftKings,11/8/2025,Indianapolis Colts,Atlanta Falcons,player_anytime_td,Yes,Anthony Gould,1500,
42473c1ddf8f424069ff3f264dd8dca4,11/9/2025,FALSE,DraftKings,11/8/2025,Indianapolis Colts,Atlanta Falcons,player_anytime_td,Yes,DJ Giddens,1600,
42473c1ddf8f424069ff3f264dd8dca4,11/9/2025,FALSE,DraftKings,11/8/2025,Indianapolis Colts,Atlanta Falcons,player_anytime_td,Yes,Will Mallory,1800,
