Player,Team,HomeTeam,AwayTeam,Season,Week,GameDate,Over_Line,Over_Odds,Under_Line,Under_Odds,Bookmaker
Allen Robinson,N/A,Pittsburgh Steelers,New England Patriots,2023,14,2023-12-08T01:15:00Z,1.5,-115,1.5,-115,DraftKings
DeVante Parker,N/A,Pittsburgh Steelers,New England Patriots,2023,14,2023-12-08T01:15:00Z,3.5,120,3.5,-150,DraftKings
Diontae Johnson,N/A,Pittsburgh Steelers,New England Patriots,2023,14,2023-12-08T01:15:00Z,4.5,110,4.5,-140,DraftKings
Ezekiel Elliott,N/A,Pittsburgh Steelers,New England Patriots,2023,14,2023-12-08T01:15:00Z,2.5,-130,2.5,100,DraftKings
George Pickens,N/A,Pittsburgh Steelers,New England Patriots,2023,14,2023-12-08T01:15:00Z,3.5,140,3.5,-180,DraftKings
Hunter Henry,N/A,Pittsburgh Steelers,New England Patriots,2023,14,2023-12-08T01:15:00Z,2.5,-105,2.5,-125,DraftKings
Pat Freiermuth,N/A,Pittsburgh Steelers,New England Patriots,2023,14,2023-12-08T01:15:00Z,2.5,-166,2.5,130,DraftKings
Bijan Robinson,N/A,Atlanta Falcons,Tampa Bay Buccaneers,2023,14,2023-12-10T18:03:00Z,2.5,-180,2.5,140,DraftKings
Cade Otton,N/A,Atlanta Falcons,Tampa Bay Buccaneers,2023,14,2023-12-10T18:03:00Z,2.5,-190,2.5,145,DraftKings
Chris Godwin,N/A,Atlanta Falcons,Tampa Bay Buccaneers,2023,14,2023-12-10T18:03:00Z,4.5,-140,4.5,110,DraftKings
Drake London,N/A,Atlanta Falcons,Tampa Bay Buccaneers,2023,14,2023-12-10T18:03:00Z,3.5,-135,3.5,105,DraftKings
Jonnu Smith,N/A,Atlanta Falcons,Tampa Bay Buccaneers,2023,14,2023-12-10T18:03:00Z,1.5,-110,1.5,-120,DraftKings
Kyle Pitts,N/A,Atlanta Falcons,Tampa Bay Buccaneers,2023,14,2023-12-10T18:03:00Z,3.5,130,3.5,-166,DraftKings
Mike Evans,N/A,Atlanta Falcons,Tampa Bay Buccaneers,2023,14,2023-12-10T18:03:00Z,5.5,120,5.5,-150,DraftKings
Rachaad White,N/A,Atlanta Falcons,Tampa Bay Buccaneers,2023,14,2023-12-10T18:03:00Z,3.5,-110,3.5,-120,DraftKings
Trey Palmer,N/A,Atlanta Falcons,Tampa Bay Buccaneers,2023,14,2023-12-10T18:03:00Z,2.5,100,2.5,-130,DraftKings
Cooper Kupp,N/A,Baltimore Ravens,Los Angeles Rams,2023,14,2023-12-10T18:03:00Z,4.5,-115,4.5,-115,DraftKings
Isaiah Likely,N/A,Baltimore Ravens,Los Angeles Rams,2023,14,2023-12-10T18:03:00Z,3.5,-105,3.5,-125,DraftKings
Kyren Williams,N/A,Baltimore Ravens,Los Angeles Rams,2023,14,2023-12-10T18:03:00Z,3.5,135,3.5,-175,DraftKings
Odell Beckham Jr.,N/A,Baltimore Ravens,Los Angeles Rams,2023,14,2023-12-10T18:03:00Z,2.5,-120,2.5,-110,DraftKings
Puka Nacua,N/A,Baltimore Ravens,Los Angeles Rams,2023,14,2023-12-10T18:03:00Z,4.5,-145,4.5,114,DraftKings
Zay Flowers,N/A,Baltimore Ravens,Los Angeles Rams,2023,14,2023-12-10T18:03:00Z,4.5,130,4.5,-166,DraftKings
Adam Thielen,N/A,New Orleans Saints,Carolina Panthers,2023,14,2023-12-10T18:03:00Z,5.5,105,5.5,-135,DraftKings
Alvin Kamara,N/A,New Orleans Saints,Carolina Panthers,2023,14,2023-12-10T18:03:00Z,4.5,100,4.5,-130,DraftKings
Chris Olave,N/A,New Orleans Saints,Carolina Panthers,2023,14,2023-12-10T18:03:00Z,5.5,120,5.5,-150,DraftKings
Chuba Hubbard,N/A,New Orleans Saints,Carolina Panthers,2023,14,2023-12-10T18:03:00Z,2.5,130,2.5,-166,DraftKings
DJ Chark Jr.,N/A,New Orleans Saints,Carolina Panthers,2023,14,2023-12-10T18:03:00Z,2.5,145,2.5,-180,DraftKings
Jonathan Mingo,N/A,New Orleans Saints,Carolina Panthers,2023,14,2023-12-10T18:03:00Z,3.5,-120,3.5,-110,DraftKings
Juwan Johnson,N/A,New Orleans Saints,Carolina Panthers,2023,14,2023-12-10T18:03:00Z,2.5,-130,2.5,100,DraftKings
Miles Sanders,N/A,New Orleans Saints,Carolina Panthers,2023,14,2023-12-10T18:03:00Z,1.5,150,1.5,-195,DraftKings
Amon-Ra St. Brown,N/A,Chicago Bears,Detroit Lions,2023,14,2023-12-10T18:03:00Z,6.5,-105,6.5,-125,DraftKings
Brock Wright,N/A,Chicago Bears,Detroit Lions,2023,14,2023-12-10T18:03:00Z,0.5,-115,0.5,-115,DraftKings
Cole Kmet,N/A,Chicago Bears,Detroit Lions,2023,14,2023-12-10T18:03:00Z,3.5,100,3.5,-130,DraftKings
D.J. Moore,N/A,Chicago Bears,Detroit Lions,2023,14,2023-12-10T18:03:00Z,4.5,-175,4.5,135,DraftKings
Darnell Mooney,N/A,Chicago Bears,Detroit Lions,2023,14,2023-12-10T18:03:00Z,2.5,130,2.5,-166,DraftKings
David Montgomery,N/A,Chicago Bears,Detroit Lions,2023,14,2023-12-10T18:03:00Z,1.5,154,1.5,-200,DraftKings
