Player,Team,HomeTeam,AwayTeam,Season,Week,GameDate,Over_Line,Over_Odds,Under_Line,Under_Odds,Bookmaker
A.J. Brown,N/A,Philadelphia Eagles,Minnesota Vikings,2023,2,2023-09-15T00:16:00Z,5.5,114,5.5,-145.0,DraftKings
Alexander Mattison,N/A,Philadelphia Eagles,Minnesota Vikings,2023,2,2023-09-15T00:16:00Z,2.5,100,2.5,-130.0,DraftKings
Dallas Goedert,N/A,Philadelphia Eagles,Minnesota Vikings,2023,2,2023-09-15T00:16:00Z,4.5,105,4.5,-135.0,DraftKings
DeVonta Smith,N/A,Philadelphia Eagles,Minnesota Vikings,2023,2,2023-09-15T00:16:00Z,5.5,105,5.5,-135.0,DraftKings
Jordan Addison,N/A,Philadelphia Eagles,Minnesota Vikings,2023,2,2023-09-15T00:16:00Z,3.5,-135,3.5,105.0,DraftKings
Justin Jefferson,N/A,Philadelphia Eagles,Minnesota Vikings,2023,2,2023-09-15T00:16:00Z,7.5,110,7.5,-140.0,DraftKings
Quez Watkins,N/A,Philadelphia Eagles,Minnesota Vikings,2023,2,2023-09-15T00:16:00Z,1.5,-110,1.5,-120.0,DraftKings
T.J. Hockenson,N/A,Philadelphia Eagles,Minnesota Vikings,2023,2,2023-09-15T00:16:00Z,4.5,-150,4.5,120.0,DraftKings
Mack Hollins,N/A,Atlanta Falcons,Green Bay Packers,2023,2,2023-09-17T17:01:00Z,2.5,124,2.5,-160.0,DraftKings
Ja'Marr Chase,N/A,Cincinnati Bengals,Baltimore Ravens,2023,2,2023-09-17T17:01:00Z,6.5,-145,6.5,114.0,DraftKings
Tee Higgins,N/A,Cincinnati Bengals,Baltimore Ravens,2023,2,2023-09-17T17:01:00Z,4.5,-145,4.5,114.0,DraftKings
Chris Godwin,N/A,Tampa Bay Buccaneers,Chicago Bears,2023,2,2023-09-17T17:01:00Z,5.5,120,5.5,-150.0,DraftKings
Cole Kmet,N/A,Tampa Bay Buccaneers,Chicago Bears,2023,2,2023-09-17T17:01:00Z,3.5,124,3.5,-160.0,DraftKings
D.J. Moore,N/A,Tampa Bay Buccaneers,Chicago Bears,2023,2,2023-09-17T17:01:00Z,3.5,105,3.5,-135.0,DraftKings
Darnell Mooney,N/A,Tampa Bay Buccaneers,Chicago Bears,2023,2,2023-09-17T17:01:00Z,2.5,-166,2.5,130.0,DraftKings
Mike Evans,N/A,Tampa Bay Buccaneers,Chicago Bears,2023,2,2023-09-17T17:01:00Z,3.5,-175,3.5,135.0,DraftKings
Rachaad White,N/A,Tampa Bay Buccaneers,Chicago Bears,2023,2,2023-09-17T17:01:00Z,3.5,140,3.5,-180.0,DraftKings
Amon-Ra St. Brown,N/A,Detroit Lions,Seattle Seahawks,2023,2,2023-09-17T17:01:00Z,6.5,-120,6.5,-110.0,DraftKings
Zay Jones,N/A,Jacksonville Jaguars,Kansas City Chiefs,2023,2,2023-09-17T17:01:00Z,4.5,120,4.5,-150.0,DraftKings
Keenan Allen,N/A,Tennessee Titans,Los Angeles Chargers,2023,2,2023-09-17T17:01:00Z,6.5,105,6.5,-135.0,DraftKings
CeeDee Lamb,N/A,Dallas Cowboys,New York Jets,2023,2,2023-09-17T20:26:00Z,5.5,100,,,DraftKings
Tony Pollard,N/A,Dallas Cowboys,New York Jets,2023,2,2023-09-17T20:26:00Z,2.5,-160,2.5,124.0,DraftKings
Jaylen Waddle,N/A,New England Patriots,Miami Dolphins,2023,2,2023-09-18T00:21:00Z,4.5,105,4.5,-135.0,DraftKings
Tyreek Hill,N/A,New England Patriots,Miami Dolphins,2023,2,2023-09-18T00:21:00Z,5.5,-160,5.5,124.0,DraftKings
David Njoku,N/A,Pittsburgh Steelers,Cleveland Browns,2023,2,2023-09-19T00:16:00Z,2.5,-150,2.5,120.0,DraftKings
Donovan Peoples-Jones,N/A,Pittsburgh Steelers,Cleveland Browns,2023,2,2023-09-19T00:16:00Z,2.5,120,2.5,-150.0,DraftKings
Elijah Moore,N/A,Pittsburgh Steelers,Cleveland Browns,2023,2,2023-09-19T00:16:00Z,2.5,-175,2.5,135.0,DraftKings
Nick Chubb,N/A,Pittsburgh Steelers,Cleveland Browns,2023,2,2023-09-19T00:16:00Z,2.5,130,2.5,-166.0,DraftKings
