Player,Team,HomeTeam,AwayTeam,Season,Week,GameDate,Odds,Bookmaker
Kyren Williams,N/A,Los Angeles Rams,New Orleans Saints,2023,16,2023-12-22T01:16:00Z,-205,DraftKings
Puka Nacua,N/A,Los Angeles Rams,New Orleans Saints,2023,16,2023-12-22T01:16:00Z,135,DraftKings
Cooper Kupp,N/A,Los Angeles Rams,New Orleans Saints,2023,16,2023-12-22T01:16:00Z,120,DraftKings
Alvin Kamara,N/A,Los Angeles Rams,New Orleans Saints,2023,16,2023-12-22T01:16:00Z,120,DraftKings
Taysom Hill,N/A,Los Angeles Rams,New Orleans Saints,2023,16,2023-12-22T01:16:00Z,195,DraftKings
Chris Olave,N/A,Los Angeles Rams,New Orleans Saints,2023,16,2023-12-22T01:16:00Z,180,DraftKings
Demarcus Robinson,N/A,Los Angeles Rams,New Orleans Saints,2023,16,2023-12-22T01:16:00Z,295,DraftKings
Tyler Higbee,N/A,Los Angeles Rams,New Orleans Saints,2023,16,2023-12-22T01:16:00Z,285,DraftKings
Tutu Atwell,N/A,Los Angeles Rams,New Orleans Saints,2023,16,2023-12-22T01:16:00Z,400,DraftKings
Royce Freeman,N/A,Los Angeles Rams,New Orleans Saints,2023,16,2023-12-22T01:16:00Z,500,DraftKings
Rashid Shaheed,N/A,Los Angeles Rams,New Orleans Saints,2023,16,2023-12-22T01:16:00Z,330,DraftKings
Jamaal Williams,N/A,Los Angeles Rams,New Orleans Saints,2023,16,2023-12-22T01:16:00Z,400,DraftKings
Jimmy Graham,N/A,Los Angeles Rams,New Orleans Saints,2023,16,2023-12-22T01:16:00Z,450,DraftKings
Lynn Bowden Jr.,N/A,Los Angeles Rams,New Orleans Saints,2023,16,2023-12-22T01:16:00Z,550,DraftKings
Juwan Johnson,N/A,Los Angeles Rams,New Orleans Saints,2023,16,2023-12-22T01:16:00Z,475,DraftKings
Matthew Stafford,N/A,Los Angeles Rams,New Orleans Saints,2023,16,2023-12-22T01:16:00Z,750,DraftKings
Davis Allen,N/A,Los Angeles Rams,New Orleans Saints,2023,16,2023-12-22T01:16:00Z,750,DraftKings
A.T. Perry,N/A,Los Angeles Rams,New Orleans Saints,2023,16,2023-12-22T01:16:00Z,650,DraftKings
Derek Carr,N/A,Los Angeles Rams,New Orleans Saints,2023,16,2023-12-22T01:16:00Z,950,DraftKings
Foster Moreau,N/A,Los Angeles Rams,New Orleans Saints,2023,16,2023-12-22T01:16:00Z,900,DraftKings
Ben Skowronek,N/A,Los Angeles Rams,New Orleans Saints,2023,16,2023-12-22T01:16:00Z,1400,DraftKings
Austin Trammell,N/A,Los Angeles Rams,New Orleans Saints,2023,16,2023-12-22T01:16:00Z,2000,DraftKings
Zach Evans,N/A,Los Angeles Rams,New Orleans Saints,2023,16,2023-12-22T01:16:00Z,2000,DraftKings
Brycen Hopkins,N/A,Los Angeles Rams,New Orleans Saints,2023,16,2023-12-22T01:16:00Z,1500,DraftKings
Keith Kirkwood,N/A,Los Angeles Rams,New Orleans Saints,2023,16,2023-12-22T01:16:00Z,1600,DraftKings
Marquez Callaway,N/A,Los Angeles Rams,New Orleans Saints,2023,16,2023-12-22T01:16:00Z,2200,DraftKings
Adam Prentice,N/A,Los Angeles Rams,New Orleans Saints,2023,16,2023-12-22T01:16:00Z,2500,DraftKings
