Player,Team,HomeTeam,AwayTeam,Season,Week,GameDate,Over_Line,Over_Odds,Under_Line,Under_Odds,Bookmaker
Christian McCaffrey,N/A,San Francisco 49ers,New York Giants,2023,3,2023-09-22T00:15:00Z,3.5,-166,3.5,130,DraftKings
Darius Slayton,N/A,San Francisco 49ers,New York Giants,2023,3,2023-09-22T00:15:00Z,2.5,-160,2.5,124,DraftKings
Darren Waller,N/A,San Francisco 49ers,New York Giants,2023,3,2023-09-22T00:15:00Z,4.5,105,4.5,-135,DraftKings
Deebo Samuel,N/A,San Francisco 49ers,New York Giants,2023,3,2023-09-22T00:15:00Z,4.5,-125,4.5,-105,DraftKings
George Kittle,N/A,San Francisco 49ers,New York Giants,2023,3,2023-09-22T00:15:00Z,3.5,-130,3.5,100,DraftKings
Isaiah Hodgins,N/A,San Francisco 49ers,New York Giants,2023,3,2023-09-22T00:15:00Z,2.5,-150,2.5,120,DraftKings
Matt Breida,N/A,San Francisco 49ers,New York Giants,2023,3,2023-09-22T00:15:00Z,2.5,130,2.5,-166,DraftKings
Parris Campbell,N/A,San Francisco 49ers,New York Giants,2023,3,2023-09-22T00:15:00Z,2.5,-160,2.5,124,DraftKings
Amari Cooper,N/A,Cleveland Browns,Tennessee Titans,2023,3,2023-09-24T17:01:00Z,4.5,100,4.5,-130,DraftKings
David Njoku,N/A,Cleveland Browns,Tennessee Titans,2023,3,2023-09-24T17:01:00Z,3.5,130,3.5,-166,DraftKings
DeAndre Hopkins,N/A,Cleveland Browns,Tennessee Titans,2023,3,2023-09-24T17:01:00Z,4.5,114,4.5,-145,DraftKings
Donovan Peoples-Jones,N/A,Cleveland Browns,Tennessee Titans,2023,3,2023-09-24T17:01:00Z,2.5,120,2.5,-150,DraftKings
Elijah Moore,N/A,Cleveland Browns,Tennessee Titans,2023,3,2023-09-24T17:01:00Z,3.5,110,3.5,-140,DraftKings
Nick Westbrook-Ikhine,N/A,Cleveland Browns,Tennessee Titans,2023,3,2023-09-24T17:01:00Z,2.5,105,2.5,-135,DraftKings
Treylon Burks,N/A,Cleveland Browns,Tennessee Titans,2023,3,2023-09-24T17:01:00Z,3.5,120,3.5,-150,DraftKings
Amon-Ra St. Brown,N/A,Detroit Lions,Atlanta Falcons,2023,3,2023-09-24T17:04:00Z,5.5,-145,5.5,114,DraftKings
Josh Reynolds,N/A,Detroit Lions,Atlanta Falcons,2023,3,2023-09-24T17:04:00Z,3.5,114,3.5,-145,DraftKings
Marvin Jones Jr.,N/A,Detroit Lions,Atlanta Falcons,2023,3,2023-09-24T17:04:00Z,1.5,-195,1.5,150,DraftKings
Mark Andrews,N/A,Baltimore Ravens,Indianapolis Colts,2023,3,2023-09-24T17:04:00Z,4.5,-110,4.5,-120,DraftKings
