Player,Team,HomeTeam,AwayTeam,Season,Week,GameDate,Odds,Bookmaker
Derrick Henry,N/A,Pittsburgh Steelers,Tennessee Titans,2023,9,2023-11-03T00:15:00Z,130,DraftKings
George Pickens,N/A,Pittsburgh Steelers,Tennessee Titans,2023,9,2023-11-03T00:15:00Z,160,DraftKings
Diontae Johnson,N/A,Pittsburgh Steelers,Tennessee Titans,2023,9,2023-11-03T00:15:00Z,185,DraftKings
Najee Harris,N/A,Pittsburgh Steelers,Tennessee Titans,2023,9,2023-11-03T00:15:00Z,180,DraftKings
Jaylen Warren,N/A,Pittsburgh Steelers,Tennessee Titans,2023,9,2023-11-03T00:15:00Z,190,DraftKings
DeAndre Hopkins,N/A,Pittsburgh Steelers,Tennessee Titans,2023,9,2023-11-03T00:15:00Z,195,DraftKings
Tyjae Spears,N/A,Pittsburgh Steelers,Tennessee Titans,2023,9,2023-11-03T00:15:00Z,285,DraftKings
Connor Heyward,N/A,Pittsburgh Steelers,Tennessee Titans,2023,9,2023-11-03T00:15:00Z,360,DraftKings
Nick Westbrook-Ikhine,N/A,Pittsburgh Steelers,Tennessee Titans,2023,9,2023-11-03T00:15:00Z,425,DraftKings
Treylon Burks,N/A,Pittsburgh Steelers,Tennessee Titans,2023,9,2023-11-03T00:15:00Z,450,DraftKings
Kenny Pickett,N/A,Pittsburgh Steelers,Tennessee Titans,2023,9,2023-11-03T00:15:00Z,500,DraftKings
Chigoziem Okonkwo,N/A,Pittsburgh Steelers,Tennessee Titans,2023,9,2023-11-03T00:15:00Z,475,DraftKings
Will Levis,N/A,Pittsburgh Steelers,Tennessee Titans,2023,9,2023-11-03T00:15:00Z,550,DraftKings
Calvin Austin III,N/A,Pittsburgh Steelers,Tennessee Titans,2023,9,2023-11-03T00:15:00Z,600,DraftKings
Allen Robinson,N/A,Pittsburgh Steelers,Tennessee Titans,2023,9,2023-11-03T00:15:00Z,600,DraftKings
Kyle Philips,N/A,Pittsburgh Steelers,Tennessee Titans,2023,9,2023-11-03T00:15:00Z,900,DraftKings
Chris Moore,N/A,Pittsburgh Steelers,Tennessee Titans,2023,9,2023-11-03T00:15:00Z,950,DraftKings
Darnell Washington,N/A,Pittsburgh Steelers,Tennessee Titans,2023,9,2023-11-03T00:15:00Z,1200,DraftKings
Rodney Williams,N/A,Pittsburgh Steelers,Tennessee Titans,2023,9,2023-11-03T00:15:00Z,1100,DraftKings
Josh Whyle,N/A,Pittsburgh Steelers,Tennessee Titans,2023,9,2023-11-03T00:15:00Z,1300,DraftKings
Trevon Wesco,N/A,Pittsburgh Steelers,Tennessee Titans,2023,9,2023-11-03T00:15:00Z,1300,DraftKings
Miles Boykin,N/A,Pittsburgh Steelers,Tennessee Titans,2023,9,2023-11-03T00:15:00Z,1600,DraftKings
Godwin Igwebuike,N/A,Pittsburgh Steelers,Tennessee Titans,2023,9,2023-11-03T00:15:00Z,2200,DraftKings
Colton Dowell,N/A,Pittsburgh Steelers,Tennessee Titans,2023,9,2023-11-03T00:15:00Z,3000,DraftKings
Kevin Rader,N/A,Pittsburgh Steelers,Tennessee Titans,2023,9,2023-11-03T00:15:00Z,3500,DraftKings
Travis Kelce,N/A,Kansas City Chiefs,Miami Dolphins,2023,9,2023-11-05T14:33:00Z,-125,DraftKings
Isiah Pacheco,N/A,Kansas City Chiefs,Miami Dolphins,2023,9,2023-11-05T14:33:00Z,-120,DraftKings
Tyreek Hill,N/A,Kansas City Chiefs,Miami Dolphins,2023,9,2023-11-05T14:33:00Z,-125,DraftKings
Raheem Mostert,N/A,Kansas City Chiefs,Miami Dolphins,2023,9,2023-11-05T14:33:00Z,-115,DraftKings
Jaylen Waddle,N/A,Kansas City Chiefs,Miami Dolphins,2023,9,2023-11-05T14:33:00Z,150,DraftKings
Jerick McKinnon,N/A,Kansas City Chiefs,Miami Dolphins,2023,9,2023-11-05T14:33:00Z,220,DraftKings
Rashee Rice,N/A,Kansas City Chiefs,Miami Dolphins,2023,9,2023-11-05T14:33:00Z,240,DraftKings
Jeff Wilson Jr.,N/A,Kansas City Chiefs,Miami Dolphins,2023,9,2023-11-05T14:33:00Z,265,DraftKings
Patrick Mahomes,N/A,Kansas City Chiefs,Miami Dolphins,2023,9,2023-11-05T14:33:00Z,300,DraftKings
Kadarius Toney,N/A,Kansas City Chiefs,Miami Dolphins,2023,9,2023-11-05T14:33:00Z,360,DraftKings
Marquez Valdes-Scantling,N/A,Kansas City Chiefs,Miami Dolphins,2023,9,2023-11-05T14:33:00Z,400,DraftKings
Skyy Moore,N/A,Kansas City Chiefs,Miami Dolphins,2023,9,2023-11-05T14:33:00Z,450,DraftKings
Mecole Hardman,N/A,Kansas City Chiefs,Miami Dolphins,2023,9,2023-11-05T14:33:00Z,550,DraftKings
Braxton Berrios,N/A,Kansas City Chiefs,Miami Dolphins,2023,9,2023-11-05T14:33:00Z,425,DraftKings
Tua Tagovailoa,N/A,Kansas City Chiefs,Miami Dolphins,2023,9,2023-11-05T14:33:00Z,500,DraftKings
Noah Gray,N/A,Kansas City Chiefs,Miami Dolphins,2023,9,2023-11-05T14:33:00Z,700,DraftKings
