Player,Team,HomeTeam,AwayTeam,Season,Week,GameDate,Over_Line,Over_Odds,Under_Line,Under_Odds,Bookmaker
Amon-Ra St. Brown,N/A,Green Bay Packers,Detroit Lions,2023,4,2023-09-29T00:15:00Z,6.5,105,6.5,-135,DraftKings
Christian Watson,N/A,Green Bay Packers,Detroit Lions,2023,4,2023-09-29T00:15:00Z,3.5,135,3.5,-175,DraftKings
Dontayvion Wicks,N/A,Green Bay Packers,Detroit Lions,2023,4,2023-09-29T00:15:00Z,1.5,110,1.5,-140,DraftKings
Jayden Reed,N/A,Green Bay Packers,Detroit Lions,2023,4,2023-09-29T00:15:00Z,3.5,130,3.5,-166,DraftKings
Josh Reynolds,N/A,Green Bay Packers,Detroit Lions,2023,4,2023-09-29T00:15:00Z,2.5,-110,2.5,-120,DraftKings
Luke Musgrave,N/A,Green Bay Packers,Detroit Lions,2023,4,2023-09-29T00:15:00Z,3.5,124,3.5,-160,DraftKings
Romeo Doubs,N/A,Green Bay Packers,Detroit Lions,2023,4,2023-09-29T00:15:00Z,3.5,100,3.5,-130,DraftKings
Sam LaPorta,N/A,Green Bay Packers,Detroit Lions,2023,4,2023-09-29T00:15:00Z,4.5,114,4.5,-145,DraftKings
Bijan Robinson,N/A,Jacksonville Jaguars,Atlanta Falcons,2023,4,2023-10-01T13:30:00Z,4.5,130,4.5,-166,DraftKings
Calvin Ridley,N/A,Jacksonville Jaguars,Atlanta Falcons,2023,4,2023-10-01T13:30:00Z,5.5,124,5.5,-160,DraftKings
Christian Kirk,N/A,Jacksonville Jaguars,Atlanta Falcons,2023,4,2023-10-01T13:30:00Z,4.5,-115,4.5,-115,DraftKings
Drake London,N/A,Jacksonville Jaguars,Atlanta Falcons,2023,4,2023-10-01T13:30:00Z,3.5,-135,3.5,105,DraftKings
Evan Engram,N/A,Jacksonville Jaguars,Atlanta Falcons,2023,4,2023-10-01T13:30:00Z,4.5,-140,4.5,110,DraftKings
Kyle Pitts,N/A,Jacksonville Jaguars,Atlanta Falcons,2023,4,2023-10-01T13:30:00Z,3.5,130,3.5,-166,DraftKings
Mack Hollins,N/A,Jacksonville Jaguars,Atlanta Falcons,2023,4,2023-10-01T13:30:00Z,2.5,105,2.5,-135,DraftKings
Travis Etienne Jr.,N/A,Jacksonville Jaguars,Atlanta Falcons,2023,4,2023-10-01T13:30:00Z,3.5,135,3.5,-175,DraftKings
Tyler Allgeier,N/A,Jacksonville Jaguars,Atlanta Falcons,2023,4,2023-10-01T13:30:00Z,1.5,124,1.5,-160,DraftKings
Amari Cooper,N/A,Cleveland Browns,Baltimore Ravens,2023,4,2023-10-01T17:00:00Z,4.5,-130,4.5,100,DraftKings
David Njoku,N/A,Cleveland Browns,Baltimore Ravens,2023,4,2023-10-01T17:00:00Z,2.5,-166,2.5,130,DraftKings
Donovan Peoples-Jones,N/A,Cleveland Browns,Baltimore Ravens,2023,4,2023-10-01T17:00:00Z,2.5,120,2.5,-150,DraftKings
Elijah Moore,N/A,Cleveland Browns,Baltimore Ravens,2023,4,2023-10-01T17:00:00Z,3.5,-166,3.5,130,DraftKings
Jerome Ford,N/A,Cleveland Browns,Baltimore Ravens,2023,4,2023-10-01T17:00:00Z,2.5,150,2.5,-195,DraftKings
Dalton Kincaid,N/A,Buffalo Bills,Miami Dolphins,2023,4,2023-10-01T17:00:00Z,2.5,-125,2.5,-105,DraftKings
Dawson Knox,N/A,Buffalo Bills,Miami Dolphins,2023,4,2023-10-01T17:00:00Z,2.5,-105,2.5,-125,DraftKings
Gabriel Davis,N/A,Buffalo Bills,Miami Dolphins,2023,4,2023-10-01T17:00:00Z,3.5,130,3.5,-166,DraftKings
James Cook,N/A,Buffalo Bills,Miami Dolphins,2023,4,2023-10-01T17:00:00Z,2.5,-135,2.5,105,DraftKings
Jaylen Waddle,N/A,Buffalo Bills,Miami Dolphins,2023,4,2023-10-01T17:00:00Z,4.5,-105,4.5,-125,DraftKings
Stefon Diggs,N/A,Buffalo Bills,Miami Dolphins,2023,4,2023-10-01T17:00:00Z,6.5,-135,6.5,105,DraftKings
Tyreek Hill,N/A,Buffalo Bills,Miami Dolphins,2023,4,2023-10-01T17:00:00Z,6.5,-135,6.5,105,DraftKings
Adam Thielen,N/A,Carolina Panthers,Minnesota Vikings,2023,4,2023-10-01T17:01:00Z,4.5,-115,4.5,-115,DraftKings
Alexander Mattison,N/A,Carolina Panthers,Minnesota Vikings,2023,4,2023-10-01T17:01:00Z,2.5,-120,2.5,-110,DraftKings
