player_id,player_display_name,position,recent_team,season,week,carries,rushing_yards,rushing_tds,receptions,targets,receiving_yards,receiving_tds,opponent_team,wopr,rushing_epa,receiving_epa,target_share,receiving_air_yards,air_yards_share,racr,scored_touchdown,redzone_carry_share,redzone_target_share,endzone_targets,endzone_target_share,team_x,spread_line,total_line,implied_total,inside_5_carry_share,inside_5_target_share,depth_chart_rank,team_y,offense_snap_share,rush_yards_over_expected_per_att,rush_pct_over_expected,avg_time_to_los,percent_attempts_gte_eight_defenders,avg_cushion,avg_separation,avg_intended_air_yards,percent_share_of_intended_air_yards,catch_percentage,avg_expected_yac,avg_yac_above_expectation,avg_carries,avg_rushing_yards,avg_receptions,avg_receiving_yards,avg_wopr,avg_rushing_epa,avg_receiving_epa,avg_target_share,avg_receiving_air_yards,avg_racr,avg_scored_touchdown,avg_redzone_carry_share,avg_redzone_target_share,avg_endzone_targets,avg_endzone_target_share,avg_inside_5_carry_share,avg_inside_5_target_share,avg_offense_snap_share,avg_rush_yards_over_expected_per_att,avg_rush_pct_over_expected,avg_avg_time_to_los,avg_percent_attempts_gte_eight_defenders,avg_avg_cushion,avg_avg_separation,avg_avg_intended_air_yards,avg_percent_share_of_intended_air_yards,avg_catch_percentage,avg_avg_expected_yac,avg_avg_yac_above_expectation,team_continuity,rushing_tds_allowed_to_DB,rushing_tds_allowed_to_QB,rushing_tds_allowed_to_RB,rushing_tds_allowed_to_TE,rushing_tds_allowed_to_WR,passing_tds_allowed_to_DB,passing_tds_allowed_to_DL,passing_tds_allowed_to_LB,passing_tds_allowed_to_OL,passing_tds_allowed_to_QB,passing_tds_allowed_to_RB,passing_tds_allowed_to_TE,passing_tds_allowed_to_WR
00-0025396,Ted Ginn,WR,CHI,2020,1,0,0.0,0,0,1,0.0,0,DET,0.07576409,0.0,-3.2457356,0.027777778,17.0,0.048710603,0.0,0,0.0,0.0,0.0,0.0,CHI,2.5,42.5,20.0,0.0,0.0,1,CHI,0.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,
00-0025418,Greg Olsen,TE,SEA,2020,1,0,0.0,0,4,4,24.0,1,ATL,0.23630662,0.0,2.7865732,0.114285715,19.0,0.09268293,1.2631578,1,0.0,0.2,1.0,0.02857142857142857,SEA,-1.0,49.0,25.0,0.0,0.0,1,SEA,0.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,
00-0026035,Danny Amendola,WR,DET,2020,1,0,0.0,0,5,7,81.0,0,CHI,0.38217282,0.0,6.323143,0.17073171,67.0,0.18010753,1.2089552,0,0.0,0.0,0.0,0.0,DET,-2.5,42.5,22.5,0.0,0.0,1,DET,0.55,0.0,0.0,0.0,0.0,5.877142857142857,2.368236301873553,9.69,17.830761546752193,71.42857142857143,4.506551528179079,0.023448471820920247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,
00-0026143,Matt Ryan,QB,ATL,2020,1,1,-1.0,0,0,0,0.0,0,SEA,0.0,-0.10763947,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,ATL,1.0,49.0,24.0,0.0,0.0,1,ATL,0.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,
00-0026189,DeSean Jackson,WR,PHI,2020,1,0,0.0,0,2,7,46.0,0,WAS,0.53807694,0.0,0.32546705,0.16666667,214.0,0.41153845,0.21495327,0,0.0,0.0,0.0,0.0,PHI,-5.0,42.0,23.5,0.0,0.0,1,PHI,0.54,0.0,0.0,0.0,0.0,8.604285714285714,2.9550638976408123,29.03857142857143,40.384233321412964,28.57142857142857,3.5767712141723678,0.3732287858276351,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,
00-0026498,Matthew Stafford,QB,DET,2020,1,5,23.0,0,0,0,0.0,0,CHI,0.0,-0.6981131,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,DET,-2.5,42.5,22.5,0.0,0.0,1,DET,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,
00-0027029,LeSean McCoy,RB,TB,2020,1,0,0.0,0,1,1,2.0,0,NO,0.05130943,0.0,-0.5301901,0.029411765,3.0,0.0102739725,0.6666667,0,0.0,0.125,0.0,0.0,TB,3.5,47.5,22.0,0.0,0.0,2,TB,0.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,
00-0027061,Jared Cook,TE,NO,2020,1,0,0.0,0,5,7,80.0,0,TB,0.6704819,0.0,2.6603658,0.23333333,76.0,0.45783132,1.0526316,0,0.0,0.1,0.0,0.0,NO,-3.5,47.5,25.5,0.0,0.0,1,NO,0.65,0.0,0.0,0.0,0.0,6.276000000000001,3.54291603087754,10.708571428571426,48.373773877129594,71.42857142857143,3.0224031752885,1.0115968247115008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,
00-0027150,Julian Edelman,WR,NE,2020,1,1,23.0,0,5,7,57.0,0,MIA,0.97540385,2.2398157,2.596682,0.36842105,61.0,0.6039604,0.93442625,0,0.0,0.5,0.0,0.0,NE,-7.0,41.5,24.25,0.0,0.0,1,NE,0.58,0.0,0.0,0.0,0.0,5.18,3.181158829653441,8.312857142857142,59.280766096169515,71.42857142857143,4.316570069801469,0.6634299301985322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,
00-0027656,Rob Gronkowski,TE,TB,2020,1,0,0.0,0,2,3,11.0,0,NO,0.18509267,0.0,-0.5680997,0.0882353,22.0,0.07534247,0.5,0,0.0,0.0,0.0,0.0,TB,3.5,47.5,22.0,0.0,0.0,1,TB,0.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,
00-0027685,Emmanuel Sanders,WR,NO,2020,1,0,0.0,0,3,5,15.0,1,TB,0.3512048,0.0,0.03850762,0.16666667,24.0,0.14457831,0.625,1,0.0,0.4,2.0,0.06451612903225806,NO,-3.5,47.5,25.5,0.0,1.0,1,NO,0.49,0.0,0.0,0.0,0.0,5.7575,3.225436227312882,7.552000000000001,24.36757872999485,60.0,3.0242242709903926,0.13244239567627591,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,
00-0027696,Jimmy Graham,TE,CHI,2020,1,0,0.0,0,3,7,25.0,1,DET,0.3658787,0.0,-0.013897636,0.19444445,37.0,0.106017195,0.6756757,1,0.0,0.27272728,2.0,0.05555555555555555,CHI,2.5,42.5,20.0,0.0,0.33333334,1,CHI,0.8,0.0,0.0,0.0,0.0,5.32,0.8083079273701017,6.415714285714287,11.83274490172314,42.857142857142854,3.842166324037256,0.6845003426294078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,
00-0027939,Cam Newton,QB,NE,2020,1,15,75.0,2,0,0,0.0,0,MIA,0.0,6.777132,0.0,0.0,0.0,0.0,0.0,1,0.5555556,0.0,0.0,0.0,NE,-7.0,41.5,24.25,0.6666667,0.0,1,NE,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,
00-0027942,A.J. Green,WR,CIN,2020,1,0,0.0,0,5,9,51.0,0,LAC,0.70324004,0.0,-1.1096362,0.25714287,132.0,0.45360824,0.38636363,0,0.0,0.0,2.0,0.05555555555555555,CIN,3.0,41.5,19.25,0.0,0.0,1,CIN,0.66,0.0,0.0,0.0,0.0,4.665555555555555,2.2359903681402247,14.740000000000002,44.01897999137274,55.55555555555556,3.290617223633558,-0.3246172236335596,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,
00-0027944,Julio Jones,WR,ATL,2020,1,0,0.0,0,9,12,157.0,0,SEA,0.61637974,0.0,6.9181595,0.23076923,188.0,0.38603696,0.8351064,0,0.0,0.1,0.0,0.0,ATL,1.0,49.0,24.0,0.0,0.0,1,ATL,0.81,0.0,0.0,0.0,0.0,6.478333333333334,2.1849055830964743,15.402500000000002,35.28232733936549,75.0,2.284836532276011,1.0473856899462084,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,
00-0027966,Mark Ingram,RB,BAL,2020,1,10,29.0,0,0,0,0.0,0,CLE,0.0,-1.982652,0.0,0.0,0.0,0.0,0.0,0,0.25,0.0,0.0,0.0,BAL,-7.0,47.5,27.25,0.0,0.0,1,BAL,0.36,-2.2474530768323375,0.3,2.5078888888888886,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,
00-0027981,Kyle Rudolph,TE,MIN,2020,1,0,0.0,0,2,2,28.0,0,GB,0.1776779,0.0,2.4210172,0.08,22.0,0.08239701,1.2727273,0,0.0,0.0,0.0,0.0,MIN,-2.5,44.5,23.5,0.0,0.0,1,MIN,0.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,
00-0028002,Randall Cobb,WR,HOU,2020,1,0,0.0,0,2,3,23.0,0,KC,0.17477667,0.0,1.2005875,0.09677419,11.0,0.042307694,2.090909,0,0.0,0.5,1.0,0.03125,HOU,9.0,54.0,22.5,0.0,1.0,2,HOU,0.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,
00-0028042,Luke Stocker,TE,ATL,2020,1,0,0.0,0,0,1,0.0,0,SEA,0.036033012,0.0,-0.28016672,0.01923077,5.0,0.01026694,0.0,0,0.0,0.0,0.0,0.0,ATL,1.0,49.0,24.0,0.0,0.0,3,ATL,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,
00-0028074,Anthony Sherman,RB,KC,2020,1,1,2.0,0,0,0,0.0,0,HOU,0.0,2.1788604,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,KC,-9.0,54.0,31.5,0.0,0.0,4,KC,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,
00-0028087,Dion Lewis,RB,NYG,2020,1,1,1.0,0,0,1,0.0,0,PIT,0.041342195,-0.5149949,-0.69719243,0.025641026,1.0,0.004115226,0.0,0,0.0,0.0,0.0,0.0,NYG,5.5,45.0,19.75,0.0,0.0,2,NYG,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,
00-0028118,Tyrod Taylor,QB,LAC,2020,1,6,7.0,0,0,0,0.0,0,CIN,0.0,-5.5245743,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,LAC,-3.0,41.5,22.25,0.0,0.0,1,LAC,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,
00-0028142,Virgil Green,TE,LAC,2020,1,0,0.0,0,1,2,10.0,0,CIN,0.12692389,0.0,-0.15598774,0.06896552,11.0,0.033536587,0.90909094,0,0.0,0.0,0.0,0.0,LAC,-3.0,41.5,22.25,0.0,0.0,2,LAC,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,
00-0028237,Chris Hogan,WR,NYJ,2020,1,0,0.0,0,1,4,0.0,0,BUF,0.3152812,0.0,-3.1748745,0.121212125,49.0,0.19066148,0.0,0,0.0,0.33333334,1.0,0.029411764705882353,NYJ,6.5,39.5,16.5,0.0,1.0,1,NYJ,0.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,
00-0028411,Dontrelle Inman,WR,WAS,2020,1,0,0.0,0,2,5,21.0,0,PHI,0.44758064,0.0,-0.37191993,0.16666667,70.0,0.28225806,0.3,0,0.0,0.0,0.0,0.0,WAS,5.0,42.0,18.5,0.0,0.0,1,WAS,0.51,0.0,0.0,0.0,0.0,8.076,2.180852547040047,13.654000000000002,28.721076987799748,40.0,6.562846558867932,-2.9978465588679324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,
00-0029000,Cole Beasley,WR,BUF,2020,1,0,0.0,0,4,7,58.0,0,NYJ,0.35596108,0.0,2.6784987,0.15555556,48.0,0.17518248,1.2083334,0,0.0,0.06666667,1.0,0.021739130434782608,BUF,-6.5,39.5,23.0,0.0,0.25,1,BUF,0.63,0.0,0.0,0.0,0.0,6.321666666666666,4.026390442988163,7.337142857142858,18.912250985013074,57.14285714285714,8.37179753895839,-5.331797538958391,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,
00-0029263,Russell Wilson,QB,SEA,2020,1,3,29.0,0,0,0,0.0,0,ATL,0.0,1.2997414,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,SEA,-1.0,49.0,25.0,0.0,0.0,1,SEA,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,
00-0029293,Marvin Jones,WR,DET,2020,1,0,0.0,0,4,8,55.0,0,CHI,0.42440337,0.0,-4.4879875,0.19512194,70.0,0.18817204,0.78571427,0,0.0,0.14285715,1.0,0.023809523809523808,DET,-2.5,42.5,22.5,0.0,0.0,1,DET,0.91,0.0,0.0,0.0,0.0,6.796249999999999,1.7532825542736261,9.0525,19.037354433374524,50.0,4.06819613536851,0.3268038646314917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,
00-0029604,Kirk Cousins,QB,MIN,2020,1,4,34.0,0,0,0,0.0,0,GB,0.0,1.7226983,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,MIN,-2.5,44.5,23.5,0.0,0.0,1,MIN,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,
00-0029608,T.Y. Hilton,WR,IND,2020,1,0,0.0,0,4,9,53.0,0,JAX,0.5574921,0.0,-3.8162875,0.19565217,109.0,0.37716264,0.48623854,0,0.0,0.125,1.0,0.021739130434782608,IND,-8.0,45.0,26.5,0.0,0.0,1,IND,0.8,0.0,0.0,0.0,0.0,4.064444444444444,2.347359580603562,12.445555555555558,39.93368747548933,44.44444444444444,1.3735428231544078,-1.2560428231544063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,
00-0029665,Robert Griffin,QB,BAL,2020,1,1,-1.0,0,0,0,0.0,0,CLE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,BAL,-7.0,47.5,27.25,0.0,0.0,2,BAL,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,
00-0029701,Ryan Tannehill,QB,TEN,2020,1,3,14.0,0,0,0,0.0,0,DEN,0.0,-0.20668547,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,TEN,-3.0,41.0,22.0,0.0,0.0,1,TEN,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,
00-0029738,Darren Fells,TE,HOU,2020,1,0,0.0,0,2,2,19.0,0,KC,0.11292804,0.0,0.94881773,0.06451613,6.0,0.023076924,3.1666667,0,0.0,0.0,0.0,0.0,HOU,9.0,54.0,22.5,0.0,0.0,1,HOU,0.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,
00-0030035,Adam Thielen,WR,MIN,2020,1,0,0.0,0,6,8,110.0,2,GB,0.8549064,0.0,7.488485,0.32,143.0,0.5355805,0.7692308,1,0.0,1.0,2.0,0.08,MIN,-2.5,44.5,23.5,0.0,1.0,1,MIN,0.96,0.0,0.0,0.0,0.0,8.04375,1.4865547721878625,18.69375,55.4690107933682,75.0,0.5700014418244117,-0.2283347751577443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,
00-0030061,Zach Ertz,TE,PHI,2020,1,0,0.0,0,3,7,18.0,1,WAS,0.32673076,0.0,-1.4717749,0.16666667,57.0,0.109615386,0.31578946,1,0.0,0.25,1.0,0.023809523809523808,PHI,-5.0,42.0,23.5,0.0,1.0,1,PHI,0.85,0.0,0.0,0.0,0.0,5.118333333333333,2.944390547144035,9.269999999999998,12.891882226725471,42.857142857142854,2.4251370291558487,-0.6718036958225149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,
00-0030085,Kenny Stills,WR,HOU,2020,1,0,0.0,0,0,2,0.0,0,KC,0.17754343,0.0,-1.9798787,0.06451613,30.0,0.115384616,0.0,0,0.0,0.0,0.0,0.0,HOU,9.0,54.0,22.5,0.0,0.0,2,HOU,0.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,
00-0030155,Demetrius Harris,TE,CHI,2020,1,0,0.0,0,0,1,0.0,0,DET,0.06774116,0.0,-0.74927294,0.027777778,13.0,0.037249282,0.0,0,0.0,0.09090909,1.0,0.027777777777777776,CHI,2.5,42.5,20.0,0.0,0.0,3,CHI,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,
00-0030181,Jack Doyle,TE,IND,2020,1,0,0.0,0,3,4,49.0,0,JAX,0.23458703,0.0,4.3057895,0.08695652,43.0,0.14878893,1.1395348,0,0.0,0.125,1.0,0.021739130434782608,IND,-8.0,45.0,26.5,0.0,0.0,1,IND,0.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,
00-0030216,Josh Hill,TE,NO,2020,1,0,0.0,0,0,1,0.0,0,TB,0.14277108,0.0,-0.60789585,0.033333335,22.0,0.13253012,0.0,0,0.0,0.0,1.0,0.03225806451612903,NO,-3.5,47.5,25.5,0.0,0.0,4,NO,0.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,
00-0030279,Keenan Allen,WR,LAC,2020,1,0,0.0,0,4,8,37.0,0,CIN,0.60159796,0.0,1.0173863,0.27586207,88.0,0.2682927,0.42045453,0,0.0,0.25,1.0,0.03333333333333333,LAC,-3.0,41.5,22.25,0.0,0.0,1,LAC,0.95,0.0,0.0,0.0,0.0,5.1987499999999995,2.4678225971807475,11.6525,27.783738674296615,50.0,4.343567112333858,1.0289328876661443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,
00-0030288,Rex Burkhead,RB,NE,2020,1,7,32.0,0,0,0,0.0,0,MIA,0.0,1.3960336,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,NE,-7.0,41.5,24.25,0.0,0.0,2,NE,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,
00-0030404,Chris Thompson,RB,JAX,2020,1,0,0.0,0,2,2,6.0,0,IND,0.16573034,0.0,-1.6559764,0.1,2.0,0.02247191,3.0,0,0.0,0.0,0.0,0.0,JAX,8.0,45.0,18.5,0.0,0.0,2,JAX,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,
