player_id,player_display_name,position,recent_team,opponent_team,season,week,scored_touchdown,avg_offense_snap_share,avg_wopr,avg_rushing_epa,avg_receiving_epa,avg_racr,avg_rush_yards_over_expected_per_att,avg_rush_pct_over_expected,avg_avg_time_to_los,avg_percent_attempts_gte_eight_defenders,avg_redzone_carry_share,avg_redzone_target_share,avg_endzone_targets,avg_endzone_target_share,avg_inside_5_carry_share,avg_inside_5_target_share,rush_matchup_value,pass_matchup_value,avg_rushing_tds_allowed_to_RB,avg_passing_tds_allowed_to_RB,implied_total,depth_chart_rank,avg_scored_touchdown,position_group,avg_target_share,avg_avg_separation,avg_percent_share_of_intended_air_yards,avg_catch_percentage,avg_avg_expected_yac,avg_avg_yac_above_expectation,avg_passing_tds_allowed_to_WR,avg_passing_tds_allowed_to_TE,avg_receptions,avg_receiving_yards,avg_receiving_air_yards,avg_avg_intended_air_yards,avg_carries,avg_rushing_yards,avg_rushing_tds_allowed_to_QB
00-0036223,Jonathan Taylor,RB,IND,HOU,2024,1,1,,,,,,,,,,,,,,,,0.0,0.0,,,22.75,1,,RB,,,,,,,,,,,,,,,
00-0036251,Zack Moss,RB,CIN,NE,2024,1,1,,,,,,,,,,,,,,,,0.0,0.0,,,24.5,1,,RB,,,,,,,,,,,,,,,
00-0036275,D'Andre Swift,RB,CHI,TEN,2024,1,0,,,,,,,,,,,,,,,,0.0,0.0,,,24.25,1,,RB,,,,,,,,,,,,,,,
00-0036328,Antonio Gibson,RB,NE,CIN,2024,1,0,,,,,,,,,,,,,,,,0.0,0.0,,,16.5,2,,RB,,,,,,,,,,,,,,,
00-0036425,DeeJay Dallas,RB,ARI,BUF,2024,1,0,,,,,,,,,,,,,,,,0.0,0.0,,,20.0,4,,RB,,,,,,,,,,,,,,,
00-0036555,Chuba Hubbard,RB,CAR,NO,2024,1,0,,,,,,,,,,,,,,,,0.0,0.0,,,18.75,1,,RB,,,,,,,,,,,,,,,
00-0036875,Rhamondre Stevenson,RB,NE,CIN,2024,1,1,,,,,,,,,,,,,,,,0.0,0.0,,,16.5,1,,RB,,,,,,,,,,,,,,,
00-0036893,Najee Harris,RB,PIT,ATL,2024,1,0,,,,,,,,,,,,,,,,0.0,0.0,,,19.25,1,,RB,,,,,,,,,,,,,,,
00-0036906,Khalil Herbert,RB,CHI,TEN,2024,1,0,,,,,,,,,,,,,,,,0.0,0.0,,,24.25,2,,RB,,,,,,,,,,,,,,,
00-0036919,Kenneth Gainwell,RB,PHI,GB,2024,1,0,,,,,,,,,,,,,,,,0.0,0.0,,,25.75,2,,RB,,,,,,,,,,,,,,,
00-0036973,Travis Etienne,RB,JAX,MIA,2024,1,1,,,,,,,,,,,,,,,,0.0,0.0,,,22.75,1,,RB,,,,,,,,,,,,,,,
00-0036997,Javonte Williams,RB,DEN,SEA,2024,1,0,,,,,,,,,,,,,,,,0.0,0.0,,,18.0,1,,RB,,,,,,,,,,,,,,,
00-0037197,Isiah Pacheco,RB,KC,BAL,2024,1,1,,,,,,,,,,,,,,,,0.0,0.0,,,25.0,1,,RB,,,,,,,,,,,,,,,
00-0037228,Jaylen Warren,RB,PIT,ATL,2024,1,0,,,,,,,,,,,,,,,,0.0,0.0,,,19.25,2,,RB,,,,,,,,,,,,,,,
00-0037248,James Cook,RB,BUF,ARI,2024,1,0,,,,,,,,,,,,,,,,0.0,0.0,,,26.5,1,,RB,,,,,,,,,,,,,,,
00-0037256,Rachaad White,RB,TB,WAS,2024,1,0,,,,,,,,,,,,,,,,0.0,0.0,,,23.0,1,,RB,,,,,,,,,,,,,,,
00-0037258,Dameon Pierce,RB,HOU,IND,2024,1,0,,,,,,,,,,,,,,,,0.0,0.0,,,25.75,2,,RB,,,,,,,,,,,,,,,
00-0037263,Tyler Allgeier,RB,ATL,PIT,2024,1,0,,,,,,,,,,,,,,,,0.0,0.0,,,22.75,2,,RB,,,,,,,,,,,,,,,
00-0037267,Jerome Ford,RB,CLE,DAL,2024,1,1,,,,,,,,,,,,,,,,0.0,0.0,,,21.75,1,,RB,,,,,,,,,,,,,,,
00-0037276,Ty Chandler,RB,MIN,NYG,2024,1,0,,,,,,,,,,,,,,,,0.0,0.0,,,21.25,2,,RB,,,,,,,,,,,,,,,
00-0037525,Jordan Mason,RB,SF,NYJ,2024,1,1,,,,,,,,,,,,,,,,0.0,0.0,,,23.5,2,,RB,,,,,,,,,,,,,,,
00-0037557,Ronnie Rivers,RB,LAR,DET,2024,1,0,,,,,,,,,,,,,,,,0.0,0.0,,,24.0,3,,RB,,,,,,,,,,,,,,,
00-0037745,Velus Jones,RB,CHI,TEN,2024,1,0,,,,,,,,,,,,,,,,0.0,0.0,,,24.25,3,,RB,,,,,,,,,,,,,,,
00-0037746,Brian Robinson,RB,WAS,TB,2024,1,1,,,,,,,,,,,,,,,,0.0,0.0,,,19.5,1,,RB,,,,,,,,,,,,,,,
00-0037840,Kyren Williams,RB,LAR,DET,2024,1,1,,,,,,,,,,,,,,,,0.0,0.0,,,24.0,1,,RB,,,,,,,,,,,,,,,
00-0038040,Zamir White,RB,LVR,LAC,2024,1,0,,,,,,,,,,,,,,,,0.0,0.0,,,18.5,1,,RB,,,,,,,,,,,,,,,
00-0038098,Pierre Strong,RB,CLE,DAL,2024,1,0,,,,,,,,,,,,,,,,0.0,0.0,,,21.75,2,,RB,,,,,,,,,,,,,,,
00-0038120,Breece Hall,RB,NYJ,SF,2024,1,1,,,,,,,,,,,,,,,,0.0,0.0,,,20.0,1,,RB,,,,,,,,,,,,,,,
00-0038134,Kenneth Walker,RB,SEA,DEN,2024,1,1,,,,,,,,,,,,,,,,0.0,0.0,,,24.0,1,,RB,,,,,,,,,,,,,,,
00-0038396,Eric Gray,RB,NYG,MIN,2024,1,0,,,,,,,,,,,,,,,,0.0,0.0,,,19.75,2,,RB,,,,,,,,,,,,,,,
00-0038542,Bijan Robinson,RB,ATL,PIT,2024,1,0,,,,,,,,,,,,,,,,0.0,0.0,,,22.75,1,,RB,,,,,,,,,,,,,,,
00-0038555,Tank Bigsby,RB,JAX,MIA,2024,1,0,,,,,,,,,,,,,,,,0.0,0.0,,,22.75,2,,RB,,,,,,,,,,,,,,,
00-0038597,Chase Brown,RB,CIN,NE,2024,1,0,,,,,,,,,,,,,,,,0.0,0.0,,,24.5,2,,RB,,,,,,,,,,,,,,,
00-0038622,Deuce Vaughn,RB,DAL,CLE,2024,1,0,,,,,,,,,,,,,,,,0.0,0.0,,,19.25,4,,RB,,,,,,,,,,,,,,,
00-0038678,Jordan Mims,RB,NO,CAR,2024,1,0,,,,,,,,,,,,,,,,0.0,0.0,,,22.75,3,,RB,,,,,,,,,,,,,,,
00-0038705,Emari Demercado,RB,ARI,BUF,2024,1,0,,,,,,,,,,,,,,,,0.0,0.0,,,20.0,3,,RB,,,,,,,,,,,,,,,
00-0038794,Jaleel McLaughlin,RB,DEN,SEA,2024,1,0,,,,,,,,,,,,,,,,0.0,0.0,,,18.0,2,,RB,,,,,,,,,,,,,,,
00-0038797,Emanuel Wilson,RB,GB,PHI,2024,1,0,,,,,,,,,,,,,,,,0.0,0.0,,,23.75,3,,RB,,,,,,,,,,,,,,,
00-0039032,Tyjae Spears,RB,TEN,CHI,2024,1,0,,,,,,,,,,,,,,,,0.0,0.0,,,20.25,2,,RB,,,,,,,,,,,,,,,
00-0039040,Devon Achane,RB,MIA,JAX,2024,1,1,,,,,,,,,,,,,,,,0.0,0.0,,,26.25,1,,RB,,,,,,,,,,,,,,,
00-0039139,Jahmyr Gibbs,RB,DET,LA,2024,1,1,,,,,,,,,,,,,,,,0.0,0.0,,,28.5,2,,RB,,,,,,,,,,,,,,,
00-0039165,Zach Charbonnet,RB,SEA,DEN,2024,1,1,,,,,,,,,,,,,,,,0.0,0.0,,,24.0,2,,RB,,,,,,,,,,,,,,,
00-0039325,Carson Steele,RB,KC,BAL,2024,1,0,,,,,,,,,,,,,,,,0.0,0.0,,,25.0,4,,RB,,,,,,,,,,,,,,,
00-0039361,Bucky Irving,RB,TB,WAS,2024,1,0,,,,,,,,,,,,,,,,0.0,0.0,,,23.0,3,,RB,,,,,,,,,,,,,,,
00-0039373,Audric Estime,RB,DEN,SEA,2024,1,0,,,,,,,,,,,,,,,,0.0,0.0,,,18.0,3,,RB,,,,,,,,,,,,,,,
00-0039384,Tyrone Tracy,RB,NYG,MIN,2024,1,0,,,,,,,,,,,,,,,,0.0,0.0,,,19.75,3,,RB,,,,,,,,,,,,,,,
00-0039794,Braelon Allen,RB,NYJ,SF,2024,1,0,,,,,,,,,,,,,,,,0.0,0.0,,,20.0,2,,RB,,,,,,,,,,,,,,,
00-0039875,Ray Davis,RB,BUF,ARI,2024,1,0,,,,,,,,,,,,,,,,0.0,0.0,,,26.5,3,,RB,,,,,,,,,,,,,,,
00-0039921,Trey Benson,RB,ARI,BUF,2024,1,0,,,,,,,,,,,,,,,,0.0,0.0,,,20.0,2,,RB,,,,,,,,,,,,,,,
00-0030578,Cordarrelle Patterson,RB,PIT,DEN,2024,2,0,0.13,0.0,-1.2048414945602417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,19.5,3,0.0,RB,,,,,,,,,,,,,,,
00-0032104,Ameer Abdullah,RB,LVR,BAL,2024,2,0,,,,,,,,,,,,,,,,0.0,0.0,1.0,0.0,16.5,3,,RB,,,,,,,,,,,,,,,
00-0032764,Derrick Henry,RB,BAL,LV,2024,2,1,0.46,0.048782773315906525,2.1925127506256104,-1.4453136920928955,-0.0,0.32852209830194296,0.46153846153846156,2.8005833333333334,38.46153846153847,0.20000000298023224,0.0,0.0,0.0,1.0,0.0,0.20000000298023224,0.0,1.0,0.0,25.0,1,1.0,RB,,,,,,,,,,,,,,,
00-0033045,Ezekiel Elliott,RB,DAL,NO,2024,2,0,0.51,0.08575057238340378,0.9824691414833069,-0.23635490238666534,-2.25,-1.652131156993987,0.1,2.5373,20.0,1.0,0.3333333432674408,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,26.75,1,1.0,RB,,,,,,,,,,,,,,,
00-0033293,Aaron Jones,RB,MIN,SF,2024,2,0,0.55,0.15403029322624207,4.944571018218994,0.2979000210762024,2.5,2.785276157924989,0.6428571428571429,3.2796153846153837,0.0,0.6666666865348816,0.0,0.0,0.0,1.0,0.0,0.6666666865348816,0.0,1.0,0.0,21.0,1,1.0,RB,,,,,,,,,,,,,,,
00-0033526,Samaje Perine,RB,KC,CIN,2024,2,0,0.15,0.09361111372709274,0.0,-0.7478708028793335,-2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,27.0,2,0.0,RB,,,,,,,,,,,,,,,
00-0033553,James Conner,RB,ARI,LA,2024,2,1,0.67,0.15689916908740997,-4.009039878845215,1.648868203163147,-3.299999952316284,-1.40243745831732,0.1875,3.1427333333333336,12.5,0.75,0.0,0.0,0.0,1.0,0.0,1.5,0.0,2.0,0.0,24.25,1,1.0,RB,,,,,,,,,,,,,,,
00-0033699,Austin Ekeler,RB,WAS,NYG,2024,2,0,0.53,0.23319999873638153,0.41855061054229736,2.5795066356658936,-17.33333396911621,0.0,0.0,0.0,0.0,0.1666666716337204,0.0,0.0,0.0,0.0,0.0,0.1666666716337204,0.0,1.0,0.0,22.0,1,0.0,RB,,,,,,,,,,,,,,,
00-0033854,Dare Ogunbowale,RB,HOU,CHI,2024,2,0,0.16,0.056854840368032455,0.0,-0.9686914682388306,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,25.75,3,0.0,RB,,,,,,,,,,,,,,,
00-0033897,Joe Mixon,RB,HOU,CHI,2024,2,0,0.72,0.12540322542190552,3.545551061630249,-0.5995126366615295,-2.7142856121063232,0.5919110189436471,0.5862068965517241,2.777068965517242,26.666666666666668,0.75,0.0,0.0,0.0,0.75,0.0,0.75,0.0,1.0,0.0,25.75,1,1.0,RB,,,,,,,,,,,,,,,
00-0033906,Alvin Kamara,RB,NO,DAL,2024,2,1,0.52,0.2552884519100189,5.508878707885742,-0.22240310907363892,-1.5882352590560913,0.5569272476602474,0.4666666666666667,2.579214285714286,26.666666666666668,0.6666666865348816,0.0,0.0,0.0,1.0,0.0,0.6666666865348816,0.0,1.0,0.0,20.25,1,1.0,RB,,,,,,,,,,,,,,,
00-0033925,D'Onta Foreman,RB,CLE,JAX,2024,2,0,,,,,,,,,,,,,,,,0.0,0.0,1.0,0.0,19.25,3,,RB,,,,,,,,,,,,,,,
00-0033948,Jamaal Williams,RB,NO,DAL,2024,2,0,0.33,0.07596153765916824,-0.9122353196144104,1.3585549592971802,3.25,-2.243675969010371,0.2,2.263333333333333,9.090909090909092,0.3333333432674408,0.0,0.0,0.0,0.0,0.0,0.3333333432674408,0.0,1.0,0.0,20.25,2,1.0,RB,,,,,,,,,,,,,,,
00-0034115,Jeffery Wilson,RB,MIA,BUF,2024,2,0,0.0,0.0,1.1256225109100342,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,25.5,2,0.0,RB,,,,,,,,,,,,,,,
00-0034184,Gus Edwards,RB,LAC,CAR,2024,2,0,0.42,0.05090909078717232,-5.158047676086426,-0.6230776309967041,-1.0,-1.629317198527707,0.18181818181818182,2.6567,45.45454545454545,0.6666666865348816,0.0,0.0,0.0,1.0,0.0,1.3333333730697632,0.0,2.0,0.0,21.5,2,0.0,RB,,,,,,,,,,,,,,,
