player_id,player_display_name,position,team,opponent_team,avg_avg_expected_yac,avg_avg_intended_air_yards,avg_avg_separation,avg_avg_time_to_los,avg_avg_yac_above_expectation,avg_carries,avg_catch_percentage,avg_endzone_target_share,avg_endzone_targets,avg_inside_5_carry_share,avg_inside_5_target_share,avg_offense_snap_share,avg_percent_attempts_gte_eight_defenders,avg_percent_share_of_intended_air_yards,avg_racr,avg_receiving_air_yards,avg_receiving_epa,avg_receiving_yards,avg_receptions,avg_redzone_carry_share,avg_redzone_target_share,avg_rush_pct_over_expected,avg_rush_yards_over_expected_per_att,avg_rushing_epa,avg_rushing_yards,avg_scored_touchdown,avg_wopr,target_share,recent_team,team_continuity,passing_tds_allowed_to_WR,rushing_tds_allowed_to_QB,passing_tds_allowed_to_RB,passing_tds_allowed_to_TE,rushing_tds_allowed_to_RB,implied_total,opponent_encoded,rush_matchup_value,pass_matchup_value,season,week,depth_chart_rank
00-0030061,Zach Ertz,TE,WAS,GB,2.150134790533868,5.140480367631262,2.1242767835857737,0.0,1.024805881357941,6.9297091689367e-11,68.27821313870069,0.0233637947037189,0.8289314410725787,3.464854584468351e-11,0.4171042899263404,0.7361221670884257,0.0,12.242188866113128,1.2760659207061529,34.112389501326135,3.5457620881513816,43.57869772149648,4.312594358964484,1.3946712922361028e-11,0.3468325600319449,0.0,0.0,3.1550462161887297e-11,2.7718836675746806e-10,0.7440513491529698,0.3262675001082271,0.172413793103448,WAS,1,1.0296074635324106,0.00403111172615,0.3230714696342126,0.0235953973985927,0.573340535307702,22.5,11,0.0,0.008183652084725,2025.0,1.0,1
00-0030279,Keenan Allen,WR,LAC,LV,2.8061410950934653,4.9546030448132905,2.082031254970268,0.0,-0.222895663890536,9.661753274221453e-07,36.71004436095154,0.023714817712539,0.7592461126479811,0.0,0.0858176874768966,0.897449738638908,0.0,20.705465759311533,0.9330723010485636,56.3897776348952,2.758605962268088,49.95920485205213,4.809018558031793,3.4116346652661965e-08,0.2012764550847979,0.0,0.0,1.4974592228634833e-07,3.635437371950155e-06,0.2816886008174075,0.5975919348105626,0.294117647058824,LAC,1,0.8264459895238881,0.0037732664633669,0.0597462140472132,0.6871045523690429,0.6181168564801681,25.0,18,0.0,0.16634411909041624,2025.0,1.0,3
00-0030506,Travis Kelce,TE,KC,PHI,4.884991720763923,6.356728693953003,3.861209471002462,0.0,-0.8992368327417832,0.000313456896541,67.87376294128187,0.0122947251019045,0.4783480953965092,6.269134267198288e-05,0.4083440945077053,0.8793957572862643,0.0,23.46358896878497,1.1137491283413217,53.97205487884968,2.175995590592653,56.184639913435646,6.25179813519881,3.918211605462239e-05,0.3145729898478889,0.0,0.0,-2.8909092813529032e-05,0.0003134574653348,0.4152355707998498,0.5012821466284864,0.105263157894737,KC,1,1.401903048218054,0.0085909222248323,8.125104673608448e-05,0.2116492378286718,0.0848703327308319,22.5,25,0.0,0.0665791335427922,2025.0,1.0,1
00-0030564,DeAndre Hopkins,WR,BAL,CLE,1.0438287386483598,4.058500317554591,0.6546533462445092,0.0,-0.0585431286063141,9.911992196361349e-06,22.387713881442608,0.016258910835401,0.6255749085955696,0.0,0.0510022670643403,0.4872845451704561,0.0,10.80226942581235,0.5846417984769317,52.39117485041466,0.4911054256046163,27.403552552431456,3.366253127194638,1.689905727238587e-06,0.0739041402633906,0.0,0.0,2.209276965859173e-06,4.078517904960352e-05,0.1248849825731765,0.3371247294088477,0.105263157894737,BAL,1,1.0694062805936724,0.2735961580696781,0.0001328526174557,0.7935284033407155,0.9534944178059712,28.5,7,0.0,0.0790335517595456,2025.0,1.0,3
00-0030565,Geno Smith,QB,LV,LAC,0.0,0.0,0.0,0.0,0.0,2.0453657061283543,0.0,0.0,0.0,0.0016427784778461,0.0,0.9645269191260558,0.0,0.0,0.0,-1.965101508630798e-06,-3.540916641442049e-07,-4.912753771576995e-07,2.4563768857884977e-07,0.0459924866050898,0.0,0.0,0.0,1.0461770849905443,12.466953619923023,0.0113249090770371,3.424756259630124e-09,0.0,LVR,0,1.1689324328281352,0.0204764739057047,0.2305131020532531,0.4186872477877592,0.1943308345725474,0.0,17,0.0009417639518275943,0.0,2025.0,1.0,1
00-0031236,Brandin Cooks,WR,NO,SF,2.2562806912519204,9.315854762897288,1.8725973136535263,0.0,-0.6268694758948865,0.4140677672135832,32.76886427552015,0.0392595842270045,1.3386112976147002,0.0,0.2733566140473334,0.685366391591642,0.0,28.363077246074795,0.5599484006431735,69.74949616352852,-3.506963428192833,29.987806119671035,3.0940588457587994,0.0027925896235457,0.1837163322470293,0.0,0.0,-0.4719559838585003,-1.98470877052894,0.0920815041669935,0.5320176517327495,0.0975609756097561,NO,1,2.0189095342429413,0.0456637716374282,0.0070319524910485,0.6600789686486768,1.3312269730449626,19.0,28,0.0,0.3709066547696714,2025.0,1.0,3
00-0031237,Teddy Bridgewater,QB,TB,HOU,0.0,0.0,0.0,0.0,0.0,0.8910111247886489,0.0,0.0,0.0,0.0005618090105999,0.0,0.5335739034239989,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1245005401906654,0.0,0.0,0.0,0.5319433209673754,6.333494777980946,0.0091542719443149,0.0,0.0,DET,0,0.7409899347580217,0.3841380058248714,0.002741029836145,0.6129109245203378,0.4316232921382998,20.0,12,0.047825389232961465,0.0,2025.0,1.0,2
00-0031345,Jimmy Garoppolo,QB,LA,TEN,0.0,0.0,0.0,0.0,0.0,1.4651366955231573,0.0,0.0,0.0,0.0050404287798422,0.0,0.5525879311828715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0648726027711206,0.0,0.0,0.0,0.0218897757662344,4.459740869762278,0.0024868161372077,0.0,0.0,LAR,0,1.217339870040573,0.1938595816146385,0.1037705016120249,0.0547364158517565,1.0511474482065029,0.0,30,0.012576175631462079,0.0,2025.0,1.0,2
00-0031381,Davante Adams,WR,LA,TEN,4.825378913247125,8.37782983276236,3.522060786668835,0.0,1.4613598548432665,4.3169521563523434e-10,57.88194741374029,0.0595939607004799,2.2386258144997044,0.0,0.5190406930093998,0.8878597576651597,0.0,42.751233062693736,1.513671223958449,86.55335048640487,-0.3757464960701063,83.91148467112964,6.278780897719937,0.0,0.3654390292709027,0.0,0.0,-8.07190896597283e-10,-2.0994452222926382e-10,0.7215174709572862,0.7526026636882643,0.285714285714286,LAR,0,1.217339870040573,0.1938595816146385,0.1037705016120249,0.0547364158517565,1.0511474482065029,0.0,30,0.0,0.4448635004003939,2025.0,1.0,2
00-0031408,Mike Evans,WR,TB,HOU,2.2167448812776875,11.611709215831228,2.3927659000794037,0.0,0.4793673514336394,1.163925039549258e-12,71.6591695643372,0.0487861130315919,1.595146426875561,0.0,0.1339339423058981,0.7686678142367941,0.0,45.589476190388126,0.7785091570708116,123.31153013494452,3.147499338210208,92.18923209524657,7.642341957672387,0.0,0.2929951015202008,0.0,0.0,7.420682441598631e-13,1.163925039549258e-11,0.3759107501831767,0.8369525596464719,0.266666666666667,TB,1,0.7409899347580217,0.3841380058248714,0.002741029836145,0.6129109245203378,0.4316232921382998,20.0,12,0.0,0.21710642115987352,2025.0,1.0,1
