Player,Team,HomeTeam,AwayTeam,Season,Week,GameDate,Over_Line,Over_Odds,Under_Line,Under_Odds,Bookmaker
Wan'Dale Robinson,N/A,New York Giants,Philadelphia Eagles,2025,6,2025-10-10T00:15:00Z,4.5,-148,4.5,116,DraftKings
DeVonta Smith,N/A,New York Giants,Philadelphia Eagles,2025,6,2025-10-10T00:15:00Z,4.5,-133,4.5,104,DraftKings
AJ Brown,N/A,New York Giants,Philadelphia Eagles,2025,6,2025-10-10T00:15:00Z,4.5,-127,4.5,100,DraftKings
Dallas Goedert,N/A,New York Giants,Philadelphia Eagles,2025,6,2025-10-10T00:15:00Z,3.5,-136,3.5,107,DraftKings
Theo Johnson,N/A,New York Giants,Philadelphia Eagles,2025,6,2025-10-10T00:15:00Z,3.5,-102,3.5,-125,DraftKings
Saquon Barkley,N/A,New York Giants,Philadelphia Eagles,2025,6,2025-10-10T00:15:00Z,2.5,101,2.5,-129,DraftKings
Cam Skattebo,N/A,New York Giants,Philadelphia Eagles,2025,6,2025-10-10T00:15:00Z,2.5,104,2.5,-133,DraftKings
Tyrone Tracy Jr.,N/A,New York Giants,Philadelphia Eagles,2025,6,2025-10-10T00:15:00Z,2.5,139,2.5,-179,DraftKings
Beaux Collins,N/A,New York Giants,Philadelphia Eagles,2025,6,2025-10-10T00:15:00Z,1.5,-138,1.5,108,DraftKings
Daniel Bellinger,N/A,New York Giants,Philadelphia Eagles,2025,6,2025-10-10T00:15:00Z,1.5,-138,1.5,108,DraftKings
Jalin Hyatt,N/A,New York Giants,Philadelphia Eagles,2025,6,2025-10-10T00:15:00Z,1.5,115,1.5,-147,DraftKings
Jahan Dotson,N/A,New York Giants,Philadelphia Eagles,2025,6,2025-10-10T00:15:00Z,1.5,169,1.5,-219,DraftKings
Garrett Wilson,N/A,New York Jets,Denver Broncos,2025,6,2025-10-12T13:30:00Z,5.5,117,5.5,-149,DraftKings
Courtland Sutton,N/A,New York Jets,Denver Broncos,2025,6,2025-10-12T13:30:00Z,4.5,-101,4.5,-126,DraftKings
Mason Taylor,N/A,New York Jets,Denver Broncos,2025,6,2025-10-12T13:30:00Z,3.5,-160,3.5,125,DraftKings
Troy Franklin,N/A,New York Jets,Denver Broncos,2025,6,2025-10-12T13:30:00Z,3.5,-120,3.5,-106,DraftKings
Breece Hall,N/A,New York Jets,Denver Broncos,2025,6,2025-10-12T13:30:00Z,3.5,113,3.5,-144,DraftKings
