Player,Team,HomeTeam,AwayTeam,Season,Week,GameDate,Over_Line,Over_Odds,Under_Line,Under_Odds,Bookmaker
Justin Jefferson,N/A,Los Angeles Chargers,Minnesota Vikings,2025,8,2025-10-24T00:15:00Z,6.5,111,6.5,-142,DraftKings
Keenan Allen,N/A,Los Angeles Chargers,Minnesota Vikings,2025,8,2025-10-24T00:15:00Z,5.5,112,5.5,-143,DraftKings
Ladd McConkey,N/A,Los Angeles Chargers,Minnesota Vikings,2025,8,2025-10-24T00:15:00Z,5.5,118,5.5,-151,DraftKings
Jordan Addison,N/A,Los Angeles Chargers,Minnesota Vikings,2025,8,2025-10-24T00:15:00Z,4.5,103,4.5,-131,DraftKings
Oronde Gadsden II,N/A,Los Angeles Chargers,Minnesota Vikings,2025,8,2025-10-24T00:15:00Z,4.5,124,4.5,-159,DraftKings
T.J. Hockenson,N/A,Los Angeles Chargers,Minnesota Vikings,2025,8,2025-10-24T00:15:00Z,3.5,-153,3.5,120,DraftKings
Quentin Johnston,N/A,Los Angeles Chargers,Minnesota Vikings,2025,8,2025-10-24T00:15:00Z,3.5,-143,3.5,112,DraftKings
Kimani Vidal,N/A,Los Angeles Chargers,Minnesota Vikings,2025,8,2025-10-24T00:15:00Z,2.5,-127,2.5,100,DraftKings
Jalen Nailor,N/A,Los Angeles Chargers,Minnesota Vikings,2025,8,2025-10-24T00:15:00Z,1.5,-129,1.5,101,DraftKings
Drake London,N/A,Atlanta Falcons,Miami Dolphins,2025,8,2025-10-26T17:00:00Z,5.5,-108,5.5,-118,DraftKings
Jaylen Waddle,N/A,Atlanta Falcons,Miami Dolphins,2025,8,2025-10-26T17:00:00Z,5.5,122,5.5,-156,DraftKings
De'Von Achane,N/A,Atlanta Falcons,Miami Dolphins,2025,8,2025-10-26T17:00:00Z,4.5,-110,4.5,-116,DraftKings
Bijan Robinson,N/A,Atlanta Falcons,Miami Dolphins,2025,8,2025-10-26T17:00:00Z,4.5,-103,4.5,-124,DraftKings
Kyle Pitts,N/A,Atlanta Falcons,Miami Dolphins,2025,8,2025-10-26T17:00:00Z,4.5,102,4.5,-130,DraftKings
Malik Washington,N/A,Atlanta Falcons,Miami Dolphins,2025,8,2025-10-26T17:00:00Z,3.5,-114,3.5,-112,DraftKings
Darnell Mooney,N/A,Atlanta Falcons,Miami Dolphins,2025,8,2025-10-26T17:00:00Z,2.5,-158,2.5,124,DraftKings
Nick Westbrook-Ikhine,N/A,Atlanta Falcons,Miami Dolphins,2025,8,2025-10-26T17:00:00Z,1.5,-149,1.5,117,DraftKings
Zay Flowers,N/A,Baltimore Ravens,Chicago Bears,2025,8,2025-10-26T17:00:00Z,5.5,100,5.5,-128,DraftKings
Rome Odunze,N/A,Baltimore Ravens,Chicago Bears,2025,8,2025-10-26T17:00:00Z,4.5,-101,4.5,-126,DraftKings
DJ Moore,N/A,Baltimore Ravens,Chicago Bears,2025,8,2025-10-26T17:00:00Z,3.5,-136,3.5,107,DraftKings
Mark Andrews,N/A,Baltimore Ravens,Chicago Bears,2025,8,2025-10-26T17:00:00Z,3.5,114,3.5,-146,DraftKings
Tetairoa McMillan,N/A,Carolina Panthers,Buffalo Bills,2025,8,2025-10-26T17:00:00Z,4.5,-105,4.5,-121,DraftKings
Khalil Shakir,N/A,Carolina Panthers,Buffalo Bills,2025,8,2025-10-26T17:00:00Z,4.5,109,4.5,-139,DraftKings
Dalton Kincaid,N/A,Carolina Panthers,Buffalo Bills,2025,8,2025-10-26T17:00:00Z,3.5,-160,3.5,125,DraftKings
