Player,Team,HomeTeam,AwayTeam,Season,Week,GameDate,Odds,Bookmaker
Saquon Barkley,N/A,Philadelphia Eagles,Dallas Cowboys,2025,1,2025-09-05T00:20:00Z,-185,DraftKings
Jalen Hurts,N/A,Philadelphia Eagles,Dallas Cowboys,2025,1,2025-09-05T00:20:00Z,-150,DraftKings
CeeDee Lamb,N/A,Philadelphia Eagles,Dallas Cowboys,2025,1,2025-09-05T00:20:00Z,145,DraftKings
AJ Brown,N/A,Philadelphia Eagles,Dallas Cowboys,2025,1,2025-09-05T00:20:00Z,165,DraftKings
DeVonta Smith,N/A,Philadelphia Eagles,Dallas Cowboys,2025,1,2025-09-05T00:20:00Z,185,DraftKings
Javonte Williams,N/A,Philadelphia Eagles,Dallas Cowboys,2025,1,2025-09-05T00:20:00Z,220,DraftKings
George Pickens,N/A,Philadelphia Eagles,Dallas Cowboys,2025,1,2025-09-05T00:20:00Z,225,DraftKings
Jake Ferguson,N/A,Philadelphia Eagles,Dallas Cowboys,2025,1,2025-09-05T00:20:00Z,280,DraftKings
Dallas Goedert,N/A,Philadelphia Eagles,Dallas Cowboys,2025,1,2025-09-05T00:20:00Z,290,DraftKings
Philadelphia Eagles D/ST,N/A,Philadelphia Eagles,Dallas Cowboys,2025,1,2025-09-05T00:20:00Z,475,DraftKings
Jalen Tolbert,N/A,Philadelphia Eagles,Dallas Cowboys,2025,1,2025-09-05T00:20:00Z,600,DraftKings
Dallas Cowboys D/ST,N/A,Philadelphia Eagles,Dallas Cowboys,2025,1,2025-09-05T00:20:00Z,650,DraftKings
Will Shipley,N/A,Philadelphia Eagles,Dallas Cowboys,2025,1,2025-09-05T00:20:00Z,750,DraftKings
Dak Prescott,N/A,Philadelphia Eagles,Dallas Cowboys,2025,1,2025-09-05T00:20:00Z,750,DraftKings
KaVontae Turpin,N/A,Philadelphia Eagles,Dallas Cowboys,2025,1,2025-09-05T00:20:00Z,750,DraftKings
AJ Dillon,N/A,Philadelphia Eagles,Dallas Cowboys,2025,1,2025-09-05T00:20:00Z,800,DraftKings
Jaydon Blue,N/A,Philadelphia Eagles,Dallas Cowboys,2025,1,2025-09-05T00:20:00Z,800,DraftKings
Jahan Dotson,N/A,Philadelphia Eagles,Dallas Cowboys,2025,1,2025-09-05T00:20:00Z,850,DraftKings
Miles Sanders,N/A,Philadelphia Eagles,Dallas Cowboys,2025,1,2025-09-05T00:20:00Z,950,DraftKings
Luke Schoonmaker,N/A,Philadelphia Eagles,Dallas Cowboys,2025,1,2025-09-05T00:20:00Z,1200,DraftKings
Grant Calcaterra,N/A,Philadelphia Eagles,Dallas Cowboys,2025,1,2025-09-05T00:20:00Z,1400,DraftKings
John Metchie III,N/A,Philadelphia Eagles,Dallas Cowboys,2025,1,2025-09-05T00:20:00Z,1500,DraftKings
Cooper Rush,N/A,Philadelphia Eagles,Dallas Cowboys,2025,1,2025-09-05T00:20:00Z,1500,DraftKings
Hunter Luepke,N/A,Philadelphia Eagles,Dallas Cowboys,2025,1,2025-09-05T00:20:00Z,1700,DraftKings
Kylen Granson,N/A,Philadelphia Eagles,Dallas Cowboys,2025,1,2025-09-05T00:20:00Z,2200,DraftKings
Brevyn Spann-Ford,N/A,Philadelphia Eagles,Dallas Cowboys,2025,1,2025-09-05T00:20:00Z,2200,DraftKings
Ben VanSumeren,N/A,Philadelphia Eagles,Dallas Cowboys,2025,1,2025-09-05T00:20:00Z,4000,DraftKings
Xavier Worthy,N/A,Los Angeles Chargers,Kansas City Chiefs,2025,1,2025-09-06T00:00:00Z,130,DraftKings
Omarion Hampton,N/A,Los Angeles Chargers,Kansas City Chiefs,2025,1,2025-09-06T00:00:00Z,155,DraftKings
Isiah Pacheco,N/A,Los Angeles Chargers,Kansas City Chiefs,2025,1,2025-09-06T00:00:00Z,160,DraftKings
Travis Kelce,N/A,Los Angeles Chargers,Kansas City Chiefs,2025,1,2025-09-06T00:00:00Z,170,DraftKings
Ladd McConkey,N/A,Los Angeles Chargers,Kansas City Chiefs,2025,1,2025-09-06T00:00:00Z,180,DraftKings
Najee Harris,N/A,Los Angeles Chargers,Kansas City Chiefs,2025,1,2025-09-06T00:00:00Z,185,DraftKings
Marquise Brown,N/A,Los Angeles Chargers,Kansas City Chiefs,2025,1,2025-09-06T00:00:00Z,210,DraftKings
