Player,Team,HomeTeam,AwayTeam,Season,Week,GameDate,Odds,Bookmaker
Saquon Barkley,N/A,New York Giants,Philadelphia Eagles,2025,6,2025-10-10T00:15:00Z,-150,DraftKings
Jalen Hurts,N/A,New York Giants,Philadelphia Eagles,2025,6,2025-10-10T00:15:00Z,-130,DraftKings
Cam Skattebo,N/A,New York Giants,Philadelphia Eagles,2025,6,2025-10-10T00:15:00Z,165,DraftKings
AJ Brown,N/A,New York Giants,Philadelphia Eagles,2025,6,2025-10-10T00:15:00Z,205,DraftKings
Dallas Goedert,N/A,New York Giants,Philadelphia Eagles,2025,6,2025-10-10T00:15:00Z,245,DraftKings
DeVonta Smith,N/A,New York Giants,Philadelphia Eagles,2025,6,2025-10-10T00:15:00Z,255,DraftKings
Wan'Dale Robinson,N/A,New York Giants,Philadelphia Eagles,2025,6,2025-10-10T00:15:00Z,360,DraftKings
Jaxson Dart,N/A,New York Giants,Philadelphia Eagles,2025,6,2025-10-10T00:15:00Z,380,DraftKings
Tyrone Tracy Jr.,N/A,New York Giants,Philadelphia Eagles,2025,6,2025-10-10T00:15:00Z,390,DraftKings
Theo Johnson,N/A,New York Giants,Philadelphia Eagles,2025,6,2025-10-10T00:15:00Z,400,DraftKings
Philadelphia Eagles D/ST,N/A,New York Giants,Philadelphia Eagles,2025,6,2025-10-10T00:15:00Z,475,DraftKings
New York Giants D/ST,N/A,New York Giants,Philadelphia Eagles,2025,6,2025-10-10T00:15:00Z,550,DraftKings
Jalin Hyatt,N/A,New York Giants,Philadelphia Eagles,2025,6,2025-10-10T00:15:00Z,650,DraftKings
Beaux Collins,N/A,New York Giants,Philadelphia Eagles,2025,6,2025-10-10T00:15:00Z,800,DraftKings
Devin Singletary,N/A,New York Giants,Philadelphia Eagles,2025,6,2025-10-10T00:15:00Z,1000,DraftKings
Daniel Bellinger,N/A,New York Giants,Philadelphia Eagles,2025,6,2025-10-10T00:15:00Z,1000,DraftKings
Jahan Dotson,N/A,New York Giants,Philadelphia Eagles,2025,6,2025-10-10T00:15:00Z,1000,DraftKings
AJ Dillon,N/A,New York Giants,Philadelphia Eagles,2025,6,2025-10-10T00:15:00Z,1000,DraftKings
Will Shipley,N/A,New York Giants,Philadelphia Eagles,2025,6,2025-10-10T00:15:00Z,1300,DraftKings
Tank Bigsby,N/A,New York Giants,Philadelphia Eagles,2025,6,2025-10-10T00:15:00Z,1300,DraftKings
Gunner Olszewski,N/A,New York Giants,Philadelphia Eagles,2025,6,2025-10-10T00:15:00Z,1500,DraftKings
Grant Calcaterra,N/A,New York Giants,Philadelphia Eagles,2025,6,2025-10-10T00:15:00Z,1600,DraftKings
Kylen Granson,N/A,New York Giants,Philadelphia Eagles,2025,6,2025-10-10T00:15:00Z,1800,DraftKings
John Metchie III,N/A,New York Giants,Philadelphia Eagles,2025,6,2025-10-10T00:15:00Z,2000,DraftKings
Thomas Fidone,N/A,New York Giants,Philadelphia Eagles,2025,6,2025-10-10T00:15:00Z,3000,DraftKings
Xavier Gipson,N/A,New York Giants,Philadelphia Eagles,2025,6,2025-10-10T00:15:00Z,3000,DraftKings
Chris Manhertz,N/A,New York Giants,Philadelphia Eagles,2025,6,2025-10-10T00:15:00Z,4000,DraftKings
Cameron Latu,N/A,New York Giants,Philadelphia Eagles,2025,6,2025-10-10T00:15:00Z,4500,DraftKings
J.K. Dobbins,N/A,New York Jets,Denver Broncos,2025,6,2025-10-12T13:30:00Z,-120,DraftKings
Courtland Sutton,N/A,New York Jets,Denver Broncos,2025,6,2025-10-12T13:30:00Z,135,DraftKings
Breece Hall,N/A,New York Jets,Denver Broncos,2025,6,2025-10-12T13:30:00Z,160,DraftKings
RJ Harvey,N/A,New York Jets,Denver Broncos,2025,6,2025-10-12T13:30:00Z,165,DraftKings
Garrett Wilson,N/A,New York Jets,Denver Broncos,2025,6,2025-10-12T13:30:00Z,180,DraftKings
Justin Fields,N/A,New York Jets,Denver Broncos,2025,6,2025-10-12T13:30:00Z,235,DraftKings
Bo Nix,N/A,New York Jets,Denver Broncos,2025,6,2025-10-12T13:30:00Z,250,DraftKings
Troy Franklin,N/A,New York Jets,Denver Broncos,2025,6,2025-10-12T13:30:00Z,260,DraftKings
Mason Taylor,N/A,New York Jets,Denver Broncos,2025,6,2025-10-12T13:30:00Z,285,DraftKings
Marvin Mims Jr.,N/A,New York Jets,Denver Broncos,2025,6,2025-10-12T13:30:00Z,290,DraftKings
Evan Engram,N/A,New York Jets,Denver Broncos,2025,6,2025-10-12T13:30:00Z,320,DraftKings
Denver Broncos D/ST,N/A,New York Jets,Denver Broncos,2025,6,2025-10-12T13:30:00Z,475,DraftKings
Josh Reynolds,N/A,New York Jets,Denver Broncos,2025,6,2025-10-12T13:30:00Z,500,DraftKings
New York Jets D/ST,N/A,New York Jets,Denver Broncos,2025,6,2025-10-12T13:30:00Z,500,DraftKings
Tyler Johnson,N/A,New York Jets,Denver Broncos,2025,6,2025-10-12T13:30:00Z,700,DraftKings
Adam Trautman,N/A,New York Jets,Denver Broncos,2025,6,2025-10-12T13:30:00Z,700,DraftKings
Isaiah Davis,N/A,New York Jets,Denver Broncos,2025,6,2025-10-12T13:30:00Z,750,DraftKings
Arian Smith,N/A,New York Jets,Denver Broncos,2025,6,2025-10-12T13:30:00Z,750,DraftKings
Pat Bryant,N/A,New York Jets,Denver Broncos,2025,6,2025-10-12T13:30:00Z,750,DraftKings
Nate Adkins,N/A,New York Jets,Denver Broncos,2025,6,2025-10-12T13:30:00Z,750,DraftKings
Jeremy Ruckert,N/A,New York Jets,Denver Broncos,2025,6,2025-10-12T13:30:00Z,1000,DraftKings
Trent Sherfield Sr.,N/A,New York Jets,Denver Broncos,2025,6,2025-10-12T13:30:00Z,1000,DraftKings
