Player,Team,HomeTeam,AwayTeam,Season,Week,GameDate,Odds,Bookmaker
Jaylen Warren,N/A,Cincinnati Bengals,Pittsburgh Steelers,2025,7,2025-10-17T00:15:00Z,-120,DraftKings
Chase Brown,N/A,Cincinnati Bengals,Pittsburgh Steelers,2025,7,2025-10-17T00:15:00Z,105,DraftKings
Ja'Marr Chase,N/A,Cincinnati Bengals,Pittsburgh Steelers,2025,7,2025-10-17T00:15:00Z,140,DraftKings
DK Metcalf,N/A,Cincinnati Bengals,Pittsburgh Steelers,2025,7,2025-10-17T00:15:00Z,155,DraftKings
Kenneth Gainwell,N/A,Cincinnati Bengals,Pittsburgh Steelers,2025,7,2025-10-17T00:15:00Z,200,DraftKings
Tee Higgins,N/A,Cincinnati Bengals,Pittsburgh Steelers,2025,7,2025-10-17T00:15:00Z,230,DraftKings
Jonnu Smith,N/A,Cincinnati Bengals,Pittsburgh Steelers,2025,7,2025-10-17T00:15:00Z,330,DraftKings
Darnell Washington,N/A,Cincinnati Bengals,Pittsburgh Steelers,2025,7,2025-10-17T00:15:00Z,330,DraftKings
Noah Fant,N/A,Cincinnati Bengals,Pittsburgh Steelers,2025,7,2025-10-17T00:15:00Z,450,DraftKings
Roman Wilson,N/A,Cincinnati Bengals,Pittsburgh Steelers,2025,7,2025-10-17T00:15:00Z,500,DraftKings
Pittsburgh Steelers D/ST,N/A,Cincinnati Bengals,Pittsburgh Steelers,2025,7,2025-10-17T00:15:00Z,500,DraftKings
Samaje Perine,N/A,Cincinnati Bengals,Pittsburgh Steelers,2025,7,2025-10-17T00:15:00Z,550,DraftKings
Scott Miller,N/A,Cincinnati Bengals,Pittsburgh Steelers,2025,7,2025-10-17T00:15:00Z,600,DraftKings
Cincinnati Bengals D/ST,N/A,Cincinnati Bengals,Pittsburgh Steelers,2025,7,2025-10-17T00:15:00Z,600,DraftKings
Andrei Iosivas,N/A,Cincinnati Bengals,Pittsburgh Steelers,2025,7,2025-10-17T00:15:00Z,650,DraftKings
Drew Sample,N/A,Cincinnati Bengals,Pittsburgh Steelers,2025,7,2025-10-17T00:15:00Z,750,DraftKings
Pat Freiermuth,N/A,Cincinnati Bengals,Pittsburgh Steelers,2025,7,2025-10-17T00:15:00Z,750,DraftKings
Kaleb Johnson,N/A,Cincinnati Bengals,Pittsburgh Steelers,2025,7,2025-10-17T00:15:00Z,800,DraftKings
Connor Heyward,N/A,Cincinnati Bengals,Pittsburgh Steelers,2025,7,2025-10-17T00:15:00Z,800,DraftKings
Cam Grandy,N/A,Cincinnati Bengals,Pittsburgh Steelers,2025,7,2025-10-17T00:15:00Z,1000,DraftKings
Ke'Shawn Williams,N/A,Cincinnati Bengals,Pittsburgh Steelers,2025,7,2025-10-17T00:15:00Z,1200,DraftKings
Ben Skowronek,N/A,Cincinnati Bengals,Pittsburgh Steelers,2025,7,2025-10-17T00:15:00Z,1300,DraftKings
Aaron Rodgers,N/A,Cincinnati Bengals,Pittsburgh Steelers,2025,7,2025-10-17T00:15:00Z,1500,DraftKings
Mitchell Tinsley,N/A,Cincinnati Bengals,Pittsburgh Steelers,2025,7,2025-10-17T00:15:00Z,1900,DraftKings
Jermaine Burton,N/A,Cincinnati Bengals,Pittsburgh Steelers,2025,7,2025-10-17T00:15:00Z,2000,DraftKings
Joe Flacco,N/A,Cincinnati Bengals,Pittsburgh Steelers,2025,7,2025-10-17T00:15:00Z,2000,DraftKings
Charlie Jones,N/A,Cincinnati Bengals,Pittsburgh Steelers,2025,7,2025-10-17T00:15:00Z,2200,DraftKings
Tahj Brooks,N/A,Cincinnati Bengals,Pittsburgh Steelers,2025,7,2025-10-17T00:15:00Z,2800,DraftKings
Kyren Williams,N/A,Jacksonville Jaguars,Los Angeles Rams,2025,7,2025-10-19T13:30:00Z,-150,DraftKings
Davante Adams,N/A,Jacksonville Jaguars,Los Angeles Rams,2025,7,2025-10-19T13:30:00Z,-115,DraftKings
Travis Etienne Jr.,N/A,Jacksonville Jaguars,Los Angeles Rams,2025,7,2025-10-19T13:30:00Z,105,DraftKings
Brian Thomas Jr,N/A,Jacksonville Jaguars,Los Angeles Rams,2025,7,2025-10-19T13:30:00Z,155,DraftKings
Travis Hunter,N/A,Jacksonville Jaguars,Los Angeles Rams,2025,7,2025-10-19T13:30:00Z,300,DraftKings
Tyler Higbee,N/A,Jacksonville Jaguars,Los Angeles Rams,2025,7,2025-10-19T13:30:00Z,300,DraftKings
Jordan Whittington,N/A,Jacksonville Jaguars,Los Angeles Rams,2025,7,2025-10-19T13:30:00Z,300,DraftKings
Dyami Brown,N/A,Jacksonville Jaguars,Los Angeles Rams,2025,7,2025-10-19T13:30:00Z,310,DraftKings
Trevor Lawrence,N/A,Jacksonville Jaguars,Los Angeles Rams,2025,7,2025-10-19T13:30:00Z,370,DraftKings
Bhayshul Tuten,N/A,Jacksonville Jaguars,Los Angeles Rams,2025,7,2025-10-19T13:30:00Z,380,DraftKings
Tutu Atwell,N/A,Jacksonville Jaguars,Los Angeles Rams,2025,7,2025-10-19T13:30:00Z,390,DraftKings
Hunter Long,N/A,Jacksonville Jaguars,Los Angeles Rams,2025,7,2025-10-19T13:30:00Z,400,DraftKings
Blake Corum,N/A,Jacksonville Jaguars,Los Angeles Rams,2025,7,2025-10-19T13:30:00Z,475,DraftKings
Jarquez Hunter,N/A,Jacksonville Jaguars,Los Angeles Rams,2025,7,2025-10-19T13:30:00Z,475,DraftKings
Los Angeles Rams D/ST,N/A,Jacksonville Jaguars,Los Angeles Rams,2025,7,2025-10-19T13:30:00Z,475,DraftKings
Jacksonville Jaguars D/ST,N/A,Jacksonville Jaguars,Los Angeles Rams,2025,7,2025-10-19T13:30:00Z,500,DraftKings
Parker Washington,N/A,Jacksonville Jaguars,Los Angeles Rams,2025,7,2025-10-19T13:30:00Z,600,DraftKings
Tim Patrick,N/A,Jacksonville Jaguars,Los Angeles Rams,2025,7,2025-10-19T13:30:00Z,800,DraftKings
Davis Allen,N/A,Jacksonville Jaguars,Los Angeles Rams,2025,7,2025-10-19T13:30:00Z,800,DraftKings
Xavier Smith,N/A,Jacksonville Jaguars,Los Angeles Rams,2025,7,2025-10-19T13:30:00Z,850,DraftKings
Colby Parkinson,N/A,Jacksonville Jaguars,Los Angeles Rams,2025,7,2025-10-19T13:30:00Z,900,DraftKings
Konata Mumpfield,N/A,Jacksonville Jaguars,Los Angeles Rams,2025,7,2025-10-19T13:30:00Z,900,DraftKings
Johnny Mundt,N/A,Jacksonville Jaguars,Los Angeles Rams,2025,7,2025-10-19T13:30:00Z,950,DraftKings
Terrance Ferguson,N/A,Jacksonville Jaguars,Los Angeles Rams,2025,7,2025-10-19T13:30:00Z,1000,DraftKings
Cody Schrader,N/A,Jacksonville Jaguars,Los Angeles Rams,2025,7,2025-10-19T13:30:00Z,1500,DraftKings
LeQuint Allen Jr.,N/A,Jacksonville Jaguars,Los Angeles Rams,2025,7,2025-10-19T13:30:00Z,1800,DraftKings
