feature,importance,importance_pct
avg_receiving_yards,0.1361952220858129,13.619522208581285
avg_receptions,0.11821587190201897,11.821587190201894
avg_target_share,0.11055426891008441,11.055426891008437
avg_offense_snap_share,0.10093663359317684,10.09366335931768
avg_wopr,0.09385377215084754,9.385377215084752
avg_receiving_air_yards,0.06156647571601343,6.156647571601342
implied_total,0.052595325479978465,5.259532547997845
avg_explosive_receiving_plays,0.04989814741304419,4.989814741304418
avg_receiving_epa,0.03715195015969408,3.715195015969407
avg_scored_touchdown,0.03685053384094507,3.6850533840945063
depth_chart_rank,0.034478555269081654,3.4478555269081648
spread_line,0.022429110603055143,2.242911060305514
avg_endzone_targets,0.020142118179820208,2.0142118179820203
avg_racr,0.019189773349212593,1.9189773349212589
avg_endzone_target_share,0.017107726635676876,1.7107726635676872
avg_receiving_yards_allowed,0.015537726226630558,1.5537726226630555
passing_tds_allowed_to_TE,0.013327639555509769,1.3327639555509765
avg_receiving_air_yards_allowed,0.012716209542143345,1.2716209542143342
avg_receiving_epa_allowed,0.012703927309408983,1.270392730940898
avg_explosive_receiving_plays_allowed,0.011662319354987086,1.1662319354987083
redzone_td_rate,0.011616229560352825,1.1616229560352824
passing_tds_allowed_to_WR,0.011270463162505184,1.1270463162505182
