feature,rf_importance,lgbm_importance,rf_importance_norm,lgbm_importance_norm,avg_importance
avg_offense_snap_share,0.11416930853195438,494,0.1141693085319544,0.08233333333333333,0.09825132093264385
avg_target_share,0.14470790088973348,282,0.1447079008897335,0.047,0.09585395044486675
avg_receptions,0.12748939614751112,244,0.12748939614751115,0.04066666666666666,0.0840780314070889
avg_wopr,0.10840752526675175,296,0.10840752526675176,0.04933333333333333,0.07887042930004255
avg_receiving_yards,0.09955841094183568,285,0.09955841094183569,0.0475,0.07352920547091785
implied_total,0.04133338986970484,400,0.04133338986970485,0.06666666666666667,0.05400002826818576
avg_explosive_receiving_plays,0.04359168363203316,301,0.04359168363203317,0.050166666666666665,0.046879175149349916
avg_scored_touchdown,0.04374232106424459,285,0.043742321064244596,0.0475,0.0456211605321223
avg_receiving_air_yards,0.04666047785607993,202,0.046660477856079935,0.033666666666666664,0.0401635722613733
avg_receiving_epa,0.03206425931861862,285,0.03206425931861863,0.0475,0.039782129659309315
redzone_td_rate,0.011215469673286238,342,0.01121546967328624,0.057,0.034107734836643123
passing_tds_allowed_to_TE,0.016298680778796787,289,0.01629868077879679,0.04816666666666667,0.03223267372273173
depth_chart_rank,0.038684196910276615,148,0.03868419691027662,0.024666666666666667,0.031675431788471646
avg_endzone_targets,0.02236358833875759,212,0.022363588338757595,0.035333333333333335,0.028848460836045465
spread_line,0.017676284350716265,238,0.01767628435071627,0.03966666666666667,0.02867147550869147
avg_receiving_epa_allowed,0.011337662947625131,275,0.011337662947625133,0.04583333333333333,0.028585498140479233
avg_racr,0.01698863721194446,238,0.016988637211944463,0.03966666666666667,0.028327651939305566
avg_explosive_receiving_plays_allowed,0.0123509632340621,255,0.012350963234062103,0.0425,0.027425481617031053
passing_tds_allowed_to_WR,0.01132971102343634,256,0.011329711023436342,0.042666666666666665,0.026998188845051504
avg_receiving_air_yards_allowed,0.010140582108886914,249,0.010140582108886916,0.0415,0.02582029105444346
avg_endzone_target_share,0.017217768405538944,202,0.017217768405538948,0.033666666666666664,0.025442217536102804
avg_receiving_yards_allowed,0.01267178149820489,222,0.012671781498204892,0.037,0.024835890749102446
