Model,Precision@10,Recall@10,Avg Picks/Week
Stacked (RF+LGBM),0.4388888888888889,0.12599960571299826,4.388888888888889
RandomForest Only,0.44444444444444453,0.12794840982699884,4.444444444444445
LightGBM Only,0.43333333333333335,0.12525347592301664,4.333333333333333
