feature,rb_importance,wr_te_importance,qb_importance,avg_across_positions
avg_offense_snap_share,0.08265818286934981,0.09780092700641413,0.08279390479877206,0.087751004891512
implied_total,0.042278097633123506,0.051396745963683,0.08728162381370058,0.06031882247016903
avg_scored_touchdown,0.04587927766693081,0.045227917481584314,0.08053992652083473,0.05721570722311662
spread_line,0.032036004486768535,0.028141945714534548,0.07592730628924244,0.045368418830181834
depth_chart_rank,0.040495474259845635,0.03161211534796637,0.015963261677986413,0.029356950428599468
