feature,importance,importance_pct
avg_target_share,0.14832354207240014,14.832354207240014
avg_receiving_yards,0.13459097479696275,13.459097479696275
avg_wopr,0.11498405615172413,11.498405615172413
avg_receptions,0.11245473672901134,11.245473672901134
avg_offense_snap_share,0.1008653696848816,10.086536968488161
avg_rec_touchdown_exp,0.0511124128209809,5.1112412820980895
avg_receiving_air_yards,0.04295878118477249,4.295878118477249
avg_scored_touchdown,0.04036829421504941,4.036829421504941
implied_total,0.03877604226793737,3.877604226793737
avg_explosive_receiving_plays,0.03673400147603836,3.673400147603836
avg_receiving_epa,0.03301714355471951,3.301714355471951
depth_chart_rank,0.022134562469748317,2.2134562469748316
avg_rec_touchdown_exp_team,0.020878574109337255,2.0878574109337253
spread_line,0.01664410721138033,1.6644107211380332
avg_endzone_targets,0.015736752233634223,1.5736752233634224
avg_racr,0.013648493449716682,1.364849344971668
avg_endzone_target_share,0.010572182816619235,1.0572182816619236
passing_tds_allowed_to_TE,0.01055004587310108,1.055004587310108
avg_receiving_air_yards_allowed,0.007283745013144745,0.7283745013144746
avg_receiving_epa_allowed,0.007279901116183953,0.7279901116183953
avg_explosive_receiving_plays_allowed,0.007036298125813023,0.7036298125813023
passing_tds_allowed_to_WR,0.007027426636246746,0.7027426636246746
avg_receiving_yards_allowed,0.007022555990596486,0.7022555990596485
